file,category,bpm,key,duration_sec,release_score,mix_score,master_score,arrangement_score,peak_db,rms_db,dynamic_range_db,clipping,low_end_total,mid_total,top_total,sub,bass_808,mud,low_mids,mids_melody,harsh_zone,highs,air,brightness,drum_activity,onset_density,top_problem,stem_vocal_to_beat_db,stem_bass_to_vocal_db,stem_melody_presence_score
1oenam - Coke.wav,1oneam,153.41,D Minor,90.67,70,70,70,71,0.0,-5.57,5.57,True,31.89,43.18,24.93,17.67,14.22,14.08,14.78,14.32,13.39,13.09,11.84,Medium,High,3.86,Clipping detected: 1091 samples are near/over the limit.,,,
1oenam - Too Late.wav,1oneam,160.71,C Major,101.67,83,86,86,76,0.0,-7.75,7.75,True,31.4,43.54,25.06,17.53,13.87,14.15,14.88,14.5,13.61,13.32,11.74,Medium,High,5.5,Clipping detected: 246 samples are near/over the limit.,,,
1oneam - 2 Friends.wav,1oneam,153.41,D# Major,100.52,84,86,86,81,-0.0,-6.02,6.02,True,32.21,42.81,24.98,17.15,15.06,14.3,14.63,13.87,12.94,13.24,11.74,Medium,High,6.33,Clipping detected: 3484 samples are near/over the limit.,,,
1oneam - 2poles.wav,1oneam,133.93,C Minor,100.17,84,86,86,81,-0.0,-12.28,12.28,True,31.55,44.43,24.02,17.33,14.22,15.0,15.28,14.16,12.8,12.46,11.56,Low,High,5.26,Clipping detected: 43 samples are near/over the limit.,,,
1oneam - 4fun (ok).wav,1oneam,156.25,C Minor,85.74,80,86,86,66,-0.0,-10.66,10.66,True,31.21,43.28,25.51,16.77,14.44,14.29,14.91,14.09,13.08,13.49,12.01,Medium,High,4.82,Clipping detected: 16 samples are near/over the limit.,,,
1oneam - Calling.wav,1oneam,150.67,F# Minor,89.71,82,86,86,71,-0.0,-10.44,10.44,True,31.02,43.98,25.0,17.26,13.77,14.65,15.09,14.23,13.05,13.07,11.93,Medium,High,6.2,Clipping detected: 33 samples are near/over the limit.,,,
1oneam - Cancer.wav,1oneam,148.03,C Minor,117.64,83,86,86,76,-0.0,-10.58,10.58,True,31.8,43.47,24.73,16.44,15.36,14.34,14.79,14.34,13.42,12.81,11.92,Medium,High,3.56,Clipping detected: 405 samples are near/over the limit.,,,
1oneam - Chase.wav,1oneam,148.03,D Minor,91.64,82,86,86,71,-0.1,-13.25,13.16,True,30.58,43.74,25.68,16.87,13.7,14.53,15.13,14.09,13.23,13.22,12.47,Medium,High,4.89,Clipping detected: 3 samples are near/over the limit.,,,
1oneam - Dancer Bitch.wav,1oneam,156.25,D Minor,97.44,80,86,86,66,0.0,-6.58,6.58,True,32.04,43.23,24.73,17.45,14.59,14.32,14.6,14.31,13.59,13.03,11.7,Medium,High,5.65,Clipping detected: 768 samples are near/over the limit.,,,
1oneam - Digits.wav,1oneam,148.03,C# Minor,92.44,80,86,86,66,-0.0,-7.96,7.96,True,31.98,42.53,25.49,17.22,14.76,14.2,14.6,13.73,12.93,13.14,12.35,Medium,High,6.7,Clipping detected: 219 samples are near/over the limit.,,,
1oneam - Double Up.wav,1oneam,160.71,C Minor,95.43,82,86,86,71,0.0,-6.29,6.29,True,31.8,43.23,24.97,17.35,14.45,13.84,15.09,14.31,13.42,13.33,11.64,Medium,High,5.73,Clipping detected: 2516 samples are near/over the limit.,,,
1oneam - Drunk AF.wav,1oneam,153.41,C# Major,100.58,89,94,94,76,-0.43,-11.39,10.96,False,31.93,43.43,24.65,16.94,14.99,14.44,14.77,14.21,13.44,13.02,11.63,Medium,High,4.44,Mud range is elevated around 250-500 Hz.,,,
1oneam - Grow Up.wav,1oneam,148.03,C# Major,154.24,84,86,86,81,0.0,-10.27,10.27,True,32.03,42.96,25.02,17.04,14.99,14.24,14.74,13.97,12.92,13.16,11.85,Medium,High,8.29,Clipping detected: 403 samples are near/over the limit.,,,
1oneam - Hemi.wav,1oneam,159.2,C Minor,84.44,82,86,86,71,-0.0,-8.15,8.15,True,32.21,42.58,25.21,17.74,14.48,13.68,14.56,14.34,13.39,13.32,11.89,Medium,High,7.21,Clipping detected: 18 samples are near/over the limit.,,,
1oneam - Inna Field.wav,1oneam,140.62,C Major,96.58,82,86,86,71,-0.0,-9.56,9.56,True,30.22,44.03,25.75,16.57,13.65,14.85,14.99,14.19,13.35,13.44,12.31,Medium,High,4.08,Clipping detected: 4425 samples are near/over the limit.,,,
1oneam - My Arms.wav,1oneam,156.25,C# Minor,135.87,84,86,86,81,0.0,-9.42,9.42,True,31.51,43.2,25.29,17.1,14.41,14.04,14.64,14.52,13.9,13.78,11.51,Medium,High,4.56,Clipping detected: 235 samples are near/over the limit.,,,
1oneam - On Me.wav,1oneam,130.81,C# Major,103.47,84,86,86,81,0.0,-10.64,10.64,True,31.14,43.07,25.79,16.93,14.21,14.47,14.61,13.99,12.94,13.26,12.53,Medium,High,4.7,Clipping detected: 61 samples are near/over the limit.,,,
1oneam - Out Da 34rth.wav,1oneam,140.62,D# Major,122.65,84,86,86,81,0.0,-8.01,8.01,True,33.01,42.89,24.1,17.1,15.91,14.09,14.67,14.13,13.15,12.76,11.34,Low,High,3.91,Clipping detected: 3989 samples are near/over the limit.,,,
1oneam - Perc 10.wav,1oneam,144.23,D Minor,105.17,80,81,81,76,-0.0,-6.37,6.37,True,31.18,44.3,24.51,16.88,14.31,14.59,15.16,14.55,13.44,12.66,11.86,Medium,High,7.18,Clipping detected: 11255 samples are near/over the limit.,,,
1oneam - Push Start.wav,1oneam,150.67,C Minor,102.11,84,86,86,81,-0.0,-7.27,7.27,True,32.87,41.85,25.28,17.76,15.12,13.69,14.24,13.92,13.18,13.64,11.64,Medium,High,6.45,Clipping detected: 1088 samples are near/over the limit.,,,
1oneam - Trap.wav,1oneam,156.25,E Minor,142.18,84,86,86,81,-0.0,-6.77,6.77,True,33.31,43.71,22.98,18.34,14.96,15.09,14.83,13.8,12.96,12.07,10.91,Low,High,5.24,Clipping detected: 417 samples are near/over the limit.,,,
1oneam - Where You At？.wav,1oneam,148.03,D Minor,114.49,84,86,86,81,0.0,-11.57,11.57,True,32.3,43.39,24.31,16.81,15.49,14.71,15.03,13.65,12.81,12.73,11.58,Medium,High,4.79,Clipping detected: 87 samples are near/over the limit.,,,
1oneam - Why U Askin.wav,1oneam,153.41,D Minor,87.55,65,65,65,66,-0.0,-5.81,5.81,True,32.12,43.05,24.83,17.59,14.53,14.33,14.83,13.89,13.25,13.13,11.7,Medium,High,4.61,Clipping detected: 5498 samples are near/over the limit.,,,
1oneam - bank.wav,1oneam,152.03,C# Minor,114.04,84,86,86,81,-0.0,-9.9,9.9,True,31.28,43.55,25.17,16.83,14.45,14.36,14.85,14.34,13.6,13.09,12.07,Medium,High,5.8,Clipping detected: 603 samples are near/over the limit.,,,
1oneam - film (tdf).wav,1oneam,163.04,C# Minor,152.87,84,86,86,81,-0.0,-9.94,9.94,True,31.59,43.68,24.73,16.72,14.87,14.46,14.7,14.52,13.8,13.11,11.63,Medium,High,3.6,Clipping detected: 8 samples are near/over the limit.,,,
1oneam - foreign (ok).wav,1oneam,156.25,A Major,99.24,78,81,81,71,0.0,-7.17,7.17,True,31.08,43.67,25.26,16.59,14.48,14.38,15.07,14.22,13.44,13.29,11.97,Medium,High,6.49,Clipping detected: 11220 samples are near/over the limit.,,,
1oneam - function.wav,1oneam,148.03,C# Major,117.77,84,86,86,81,-0.0,-8.4,8.4,True,32.11,43.01,24.87,16.93,15.19,14.21,14.64,14.17,13.16,13.06,11.81,Medium,High,4.4,Clipping detected: 589 samples are near/over the limit.,,,
1oneam - hunnid hunnid.wav,1oneam,150.67,D# Minor,115.9,81,81,81,81,0.0,-6.06,6.06,True,31.84,43.11,25.05,17.18,14.66,14.17,14.56,14.38,13.45,13.26,11.79,Medium,High,5.27,Clipping detected: 37111 samples are near/over the limit.,,,
1oneam - john wick.wav,1oneam,137.2,D# Major,97.44,65,65,65,66,-0.0,-5.74,5.73,True,32.21,42.44,25.34,17.31,14.9,14.35,14.46,13.63,12.97,13.32,12.02,Medium,High,5.68,Clipping detected: 15532 samples are near/over the limit.,,,
1oneam - laugh laugh.wav,1oneam,150.67,C Minor,85.16,82,86,86,71,-0.05,-14.96,14.91,True,31.39,44.33,24.28,16.09,15.3,15.02,15.34,13.97,13.22,12.86,11.42,Medium,High,3.82,Clipping detected: 7 samples are near/over the limit.,,,
1oneam - luv this feeling.wav,1oneam,165.44,D Minor,94.25,67,65,65,71,0.0,-5.82,5.82,True,31.47,43.93,24.6,16.94,14.53,14.66,14.75,14.52,13.57,13.13,11.48,Medium,High,3.42,Clipping detected: 25895 samples are near/over the limit.,,,
1oneam - lying on me.wav,1oneam,137.2,C# Minor,97.47,80,86,86,66,-0.0,-8.51,8.51,True,33.33,42.7,23.97,18.06,15.27,14.65,14.75,13.3,12.62,12.39,11.58,Low,High,4.89,Clipping detected: 1818 samples are near/over the limit.,,,
1oneam - no clout.wav,1oneam,156.25,C# Minor,86.75,82,86,86,71,0.0,-9.7,9.71,True,31.59,42.21,26.2,16.14,15.45,14.22,14.33,13.66,13.02,13.71,12.49,High,High,9.34,Clipping detected: 1350 samples are near/over the limit.,,,
1oneam - no time [gzjYcuQUFVA].wav,1oneam,140.62,C Major,89.41,82,86,86,71,0.0,-9.26,9.26,True,31.4,43.02,25.58,16.77,14.63,14.28,14.68,14.06,13.48,13.93,11.65,Medium,High,7.07,Clipping detected: 3709 samples are near/over the limit.,,,
1oneam - no time.wav,1oneam,140.62,C Major,89.23,80,86,86,66,0.0,-9.41,9.41,True,31.57,42.67,25.76,16.87,14.7,14.18,14.4,14.09,13.56,14.02,11.74,Medium,High,6.77,Clipping detected: 1957 samples are near/over the limit.,,,
1oneam - okay.wav,1oneam,150.67,E Minor,90.15,82,89,89,66,-0.17,-15.01,14.84,True,31.45,44.41,24.14,16.46,14.99,14.62,15.34,14.45,13.29,12.83,11.31,Medium,High,4.7,Clipping detected: 1 samples are near/over the limit.,,,
1oneam - playoffs.wav,1oneam,152.03,D# Minor,88.35,80,86,86,66,0.0,-8.97,8.97,True,31.12,43.91,24.97,16.35,14.77,14.63,15.04,14.24,13.64,12.97,12.0,Medium,High,6.97,Clipping detected: 2904 samples are near/over the limit.,,,
1oneam - potion.wav,1oneam,140.62,C Minor,82.78,82,86,86,71,0.0,-9.4,9.41,True,32.01,43.42,24.56,17.12,14.9,14.84,14.77,13.82,12.88,12.79,11.78,Low,High,5.23,Clipping detected: 2751 samples are near/over the limit.,,,
1oneam - principal.wav,1oneam,152.03,D Minor,99.37,82,86,86,71,0.0,-9.55,9.55,True,30.46,44.64,24.9,16.05,14.4,15.18,15.38,14.08,13.09,12.92,11.97,Medium,High,5.82,Clipping detected: 1013 samples are near/over the limit.,,,
1oneam - rundown.wav,1oneam,144.23,G Minor,106.27,70,65,65,81,-0.0,-5.72,5.72,True,33.11,42.34,24.55,18.08,15.03,14.34,13.99,14.01,12.94,12.98,11.57,Medium,High,7.09,Clipping detected: 17638 samples are near/over the limit.,,,
1oneam - vogue.wav,1oneam,148.03,C# Minor,120.08,84,86,86,81,0.0,-9.14,9.14,True,32.9,43.19,23.91,17.57,15.33,14.91,14.76,13.53,12.46,12.7,11.2,Low,High,7.39,Clipping detected: 135 samples are near/over the limit.,,,
1oneam - wacked.wav,1oneam,148.03,D Minor,89.34,87,94,94,71,-3.48,-14.22,10.74,False,31.22,43.45,25.33,16.96,14.26,14.64,15.08,13.73,12.7,13.12,12.2,Medium,High,5.51,Mud range is elevated around 250-500 Hz.,,,
