file,category,bpm,key,duration_sec,release_score,mix_score,master_score,arrangement_score,peak_db,rms_db,dynamic_range_db,clipping,low_end_total,mid_total,top_total,sub,bass_808,mud,low_mids,mids_melody,harsh_zone,highs,air,brightness,drum_activity,onset_density,top_problem,stem_vocal_to_beat_db,stem_bass_to_vocal_db,stem_melody_presence_score
Autumn - Not One!.wav,Autumn,140.62,C# Minor,116.57,83,86,86,76,-0.0,-10.83,10.83,True,31.5,42.38,26.11,16.78,14.72,14.09,14.15,14.15,13.64,13.94,12.17,Medium,High,6.49,Clipping detected: 5 samples are near/over the limit.,,,
Autumn! - 4GSELLER!.wav,Autumn,137.2,A# Minor,153.04,73,70,70,81,0.0,-16.07,16.07,True,30.08,44.1,25.81,15.4,14.68,14.55,14.99,14.56,14.16,13.63,12.19,Medium,High,6.37,Clipping detected: 100 samples are near/over the limit.,,,
Autumn! - ABLOH!.wav,Autumn,137.2,G# Major,232.53,78,78,76,81,-0.09,-15.69,15.59,True,30.3,43.94,25.76,15.81,14.49,14.57,14.87,14.51,13.69,13.65,12.11,Medium,High,4.75,Clipping detected: 3 samples are near/over the limit.,,,
Autumn! - Average Night!.wav,Autumn,144.23,E Minor,131.51,89,92,92,81,-0.23,-13.83,13.6,False,32.0,42.83,25.17,17.04,14.96,14.64,14.42,13.77,13.18,13.21,11.97,Medium,High,5.32,Mud range is elevated around 250-500 Hz.,,,
Autumn! - BIGGEST FLAW INTERLUDE!.wav,Autumn,178.57,C# Major,125.76,84,86,86,80,-0.0,-15.42,15.42,True,30.3,45.42,24.27,13.38,16.93,16.58,14.83,14.01,13.33,13.04,11.23,Low,Medium,2.1,Clipping detected: 397 samples are near/over the limit.,,,
Autumn! - BLACK TRUCK GREETERS!.wav,Autumn,140.62,F# Minor,179.56,84,86,86,81,0.0,-11.65,11.65,True,31.25,42.19,26.57,16.73,14.51,13.99,14.1,14.1,13.55,14.27,12.3,Medium,High,4.93,Clipping detected: 231 samples are near/over the limit.,,,
Autumn! - Balmain & Self Healing!.wav,Autumn,144.23,C# Minor,210.0,84,86,86,81,-0.0,-15.0,15.0,True,29.88,43.91,26.21,15.11,14.77,14.56,14.85,14.49,13.89,14.04,12.17,Medium,High,5.52,Clipping detected: 5 samples are near/over the limit.,,,
Autumn! - CHANELLY & BIRKIN!.wav,Autumn,137.2,D# Major,162.35,84,86,86,81,0.0,-14.61,14.61,True,30.58,43.42,26.0,16.02,14.56,14.5,14.68,14.23,13.78,13.46,12.54,Medium,High,3.14,Clipping detected: 251 samples are near/over the limit.,,,
Autumn! - COCAINE DIAMONDS!.wav,Autumn,137.2,E Minor,151.36,84,86,86,81,-0.0,-13.6,13.6,True,30.98,43.42,25.6,16.08,14.9,14.62,14.6,14.2,13.65,13.65,11.95,Medium,High,5.0,Clipping detected: 78 samples are near/over the limit.,,,
Autumn! - Can We Talk!.wav,Autumn,143.01,F# Minor,104.33,81,81,81,81,0.0,-8.05,8.05,True,31.62,43.41,24.97,16.62,15.0,14.62,14.52,14.27,13.59,13.24,11.73,Medium,High,4.92,Clipping detected: 9303 samples are near/over the limit.,,,
Autumn! - Can't Keep Up!.wav,Autumn,144.23,C Minor,105.22,84,86,86,81,-0.0,-9.16,9.16,True,31.67,41.69,26.65,17.07,14.6,13.3,14.17,14.21,13.65,13.79,12.85,Medium,High,7.8,Clipping detected: 568 samples are near/over the limit.,,,
Autumn! - D1!.wav,Autumn,159.2,D Minor,109.37,73,69,69,81,0.0,-9.53,9.54,True,32.47,42.98,24.55,17.33,15.14,14.37,14.45,14.16,13.58,13.41,11.14,Medium,High,4.52,Clipping detected: 82125 samples are near/over the limit.,,,
Autumn! - Don't Come Around Interlude!.wav,Autumn,125.0,E Minor,108.39,73,70,70,81,-0.0,-17.79,17.79,True,31.03,43.21,25.76,15.6,15.43,14.61,14.61,13.99,13.24,13.65,12.11,Medium,High,3.31,Clipping detected: 2877 samples are near/over the limit.,,,
Autumn! - FAITH!.wav,Autumn,137.2,F# Minor,146.09,84,86,86,81,-0.0,-14.41,14.41,True,29.19,44.15,26.66,15.25,13.94,14.78,15.16,14.21,13.68,14.19,12.47,Medium,High,4.71,Clipping detected: 176 samples are near/over the limit.,,,
Autumn! - Golden Child 2 Intro!.wav,Autumn,140.62,C Major,115.02,79,78,78,81,-1.48,-17.83,16.35,False,24.63,48.19,27.18,11.21,13.42,16.01,16.45,15.73,14.76,14.28,12.9,Medium,High,4.68,Mud range is elevated around 250-500 Hz.,,,
Autumn! - Golden Child!.wav,Autumn,140.62,G# Major,123.43,84,86,86,81,0.0,-8.65,8.65,True,30.61,43.9,25.49,16.82,13.79,14.27,14.92,14.72,13.69,13.46,12.03,Medium,High,5.57,Clipping detected: 3713 samples are near/over the limit.,,,
Autumn! - Grok!.wav,Autumn,148.03,D Minor,121.05,83,86,86,76,0.0,-9.13,9.13,True,31.44,42.52,26.04,16.64,14.8,13.92,14.46,14.14,13.64,13.89,12.15,Medium,High,7.33,Clipping detected: 369 samples are near/over the limit.,,,
Autumn! - Inside My Head!.wav,Autumn,138.32,E Minor,97.4,82,86,86,71,0.0,-9.12,9.12,True,30.98,43.96,25.06,16.74,14.24,14.56,14.9,14.5,13.62,13.29,11.77,Medium,High,6.03,Clipping detected: 2088 samples are near/over the limit.,,,
Autumn! - JUST LIKE ME!.wav,Autumn,140.62,D Major,164.57,84,86,86,81,-0.0,-15.07,15.07,True,29.57,43.46,26.97,15.47,14.1,14.32,14.8,14.33,13.68,14.39,12.58,High,High,4.9,Clipping detected: 143 samples are near/over the limit.,,,
Autumn! - Jay N Bey!.wav,Autumn,133.93,D Minor,131.54,84,86,86,81,-0.0,-12.22,12.22,True,30.18,44.0,25.82,15.81,14.37,14.77,14.7,14.53,13.92,13.59,12.23,Medium,High,3.18,Clipping detected: 779 samples are near/over the limit.,,,
Autumn! - Keep Ya Head Up!.wav,Autumn,160.71,F# Minor,130.4,81,81,81,81,0.0,-9.91,9.91,True,31.42,42.89,25.68,16.5,14.92,14.52,14.4,13.98,13.39,13.66,12.03,Medium,High,6.23,Clipping detected: 39065 samples are near/over the limit.,,,
Autumn! - Louis V Everything! (feat. Summrs).wav,Autumn,150.67,F# Minor,183.52,79,78,78,81,-0.42,-17.74,17.32,False,30.61,43.83,25.56,16.31,14.3,14.85,14.71,14.27,13.37,13.54,12.02,Medium,High,6.54,Mud range is elevated around 250-500 Hz.,,,
Autumn! - Myself!.wav,Autumn,140.62,F# Minor,123.44,84,86,86,81,0.0,-8.11,8.11,True,31.82,43.28,24.9,16.95,14.87,14.18,14.73,14.37,13.67,13.19,11.71,Medium,High,4.91,Clipping detected: 2849 samples are near/over the limit.,,,
Autumn! - Not 3 Not 2!.wav,Autumn,152.03,D# Minor,107.43,84,86,86,81,0.0,-7.78,7.78,True,32.38,42.71,24.91,17.8,14.58,14.9,13.96,13.85,13.31,13.52,11.4,Low,High,6.28,Clipping detected: 777 samples are near/over the limit.,,,
Autumn! - Now!.wav,Autumn,153.41,C# Major,124.7,81,81,81,81,0.0,-8.24,8.24,True,31.32,43.27,25.41,17.08,14.24,14.11,14.73,14.43,13.83,13.58,11.83,Medium,High,5.62,Clipping detected: 26704 samples are near/over the limit.,,,
Autumn! - Richer Man & Get In Yo Bag!.wav,Autumn,125.0,F# Minor,122.28,87,92,92,76,-0.19,-14.83,14.65,False,29.59,43.79,26.62,14.29,15.3,14.66,14.79,14.34,13.89,14.27,12.35,High,High,7.39,Mud range is elevated around 250-500 Hz.,,,
Autumn! - SHE SAY HE SAY!.wav,Autumn,156.25,D Minor,123.08,84,86,86,81,0.0,-14.12,14.12,True,30.43,43.28,26.29,15.89,14.54,14.33,14.63,14.32,13.64,14.11,12.18,Medium,High,5.86,Clipping detected: 419 samples are near/over the limit.,,,
Autumn! - SOME OF MY!.wav,Autumn,170.45,F Minor,150.0,84,86,86,81,0.0,-14.97,14.97,True,29.73,43.5,26.77,15.41,14.31,14.38,14.52,14.59,14.2,14.29,12.48,Medium,High,5.01,Clipping detected: 1309 samples are near/over the limit.,,,
Autumn! - SURVIVE THE FALL!.wav,Autumn,144.23,C Minor,166.67,84,86,86,81,0.0,-15.35,15.35,True,30.37,43.3,26.33,15.64,14.73,14.93,14.35,14.02,13.34,13.91,12.42,Medium,High,4.81,Clipping detected: 175 samples are near/over the limit.,,,
Autumn! - Should Know Me Better!.wav,Autumn,138.32,E Minor,141.42,84,86,86,81,0.0,-10.85,10.85,True,30.36,43.26,26.38,16.01,14.35,13.98,14.8,14.49,13.87,14.18,12.2,Medium,High,4.96,Clipping detected: 3663 samples are near/over the limit.,,,
