file,category,bpm,key,duration_sec,release_score,mix_score,master_score,arrangement_score,peak_db,rms_db,dynamic_range_db,clipping,low_end_total,mid_total,top_total,sub,bass_808,mud,low_mids,mids_melody,harsh_zone,highs,air,brightness,drum_activity,onset_density,top_problem,stem_vocal_to_beat_db,stem_bass_to_vocal_db,stem_melody_presence_score
Bktharula - A Girl IS a GUN.wav,Bktharula,122.28,D# Minor,152.2,84,86,86,81,0.0,-10.7,10.7,True,31.78,42.63,25.59,16.8,14.98,14.23,14.64,13.77,12.93,13.67,11.92,Medium,High,6.43,Clipping detected: 166 samples are near/over the limit.,,,
Bktharula - ADVANCED.wav,Bktharula,145.47,C# Major,121.54,81,81,81,81,-0.0,-6.44,6.44,True,30.46,41.33,28.21,16.41,14.05,13.16,14.22,13.95,13.55,14.32,13.89,High,High,6.25,Clipping detected: 35180 samples are near/over the limit.,,,
Bktharula - ARE WE DONE.wav,Bktharula,140.62,C# Major,126.92,84,86,86,81,0.0,-8.02,8.02,True,31.49,42.51,26.0,16.79,14.7,13.48,14.52,14.51,13.64,13.76,12.23,Medium,High,4.4,Clipping detected: 58 samples are near/over the limit.,,,
Bktharula - Admit It.wav,Bktharula,136.09,B Minor,139.81,81,81,81,81,-0.0,-8.4,8.4,True,31.32,43.52,25.16,15.99,15.33,13.95,15.06,14.51,13.19,13.27,11.89,Medium,High,5.31,Clipping detected: 14325 samples are near/over the limit.,,,
Bktharula - BACK.wav,Bktharula,156.25,D# Minor,128.41,84,86,86,81,0.0,-9.23,9.23,True,30.97,43.53,25.5,16.37,14.6,14.16,14.99,14.38,13.78,13.47,12.03,Medium,High,4.95,Clipping detected: 2119 samples are near/over the limit.,,,
Bktharula - BELIEVE.wav,Bktharula,140.62,C Major,130.29,84,86,86,81,0.0,-11.69,11.69,True,31.9,43.33,24.77,16.3,15.6,14.57,14.8,13.97,13.22,13.09,11.68,Medium,High,3.86,Clipping detected: 96 samples are near/over the limit.,,,
Bktharula - BOI.wav,Bktharula,148.03,F Minor,131.43,84,86,86,81,-0.0,-9.12,9.12,True,30.47,43.47,26.06,16.23,14.24,14.38,14.52,14.58,13.87,13.76,12.29,High,High,3.48,Clipping detected: 2148 samples are near/over the limit.,,,
Bktharula - Blue.wav,Bktharula,162.26,D Minor,158.21,81,81,81,81,0.0,-6.65,6.65,True,31.83,41.17,27.0,16.9,14.93,13.18,14.02,13.97,13.61,14.25,12.76,Medium,High,7.65,Clipping detected: 9431 samples are near/over the limit.,,,
Bktharula - C4.wav,Bktharula,159.2,D# Major,133.54,84,86,86,81,0.0,-10.4,10.4,True,30.37,43.51,26.12,16.17,14.2,14.48,14.52,14.51,13.89,13.73,12.39,Medium,High,6.0,Clipping detected: 33 samples are near/over the limit.,,,
Bktharula - CODE.wav,Bktharula,162.26,D Minor,148.15,84,86,86,81,0.0,-9.71,9.71,True,30.96,42.92,26.11,15.88,15.08,14.32,14.44,14.17,13.68,13.38,12.73,High,High,4.09,Clipping detected: 925 samples are near/over the limit.,,,
