file,category,bpm,key,duration_sec,release_score,mix_score,master_score,arrangement_score,peak_db,rms_db,dynamic_range_db,clipping,low_end_total,mid_total,top_total,sub,bass_808,mud,low_mids,mids_melody,harsh_zone,highs,air,brightness,drum_activity,onset_density,top_problem,stem_vocal_to_beat_db,stem_bass_to_vocal_db,stem_melody_presence_score
BoofPaxkMooky - 8th Floor.wav,BoofPaxkMooky,136.09,C Major,129.02,82,86,84,75,-7.14,-23.01,15.87,False,31.38,44.08,24.54,16.25,15.13,15.53,14.58,13.97,12.68,13.35,11.19,Medium,High,6.22,Mud range is elevated around 250-500 Hz.,,,
BoofPaxkMooky - Act up.wav,BoofPaxkMooky,145.47,D# Minor,145.63,83,86,86,75,0.0,-9.57,9.57,True,33.1,43.12,23.77,17.78,15.33,15.23,14.17,13.72,12.76,12.79,10.98,Low,High,6.56,Clipping detected: 407 samples are near/over the limit.,,,
BoofPaxkMooky - Air it Out.wav,BoofPaxkMooky,125.0,D Minor,201.86,77,78,78,75,-0.77,-17.67,16.91,False,31.81,43.24,24.95,16.61,15.2,15.31,14.35,13.58,12.62,12.97,11.98,Medium,High,4.0,Mud range is elevated around 250-500 Hz.,,,
BoofPaxkMooky - Annoyed.wav,BoofPaxkMooky,148.03,C Minor,204.96,82,86,84,75,-2.45,-16.09,13.65,False,32.45,44.09,23.46,17.43,15.02,15.57,14.62,13.9,12.55,12.57,10.89,Medium,High,4.93,Mud range is elevated around 250-500 Hz.,,,
BoofPaxkMooky - Band.wav,BoofPaxkMooky,140.62,F Minor,98.57,80,86,86,65,0.0,-13.31,13.31,True,31.11,42.54,26.36,16.03,15.08,14.91,13.45,14.17,13.35,14.5,11.86,Medium,High,6.79,Clipping detected: 190 samples are near/over the limit.,,,
BoofPaxkMooky - Body.wav,BoofPaxkMooky,125.0,F# Major,111.47,83,86,86,75,0.0,-11.17,11.17,True,32.4,42.24,25.36,17.33,15.07,14.73,14.0,13.51,12.29,12.33,13.03,Medium,High,5.88,Clipping detected: 4 samples are near/over the limit.,,,
BoofPaxkMooky - Burden.wav,BoofPaxkMooky,125.0,B Minor,137.45,83,86,86,75,-0.07,-14.98,14.9,True,31.23,43.2,25.57,16.32,14.9,14.87,14.36,13.98,12.91,13.65,11.93,Medium,High,4.09,Clipping detected: 4 samples are near/over the limit.,,,
BoofPaxkMooky - Coi Leray.wav,BoofPaxkMooky,125.0,E Minor,112.28,83,86,86,75,0.0,-12.56,12.56,True,31.11,42.88,26.01,15.94,15.17,14.74,13.76,14.38,13.56,13.99,12.02,Medium,High,5.91,Clipping detected: 60 samples are near/over the limit.,,,
BoofPaxkMooky - Comfort.wav,BoofPaxkMooky,130.81,F# Minor,132.23,83,86,86,75,-0.0,-13.09,13.09,True,31.33,42.68,25.99,16.01,15.32,14.69,13.69,14.3,13.94,14.25,11.74,Medium,High,4.17,Clipping detected: 59 samples are near/over the limit.,,,
BoofPaxkMooky - Disguise.wav,BoofPaxkMooky,140.62,F Minor,108.85,83,86,86,75,0.0,-13.52,13.52,True,30.85,42.24,26.91,15.46,15.39,14.63,13.59,14.02,13.66,14.17,12.74,High,High,6.1,Clipping detected: 106 samples are near/over the limit.,,,
BoofPaxkMooky - Each His Own.wav,BoofPaxkMooky,152.03,D Minor,85.7,82,86,86,71,-0.0,-12.11,12.11,True,31.46,42.16,26.38,16.12,15.34,14.54,13.77,13.85,13.42,13.77,12.61,Medium,High,5.39,Clipping detected: 23 samples are near/over the limit.,,,
BoofPaxkMooky - End of The Night.wav,BoofPaxkMooky,140.62,F Minor,87.56,82,89,89,65,-0.11,-12.88,12.77,True,30.77,43.04,26.19,15.9,14.88,14.66,13.93,14.45,13.8,13.93,12.26,Medium,High,5.9,Clipping detected: 4 samples are near/over the limit.,,,
BoofPaxkMooky - Everything I Need (Interlude).wav,BoofPaxkMooky,140.62,D Minor,101.59,83,86,86,75,-0.0,-13.08,13.08,True,31.56,42.9,25.54,15.79,15.77,14.71,13.83,14.36,13.68,13.65,11.89,Medium,High,4.16,Clipping detected: 10 samples are near/over the limit.,,,
BoofPaxkMooky - Flash.wav,BoofPaxkMooky,152.03,F# Minor,218.74,82,86,84,75,-5.2,-19.83,14.64,False,33.05,44.62,22.33,16.97,16.08,15.72,14.91,13.99,12.33,12.0,10.33,Low,High,4.41,Mud range is elevated around 250-500 Hz.,,,
BoofPaxkMooky - Got it.wav,BoofPaxkMooky,172.19,C# Major,117.89,82,86,84,75,-2.57,-16.23,13.66,False,30.6,43.5,25.89,16.6,14.01,14.49,14.67,14.34,13.0,12.75,13.14,High,High,3.61,Mud range is elevated around 250-500 Hz.,,,
BoofPaxkMooky - History.wav,BoofPaxkMooky,140.62,D# Minor,137.06,87,89,89,81,-0.17,-14.34,14.18,True,32.22,43.0,24.78,16.96,15.27,14.92,14.16,13.92,13.22,13.14,11.64,Medium,High,5.37,Clipping detected: 1 samples are near/over the limit.,,,
BoofPaxkMooky - How Could You.wav,BoofPaxkMooky,122.28,D Major,134.86,83,86,86,75,0.0,-12.16,12.16,True,31.25,42.1,26.65,16.12,15.13,14.48,13.73,13.9,13.45,14.01,12.64,Medium,High,6.72,Clipping detected: 37 samples are near/over the limit.,,,
BoofPaxkMooky - I'm Telling U.wav,BoofPaxkMooky,144.23,D# Minor,134.74,84,86,86,81,-0.0,-10.59,10.59,True,31.15,43.95,24.9,16.55,14.6,15.18,14.78,13.99,13.09,13.31,11.6,Medium,High,5.15,Clipping detected: 154 samples are near/over the limit.,,,
BoofPaxkMooky - Images.wav,BoofPaxkMooky,133.93,D# Major,187.87,83,86,86,75,-0.04,-12.52,12.48,True,31.67,44.1,24.24,17.31,14.36,15.05,14.53,14.52,13.18,12.93,11.31,Medium,High,4.52,Clipping detected: 4 samples are near/over the limit.,,,
BoofPaxkMooky - Is You Crazy.wav,BoofPaxkMooky,122.28,F Major,131.3,88,94,94,75,-0.44,-12.55,12.1,False,32.52,43.68,23.8,17.64,14.88,15.07,14.81,13.8,12.5,12.77,11.03,Medium,High,4.9,Mud range is elevated around 250-500 Hz.,,,
BoofPaxkMooky - Issue.wav,BoofPaxkMooky,148.03,F# Minor,130.3,84,86,86,81,-0.0,-12.64,12.64,True,31.42,42.16,26.42,15.82,15.6,14.59,13.65,13.91,13.59,14.02,12.4,Medium,High,6.46,Clipping detected: 64 samples are near/over the limit.,,,
BoofPaxkMooky - It's a Party.wav,BoofPaxkMooky,125.0,F Major,193.99,82,86,84,75,-1.1,-16.92,15.81,False,32.25,44.04,23.72,17.08,15.17,15.11,14.81,14.11,12.44,12.66,11.06,Medium,High,5.88,Mud range is elevated around 250-500 Hz.,,,
BoofPaxkMooky - Jeans.wav,BoofPaxkMooky,130.81,E Minor,99.01,82,86,86,71,-0.02,-11.96,11.94,True,32.07,42.77,25.16,16.54,15.53,14.64,13.81,14.32,13.47,13.52,11.65,Medium,High,5.03,Clipping detected: 7 samples are near/over the limit.,,,
BoofPaxkMooky - Kill Switch.wav,BoofPaxkMooky,148.03,G# Minor,74.5,74,78,78,65,-0.8,-18.23,17.43,False,31.79,42.9,25.31,16.54,15.25,14.64,14.1,14.15,13.24,13.87,11.44,Medium,High,5.68,Mud range is elevated around 250-500 Hz.,,,
BoofPaxkMooky - Lil Hood.wav,BoofPaxkMooky,133.93,D Minor,158.78,85,89,89,75,-0.11,-14.05,13.94,True,31.34,44.07,24.6,16.59,14.74,15.28,14.63,14.16,12.72,13.07,11.52,Medium,High,6.25,Clipping detected: 1 samples are near/over the limit.,,,
BoofPaxkMooky - Litt.wav,BoofPaxkMooky,165.44,E Minor,190.83,88,94,94,75,-1.89,-11.99,10.1,False,32.71,42.35,24.94,17.42,15.29,14.62,14.09,13.64,12.48,12.02,12.91,Medium,High,3.84,Mud range is elevated around 250-500 Hz.,,,
BoofPaxkMooky - Minute.wav,BoofPaxkMooky,130.81,C# Minor,173.42,79,78,78,81,-0.5,-18.82,18.32,False,30.36,44.13,25.51,14.98,15.39,15.47,15.12,13.54,12.79,13.58,11.92,Medium,High,6.24,Mud range is elevated around 250-500 Hz.,,,
BoofPaxkMooky - Move Out.wav,BoofPaxkMooky,127.84,G# Major,152.45,83,86,86,75,0.0,-9.72,9.72,True,31.95,43.28,24.77,17.15,14.8,14.9,14.34,14.04,13.06,12.87,11.89,Medium,High,5.63,Clipping detected: 114 samples are near/over the limit.,,,
BoofPaxkMooky - Nun 2 Dis.wav,BoofPaxkMooky,150.67,D# Minor,101.56,84,86,86,81,0.0,-12.54,12.54,True,31.04,42.55,26.41,16.08,14.97,14.37,13.81,14.36,13.9,14.17,12.24,Medium,High,6.53,Clipping detected: 25 samples are near/over the limit.,,,
