file,category,bpm,key,duration_sec,release_score,mix_score,master_score,arrangement_score,peak_db,rms_db,dynamic_range_db,clipping,low_end_total,mid_total,top_total,sub,bass_808,mud,low_mids,mids_melody,harsh_zone,highs,air,brightness,drum_activity,onset_density,top_problem
Cheromani - BA$$.wav,Cheromani,148.03,E Minor / Try A Minor,153.67,83,86,86,75,0.0,-10.35,10.35,True,29.34,44.19,26.47,14.89,14.45,14.48,14.5,15.21,14.66,13.9,12.56,Medium,High,3.03,Clipping detected: 3079 samples are near/over the limit.
Cheromani - BLACK SWAN.wav,Cheromani,144.23,D Minor / Try C Minor,257.78,58,53,53,70,0.0,-5.91,5.91,True,29.51,43.53,26.96,15.47,14.05,14.17,14.39,14.98,14.39,14.0,12.96,High,High,4.5,Clipping detected: 193886 samples are near/over the limit.
Cheromani - BOSSUPPPP.wav,Cheromani,156.25,D Minor / Try C Minor,176.01,79,81,81,75,0.0,-6.66,6.66,True,30.37,42.88,26.75,15.88,14.49,14.05,14.07,14.75,14.35,14.01,12.74,High,High,6.98,Clipping detected: 83472 samples are near/over the limit.
Cheromani - Badu.wav,Cheromani,143.01,D# Major / Try A# Major,135.55,81,81,81,81,0.0,-7.24,7.24,True,30.46,43.78,25.76,15.46,15.0,14.21,14.86,14.71,13.99,13.39,12.36,Medium,High,5.52,Clipping detected: 15651 samples are near/over the limit.
Cheromani - Bae.wav,Cheromani,143.01,D Minor / Try G Minor,170.17,79,81,81,75,0.0,-8.69,8.69,True,30.1,43.48,26.42,15.73,14.38,14.08,14.84,14.55,13.59,13.52,12.9,High,High,5.76,Clipping detected: 12754 samples are near/over the limit.
Cheromani - Batman.wav,Cheromani,140.62,A Minor / Try D Minor,153.0,84,86,86,81,-0.0,-7.69,7.69,True,29.84,42.83,27.33,15.38,14.46,13.96,14.76,14.11,13.68,13.77,13.56,High,High,5.32,Clipping detected: 3782 samples are near/over the limit.
"Cheromani - Been There, Done That.wav",Cheromani,145.47,E Minor / Try D Minor,102.66,79,81,81,75,0.0,-7.37,7.38,True,30.61,42.74,26.66,15.57,15.04,14.03,14.15,14.55,14.15,13.87,12.79,High,High,4.86,Clipping detected: 47849 samples are near/over the limit.
Cheromani - Busan.wav,Cheromani,140.62,F Minor,137.22,83,86,86,75,-0.0,-7.12,7.12,True,30.13,43.22,26.65,16.19,13.94,14.08,14.84,14.31,13.72,13.87,12.78,High,High,6.3,Clipping detected: 2479 samples are near/over the limit.
Cheromani - CUT OFF YOUR HANDS.wav,Cheromani,148.03,G# Minor / Try D# Minor,137.1,60,53,53,75,0.0,-5.03,5.03,True,30.94,42.03,27.03,15.81,15.13,14.09,13.81,14.14,13.95,14.04,12.99,High,High,6.02,Clipping detected: 126041 samples are near/over the limit.
Cheromani - CUTTHROAT.wav,Cheromani,150.67,F# Minor / Try C# Minor,115.17,60,53,53,75,0.01,-5.45,5.45,True,30.53,42.22,27.25,15.56,14.97,13.48,13.84,14.89,14.47,14.01,13.24,High,High,9.2,Clipping detected: 280864 samples are near/over the limit.
Cheromani - Call Me.wav,Cheromani,137.2,A Minor / Try E Minor,191.13,83,86,86,75,0.0,-7.74,7.74,True,30.04,43.88,26.07,14.85,15.19,14.39,14.83,14.67,14.18,13.68,12.4,Medium,High,5.06,Clipping detected: 3134 samples are near/over the limit.
Cheromani - Children Shouldn't Play With Dead Things.wav,Cheromani,145.47,C Major / Try C Minor,144.23,86,86,86,85,0.0,-8.56,8.56,True,30.16,43.09,26.76,15.82,14.34,14.22,14.38,14.48,14.15,13.89,12.87,High,Medium,2.96,Clipping detected: 2484 samples are near/over the limit.
