file,category,bpm,key,duration_sec,release_score,mix_score,master_score,arrangement_score,peak_db,rms_db,dynamic_range_db,clipping,low_end_total,mid_total,top_total,sub,bass_808,mud,low_mids,mids_melody,harsh_zone,highs,air,brightness,drum_activity,onset_density,top_problem,stem_vocal_to_beat_db,stem_bass_to_vocal_db,stem_melody_presence_score
D Savage - 39⧸27.wav,D Savage,133.93,C# Minor,149.06,84,86,86,81,0.0,-13.2,13.2,True,31.55,42.54,25.91,16.76,14.8,14.22,14.24,14.09,13.34,13.76,12.15,Medium,High,4.72,Clipping detected: 52 samples are near/over the limit.,,,
D Savage - All Kap.wav,D Savage,130.81,D# Minor,133.61,83,86,86,75,-0.0,-10.91,10.91,True,31.18,43.94,24.88,16.42,14.76,14.55,14.8,14.59,13.52,13.31,11.57,Medium,High,5.44,Clipping detected: 6101 samples are near/over the limit.,,,
D Savage - Anti Social.wav,D Savage,144.23,C# Major,149.23,79,78,78,81,-3.86,-21.85,17.99,False,31.43,43.15,25.42,16.36,15.07,14.6,14.4,14.16,13.04,13.28,12.14,Medium,High,4.44,Mud range is elevated around 250-500 Hz.,,,
D Savage - Bet.wav,D Savage,140.62,F Major,143.42,90,94,94,81,-1.88,-10.85,8.97,False,32.11,44.37,23.52,16.88,15.23,14.13,15.52,14.73,13.08,12.28,11.24,Low,High,4.24,Mud range is elevated around 250-500 Hz.,,,
D Savage - Breathe.wav,D Savage,153.41,F Major,154.33,83,86,86,75,-0.0,-10.94,10.94,True,31.64,42.99,25.37,16.84,14.8,14.19,14.76,14.03,13.02,13.36,12.01,Medium,High,5.02,Clipping detected: 1740 samples are near/over the limit.,,,
D Savage - Bring Me Down.wav,D Savage,145.47,C Minor,149.48,88,94,94,75,-2.26,-13.16,10.9,False,30.51,43.35,26.15,15.93,14.58,14.38,14.31,14.65,13.6,13.78,12.37,Medium,High,4.84,Mud range is elevated around 250-500 Hz.,,,
D Savage - Dirty Dan.wav,D Savage,148.03,D# Major,147.16,83,86,86,75,-0.0,-12.45,12.45,True,32.21,44.11,23.68,17.14,15.08,14.78,14.66,14.67,13.58,12.69,10.99,Low,High,6.8,Clipping detected: 14 samples are near/over the limit.,,,
D Savage - Don't Go.wav,D Savage,156.25,D Minor,182.49,82,86,84,75,-3.23,-16.96,13.73,False,30.9,45.41,23.69,16.06,14.83,14.79,15.58,15.04,13.8,12.98,10.71,Medium,High,4.33,Mud range is elevated around 250-500 Hz.,,,
D Savage - Don't Tell Me.wav,D Savage,125.0,C# Major,162.58,79,81,81,75,0.0,-8.97,8.97,True,31.99,44.24,23.77,17.06,14.93,14.63,14.8,14.81,13.68,13.12,10.65,Medium,High,4.54,Clipping detected: 41194 samples are near/over the limit.,,,
D Savage - Don't U Change.wav,D Savage,119.68,F# Minor,250.85,81,86,86,70,-0.0,-10.99,10.99,True,30.0,44.29,25.7,15.65,14.35,15.08,14.94,14.27,13.61,13.42,12.28,Medium,High,4.96,Clipping detected: 2710 samples are near/over the limit.,,,
