file,category,bpm,key,duration_sec,release_score,mix_score,master_score,arrangement_score,peak_db,rms_db,dynamic_range_db,clipping,low_end_total,mid_total,top_total,sub,bass_808,mud,low_mids,mids_melody,harsh_zone,highs,air,brightness,drum_activity,onset_density,top_problem
Destroy Lonely -  LNLY.wav,Destroy Lonely,119.68,D# Minor / Try C# Minor,135.72,79,81,81,75,0.0,-7.01,7.01,True,32.15,42.5,25.35,16.48,15.67,14.23,14.43,13.85,13.26,13.3,12.05,Medium,High,4.38,Clipping detected: 11683 samples are near/over the limit.
Destroy Lonely - 3MYGNG.wav,Destroy Lonely,148.03,D Major,117.55,79,81,81,75,0.0,-8.56,8.56,True,32.25,42.67,25.08,16.67,15.58,14.29,14.23,14.15,13.44,13.65,11.42,Medium,High,6.4,Clipping detected: 11373 samples are near/over the limit.
Destroy Lonely - ALLURE.wav,Destroy Lonely,127.84,D# Minor / Try D Minor,171.73,83,86,86,75,0.0,-10.84,10.84,True,32.01,42.66,25.32,16.46,15.55,14.38,14.57,13.71,13.16,13.64,11.68,Medium,High,5.34,Clipping detected: 405 samples are near/over the limit.
Destroy Lonely - BERGDORF.wav,Destroy Lonely,133.93,C Major,145.77,83,86,86,75,-0.0,-10.06,10.06,True,31.11,43.63,25.26,15.83,15.27,14.39,14.9,14.34,13.47,13.76,11.5,Medium,High,3.96,Clipping detected: 1831 samples are near/over the limit.
Destroy Lonely - BLITZ⧸ALLURE.wav,Destroy Lonely,133.93,F Minor / Try D Minor,206.22,83,86,86,75,-0.0,-12.23,12.23,True,31.5,42.37,26.13,16.37,15.13,14.23,14.05,14.08,13.4,14.01,12.12,Medium,High,3.9,Clipping detected: 7 samples are near/over the limit.
Destroy Lonely - Blitz.wav,Destroy Lonely,133.93,F Minor / Try A# Minor,143.36,83,86,86,75,0.0,-10.76,10.76,True,30.97,43.36,25.67,16.06,14.91,14.46,14.51,14.39,13.85,14.0,11.67,Medium,High,5.83,Clipping detected: 1325 samples are near/over the limit.
Destroy Lonely - CADILLAC .wav,Destroy Lonely,175.78,C# Minor / Try G# Minor,145.44,84,86,86,81,0.0,-9.32,9.32,True,31.14,42.49,26.36,16.44,14.7,14.33,14.37,13.79,13.1,14.32,12.05,Medium,High,5.86,Clipping detected: 3082 samples are near/over the limit.
Destroy Lonely - CRYSTAL CLEAR.wav,Destroy Lonely,165.44,F# Minor,218.27,84,86,86,81,0.0,-10.16,10.16,True,30.56,43.16,26.28,16.16,14.4,14.56,14.52,14.09,13.51,13.9,12.37,Medium,High,4.47,Clipping detected: 1996 samples are near/over the limit.
Destroy Lonely - CRYSTLCSTLES.wav,Destroy Lonely,140.62,D Minor / Try A Minor,167.13,83,86,86,75,0.0,-8.28,8.28,True,31.72,42.6,25.68,16.23,15.49,14.12,14.21,14.28,13.76,13.8,11.88,Medium,High,5.28,Clipping detected: 5626 samples are near/over the limit.
Destroy Lonely - DANGEROUS.wav,Destroy Lonely,130.81,D# Minor / Try C Minor,190.53,84,86,86,81,-0.0,-7.67,7.67,True,32.98,43.05,23.98,17.27,15.71,14.28,14.44,14.32,13.59,13.23,10.74,Low,High,5.64,Clipping detected: 8019 samples are near/over the limit.
Destroy Lonely - F.U.N.wav,Destroy Lonely,125.0,F# Minor / Try B Minor,103.84,76,78,76,75,0.0,-15.95,15.95,True,30.65,43.65,25.71,15.86,14.78,14.61,14.94,14.09,13.26,13.18,12.53,Medium,High,3.8,Clipping detected: 91 samples are near/over the limit.
Destroy Lonely - FAKENGGAS.wav,Destroy Lonely,140.62,C# Minor / Try C Minor,180.02,79,81,81,75,-0.0,-7.0,7.0,True,31.87,42.72,25.4,16.87,15.01,14.18,14.25,14.3,13.52,13.74,11.66,Medium,High,5.45,Clipping detected: 15149 samples are near/over the limit.
Destroy Lonely - HAVINMYWAY.wav,Destroy Lonely,159.2,D# Minor / Try G# Minor,144.44,84,86,86,81,0.0,-12.25,12.25,True,31.56,42.18,26.26,16.35,15.21,14.24,14.15,13.79,12.82,13.99,12.27,Medium,High,5.85,Clipping detected: 549 samples are near/over the limit.
Destroy Lonely - JETLGGD.wav,Destroy Lonely,140.62,D# Minor / Try A# Minor,116.54,83,86,86,75,-0.0,-7.99,7.99,True,32.16,42.14,25.69,16.68,15.48,13.81,14.24,14.1,13.38,14.07,11.63,Medium,High,7.53,Clipping detected: 2101 samples are near/over the limit.
Destroy Lonely - Jumanji.wav,Destroy Lonely,125.0,C Minor / Try F Minor,137.13,83,86,86,75,0.0,-8.53,8.53,True,31.19,42.5,26.32,16.6,14.59,14.19,14.43,13.87,13.26,13.96,12.36,Medium,High,4.67,Clipping detected: 232 samples are near/over the limit.
Destroy Lonely - LOUVRE.wav,Destroy Lonely,144.23,F# Minor / Try C# Minor,133.48,83,86,86,75,-0.0,-9.92,9.92,True,32.2,42.59,25.2,16.7,15.5,14.35,14.27,13.97,13.13,13.93,11.27,Medium,High,7.48,Clipping detected: 534 samples are near/over the limit.
Destroy Lonely - LUV 4 YA.wav,Destroy Lonely,119.68,E Minor,212.17,79,81,81,75,0.0,-7.85,7.85,True,31.64,43.0,25.36,16.91,14.72,14.48,14.48,14.04,13.38,13.7,11.66,Medium,High,5.85,Clipping detected: 17814 samples are near/over the limit.
Destroy Lonely - Lights Off.wav,Destroy Lonely,125.0,A# Minor / Try D# Minor,160.13,84,86,86,81,0.0,-9.99,9.99,True,31.31,42.4,26.29,16.89,14.41,14.54,14.31,13.56,12.09,13.58,12.71,Medium,High,5.85,Clipping detected: 103 samples are near/over the limit.
Destroy Lonely - MKEITSTOP.wav,Destroy Lonely,130.81,F Minor / Try D# Minor,153.92,83,86,86,75,-0.0,-9.87,9.87,True,32.19,43.74,24.07,16.73,15.46,14.62,14.91,14.2,13.61,13.19,10.88,Medium,High,5.7,Clipping detected: 1196 samples are near/over the limit.
Destroy Lonely - Miley Cyrus ⧸ Ya Ight.wav,Destroy Lonely,125.0,G# Major / Try C# Major,230.17,84,86,86,81,0.0,-11.89,11.89,True,30.67,43.2,26.13,15.94,14.73,14.65,14.63,13.92,12.85,13.53,12.6,Medium,High,4.35,Clipping detected: 167 samples are near/over the limit.
Destroy Lonely - NEVEREVER .wav,Destroy Lonely,140.62,G# Minor / Try E Minor,144.07,83,86,86,75,-0.0,-12.2,12.2,True,31.18,43.12,25.7,15.64,15.54,14.23,14.71,14.18,13.29,13.85,11.85,Medium,High,5.13,Clipping detected: 254 samples are near/over the limit.
Destroy Lonely - NEVEREVER.wav,Destroy Lonely,140.62,G# Minor / Try E Minor,144.07,83,86,86,75,-0.0,-12.2,12.2,True,31.18,43.12,25.7,15.64,15.54,14.23,14.71,14.18,13.29,13.85,11.85,Medium,High,5.13,Clipping detected: 254 samples are near/over the limit.
Destroy Lonely - NOSTYLIST.wav,Destroy Lonely,159.2,F# Minor / Try B Minor,182.1,79,81,81,75,0.0,-9.28,9.28,True,30.78,43.1,26.12,16.04,14.74,14.28,14.55,14.27,13.45,13.81,12.31,Medium,High,6.83,Clipping detected: 10264 samples are near/over the limit.
Destroy Lonely - ONTHEFLOOR.wav,Destroy Lonely,130.81,F Minor / Try A# Minor,190.57,83,86,86,75,0.0,-10.87,10.87,True,30.97,42.7,26.34,16.01,14.96,14.52,14.41,13.77,13.25,14.31,12.02,Medium,High,6.12,Clipping detected: 1536 samples are near/over the limit.
Destroy Lonely - ONTHETABLE.wav,Destroy Lonely,140.62,C# Minor / Try F Minor,154.28,79,81,81,75,0.0,-7.19,7.19,True,32.47,42.13,25.4,16.78,15.69,14.39,13.95,13.79,13.24,13.8,11.6,Medium,High,6.31,Clipping detected: 25773 samples are near/over the limit.
Destroy Lonely - OTW.wav,Destroy Lonely,133.93,C Minor / Try F Minor,224.9,79,81,81,75,0.0,-6.98,6.98,True,31.6,42.01,26.38,16.79,14.81,13.95,14.13,13.93,13.68,14.31,12.08,Medium,High,6.88,Clipping detected: 22528 samples are near/over the limit.
Destroy Lonely - Oh Yeah.wav,Destroy Lonely,133.93,D Minor / Try A Minor,117.67,76,78,76,75,-0.06,-15.5,15.44,True,30.97,43.26,25.78,16.1,14.87,13.98,14.89,14.39,13.76,13.46,12.31,Medium,High,5.8,Clipping detected: 1 samples are near/over the limit.
Destroy Lonely - PASSAROUND.wav,Destroy Lonely,140.62,E Minor / Try A Minor,150.86,84,86,86,81,0.0,-10.4,10.4,True,31.27,42.44,26.28,15.64,15.63,14.33,14.15,13.96,13.27,14.09,12.19,Medium,High,5.53,Clipping detected: 1132 samples are near/over the limit.
Destroy Lonely - PRSSURE.wav,Destroy Lonely,125.0,D# Minor / Try C Minor,137.19,81,81,81,81,-0.0,-6.41,6.41,True,32.3,42.22,25.48,17.11,15.19,14.26,14.25,13.72,13.18,13.41,12.07,Medium,High,5.01,Clipping detected: 31214 samples are near/over the limit.
