file,category,bpm,key,duration_sec,release_score,mix_score,master_score,arrangement_score,peak_db,rms_db,dynamic_range_db,clipping,low_end_total,mid_total,top_total,sub,bass_808,mud,low_mids,mids_melody,harsh_zone,highs,air,brightness,drum_activity,onset_density,top_problem,stem_vocal_to_beat_db,stem_bass_to_vocal_db,stem_melody_presence_score
Dom Corleo - 30 POINTER.wav,Dom Corleo,156.25,G# Minor,104.08,83,86,86,75,0.0,-10.07,10.07,True,31.38,42.9,25.72,16.43,14.95,14.35,14.36,14.19,13.01,13.53,12.19,Medium,High,6.0,Clipping detected: 602 samples are near/over the limit.,,,
Dom Corleo - Alicia.wav,Dom Corleo,148.03,E Major,142.22,83,86,84,79,-9.91,-16.94,7.03,False,32.94,42.24,24.82,15.77,17.17,14.5,13.93,13.81,13.02,12.94,11.87,Medium,Medium,2.59,Mud range is elevated around 250-500 Hz.,,,
Dom Corleo - BITE.wav,Dom Corleo,144.23,D# Minor,172.18,79,81,81,75,0.0,-7.9,7.9,True,31.49,42.91,25.59,16.17,15.32,14.59,14.2,14.12,13.35,13.23,12.37,Medium,High,6.34,Clipping detected: 15452 samples are near/over the limit.,,,
Dom Corleo - Bite My Swag.wav,Dom Corleo,148.03,D# Minor,115.91,88,94,94,75,-0.88,-11.0,10.12,False,31.93,41.02,27.06,16.83,15.1,13.58,14.03,13.4,12.65,14.11,12.94,High,High,4.25,Mud range is elevated around 250-500 Hz.,,,
Dom Corleo - Bloody Runtz.wav,Dom Corleo,140.62,G Minor,156.71,83,86,86,75,0.0,-6.3,6.3,True,31.7,42.04,26.26,16.71,14.99,13.95,14.16,13.94,13.28,13.44,12.82,Medium,High,6.46,Clipping detected: 1499 samples are near/over the limit.,,,
Dom Corleo - CHANDELIER.wav,Dom Corleo,133.93,F Major,130.32,83,86,86,75,-0.0,-10.0,10.0,True,31.14,42.91,25.94,16.62,14.52,14.22,14.2,14.5,13.61,13.7,12.25,Medium,High,5.94,Clipping detected: 188 samples are near/over the limit.,,,
Dom Corleo - Chester Perry.wav,Dom Corleo,148.03,G Minor,131.05,83,86,86,75,0.0,-8.27,8.27,True,31.94,43.04,25.02,16.35,15.59,14.59,14.29,14.17,13.57,13.5,11.53,Medium,High,4.4,Clipping detected: 167 samples are near/over the limit.,,,
Dom Corleo - Club Siberia.wav,Dom Corleo,148.03,D# Major,143.51,73,69,69,81,0.01,-6.19,6.2,True,31.7,42.42,25.88,16.59,15.11,14.18,14.18,14.06,13.28,13.44,12.45,Medium,High,5.3,Clipping detected: 176293 samples are near/over the limit.,,,
Dom Corleo - DEVOTE.wav,Dom Corleo,140.62,E Major,179.77,81,81,81,81,0.0,-8.84,8.84,True,30.48,42.8,26.72,15.67,14.81,14.75,14.15,13.9,13.24,13.98,12.74,Medium,High,5.53,Clipping detected: 17138 samples are near/over the limit.,,,
Dom Corleo - Eighteen.wav,Dom Corleo,170.45,F Minor,135.19,84,86,86,81,0.0,-11.23,11.23,True,31.63,42.54,25.83,16.35,15.28,14.3,14.23,14.01,13.05,13.51,12.33,Medium,High,5.27,Clipping detected: 23 samples are near/over the limit.,,,
Dom Corleo - FaZe x Porsche.wav,Dom Corleo,148.03,D Minor,64.05,80,86,86,65,-0.0,-8.69,8.69,True,31.66,41.23,27.11,16.82,14.84,13.83,13.63,13.77,13.36,13.93,13.18,High,High,3.23,Clipping detected: 160 samples are near/over the limit.,,,
Dom Corleo - Gmfb.wav,Dom Corleo,146.1,F Major,108.16,60,53,53,75,0.0,-5.54,5.54,True,32.16,42.93,24.92,16.61,15.54,14.64,14.33,13.96,13.14,12.91,12.01,Medium,High,3.95,Clipping detected: 69174 samples are near/over the limit.,,,
Dom Corleo - JUMPIN.wav,Dom Corleo,138.32,D# Major,72.05,80,86,86,65,0.0,-8.15,8.15,True,32.36,42.06,25.57,17.04,15.33,14.29,13.92,13.85,13.02,13.39,12.19,Medium,High,5.57,Clipping detected: 134 samples are near/over the limit.,,,
Dom Corleo - KARATE KICKIN.wav,Dom Corleo,144.23,D# Major,115.79,84,86,86,81,0.0,-7.88,7.88,True,31.85,42.27,25.88,16.79,15.06,14.1,14.13,14.04,13.14,13.56,12.32,Medium,High,6.49,Clipping detected: 1457 samples are near/over the limit.,,,
Dom Corleo - Miami.wav,Dom Corleo,159.2,D# Major,147.86,79,81,81,75,-0.0,-6.53,6.53,True,31.16,42.81,26.03,15.31,15.85,14.49,14.56,13.77,13.19,13.22,12.81,Medium,High,3.77,Clipping detected: 42441 samples are near/over the limit.,,,
Dom Corleo - Mood.wav,Dom Corleo,119.68,C Major,138.54,84,86,86,81,0.0,-6.25,6.25,True,31.53,41.93,26.55,16.38,15.15,14.19,14.34,13.39,12.79,13.64,12.91,Medium,High,4.66,Clipping detected: 1356 samples are near/over the limit.,,,
Dom Corleo - Ride.wav,Dom Corleo,156.25,E Major,97.88,57,53,53,65,0.0,-4.16,4.17,True,32.18,42.73,25.09,16.8,15.37,14.2,14.18,14.36,13.61,13.22,11.87,Medium,High,4.32,Clipping detected: 115861 samples are near/over the limit.,,,
Dom Corleo - Rockstar Drugz.wav,Dom Corleo,122.28,G Minor,189.67,84,86,86,81,0.0,-9.58,9.58,True,31.43,42.6,25.97,16.3,15.13,14.48,14.18,13.95,13.36,13.82,12.15,Medium,High,3.88,Clipping detected: 543 samples are near/over the limit.,,,
Dom Corleo - Should've Known.wav,Dom Corleo,145.47,C# Major,110.09,60,53,53,75,0.01,-4.02,4.03,True,31.69,41.81,26.5,16.84,14.85,13.99,14.02,13.79,13.14,13.49,13.01,High,High,5.49,Clipping detected: 146024 samples are near/over the limit.,,,
Dom Corleo - Sicilian Shooters.wav,Dom Corleo,144.23,F Minor,113.29,83,86,86,75,0.0,-9.59,9.59,True,30.89,42.43,26.68,16.3,14.59,13.73,14.61,14.09,13.22,13.84,12.83,High,High,5.14,Clipping detected: 429 samples are near/over the limit.,,,
Dom Corleo - Tbt.wav,Dom Corleo,130.81,G Major,117.25,83,86,86,75,0.0,-11.99,11.99,True,32.16,42.72,25.12,16.69,15.47,14.48,14.46,13.78,12.84,13.09,12.04,Medium,High,4.96,Clipping detected: 978 samples are near/over the limit.,,,
Dom Corleo - Telfar.wav,Dom Corleo,137.2,D Major,102.61,83,86,86,75,0.0,-7.41,7.41,True,31.19,42.81,26.0,16.93,14.25,14.4,14.44,13.97,13.0,13.46,12.54,Medium,High,5.61,Clipping detected: 180 samples are near/over the limit.,,,
Dom Corleo - Trap Essay.wav,Dom Corleo,130.81,G Minor,122.65,83,86,86,75,0.0,-9.29,9.29,True,30.85,42.19,26.95,15.7,15.16,14.49,14.07,13.63,13.06,13.96,12.99,High,High,5.22,Clipping detected: 1537 samples are near/over the limit.,,,
