file,category,bpm,key,duration_sec,release_score,mix_score,master_score,arrangement_score,peak_db,rms_db,dynamic_range_db,clipping,low_end_total,mid_total,top_total,sub,bass_808,mud,low_mids,mids_melody,harsh_zone,highs,air,brightness,drum_activity,onset_density,top_problem,stem_vocal_to_beat_db,stem_bass_to_vocal_db,stem_melody_presence_score
Duwap Kaine - #Contraband.wav,Duwap Kaine,140.62,D Minor,105.0,84,86,86,81,0.0,-8.23,8.23,True,32.05,42.06,25.88,17.22,14.83,13.99,14.17,13.9,13.26,13.59,12.3,Medium,High,6.0,Clipping detected: 2181 samples are near/over the limit.,,,
Duwap Kaine - #DamnMyGlock.wav,Duwap Kaine,160.71,F Major,165.0,84,86,86,81,-0.0,-9.33,9.33,True,31.33,42.44,26.24,16.69,14.64,14.36,14.21,13.87,13.2,13.76,12.48,Medium,High,6.12,Clipping detected: 4244 samples are near/over the limit.,,,
Duwap Kaine - #FreeGoCar.wav,Duwap Kaine,144.23,F Minor,85.01,82,86,86,71,-0.0,-13.03,13.03,True,31.39,42.91,25.7,16.58,14.81,14.16,14.41,14.34,13.8,13.55,12.14,Medium,High,4.18,Clipping detected: 36 samples are near/over the limit.,,,
Duwap Kaine - #HavinDat.wav,Duwap Kaine,181.45,C# Minor,110.0,70,65,65,81,0.0,-4.96,4.96,True,33.12,41.93,24.95,17.59,15.53,14.34,14.05,13.54,12.92,13.6,11.35,Low,High,6.61,Clipping detected: 44889 samples are near/over the limit.,,,
Duwap Kaine - #JunieBJones.wav,Duwap Kaine,156.25,C Major,155.06,84,86,86,81,0.0,-9.19,9.19,True,31.7,43.12,25.18,17.24,14.46,14.22,14.87,14.04,13.46,13.28,11.9,Medium,High,4.77,Clipping detected: 106 samples are near/over the limit.,,,
Duwap Kaine - #Stick.wav,Duwap Kaine,130.81,C Minor,140.0,86,86,86,85,0.0,-12.77,12.77,True,31.22,42.42,26.36,16.28,14.94,14.02,14.14,14.25,13.85,13.9,12.46,High,Medium,2.47,Clipping detected: 32 samples are near/over the limit.,,,
Duwap Kaine - #Stupid2.wav,Duwap Kaine,150.67,F Major,110.0,84,86,86,81,0.0,-8.6,8.6,True,31.83,42.51,25.66,16.5,15.34,14.41,14.21,13.89,13.12,13.62,12.04,Medium,High,4.25,Clipping detected: 2409 samples are near/over the limit.,,,
Duwap Kaine - #TakinShitDown.wav,Duwap Kaine,160.71,D Minor,165.0,73,69,69,81,0.0,-7.01,7.01,True,32.98,43.03,23.99,17.46,15.52,14.72,14.47,13.84,13.15,13.17,10.82,Low,High,4.61,Clipping detected: 110269 samples are near/over the limit.,,,
Duwap Kaine - #TellOnMe.wav,Duwap Kaine,152.03,C Minor,125.0,81,81,81,81,0.0,-7.1,7.1,True,31.18,42.32,26.5,16.74,14.44,13.86,14.26,14.19,13.29,13.86,12.64,Medium,High,6.83,Clipping detected: 34926 samples are near/over the limit.,,,
Duwap Kaine - Ain't Nothin.wav,Duwap Kaine,187.5,D# Minor,111.54,84,86,86,81,-0.0,-7.84,7.84,True,32.49,42.77,24.75,16.61,15.88,13.59,14.45,14.73,12.74,13.16,11.58,Medium,High,7.18,Clipping detected: 287 samples are near/over the limit.,,,
