file,category,bpm,key,duration_sec,release_score,mix_score,master_score,arrangement_score,peak_db,rms_db,dynamic_range_db,clipping,low_end_total,mid_total,top_total,sub,bass_808,mud,low_mids,mids_melody,harsh_zone,highs,air,brightness,drum_activity,onset_density,top_problem,stem_vocal_to_beat_db,stem_bass_to_vocal_db,stem_melody_presence_score
Eem Triplin - AROUND THE WORLD.wav,Eem Triplin,156.25,C# Minor,126.27,84,86,86,81,0.0,-12.53,12.53,True,30.23,42.48,27.29,15.05,15.18,14.65,14.17,13.67,13.18,13.75,13.54,High,High,3.73,Clipping detected: 410 samples are near/over the limit.,,,
Eem Triplin - AWKWARD FREESTYLE.wav,Eem Triplin,158.45,C# Major,127.67,84,86,86,81,-0.0,-7.5,7.5,True,31.83,41.28,26.9,16.91,14.91,13.98,13.64,13.65,12.74,13.46,13.44,High,High,4.46,Clipping detected: 333 samples are near/over the limit.,,,
Eem Triplin - BOUNCE BACK.wav,Eem Triplin,159.2,D# Minor,206.75,84,86,86,81,-0.0,-12.29,12.28,True,30.77,41.35,27.88,16.39,14.38,14.05,13.8,13.49,12.93,14.18,13.7,High,High,4.76,Clipping detected: 35 samples are near/over the limit.,,,
Eem Triplin - BY MY LONELY.wav,Eem Triplin,159.2,C Minor,148.61,90,94,94,81,-3.43,-15.23,11.81,False,32.29,40.6,27.11,17.08,15.21,13.75,13.52,13.32,12.72,13.62,13.49,High,High,3.82,Mud range is elevated around 250-500 Hz.,,,
Eem Triplin - Bout IT.wav,Eem Triplin,165.44,F Major,94.59,82,86,86,71,0.0,-8.09,8.09,True,30.94,41.92,27.13,15.82,15.12,14.15,13.95,13.82,13.09,13.8,13.33,High,High,7.13,Clipping detected: 3531 samples are near/over the limit.,,,
Eem Triplin - B＊%!# MOB.wav,Eem Triplin,165.44,F Minor,142.49,84,86,86,81,-0.0,-12.22,12.22,True,30.22,42.25,27.52,16.12,14.11,14.07,13.96,14.22,13.33,13.95,13.57,High,High,4.72,Clipping detected: 44 samples are near/over the limit.,,,
Eem Triplin - CHAIN HANG LOW.wav,Eem Triplin,140.62,C# Minor,113.48,84,86,86,81,-0.0,-11.66,11.66,True,31.16,41.34,27.5,16.37,14.79,13.97,13.8,13.57,12.86,14.07,13.44,High,High,3.75,Clipping detected: 69 samples are near/over the limit.,,,
Eem Triplin - Cut Ties.wav,Eem Triplin,168.75,F# Minor,113.03,73,69,69,81,0.0,-10.82,10.82,True,31.44,43.28,25.28,16.66,14.79,14.37,14.51,14.4,13.27,13.04,12.24,Medium,High,3.8,Clipping detected: 59734 samples are near/over the limit.,,,
Eem Triplin - Etiquette Proper.wav,Eem Triplin,127.84,C Major,120.08,81,81,81,81,-0.0,-10.43,10.43,True,31.95,41.2,26.85,16.47,15.48,14.34,13.61,13.25,12.67,13.53,13.32,High,High,3.31,Clipping detected: 9686 samples are near/over the limit.,,,
Eem Triplin - Flowers in Narnia.wav,Eem Triplin,117.19,C Minor,120.47,84,86,86,81,0.0,-12.62,12.62,True,29.98,42.46,27.56,15.33,14.65,14.53,14.16,13.77,13.16,13.84,13.73,High,High,6.13,Clipping detected: 4102 samples are near/over the limit.,,,
Eem Triplin - HEARTBEAT.wav,Eem Triplin,175.78,D Minor,123.32,84,86,86,81,0.0,-11.65,11.65,True,31.1,42.32,26.58,15.83,15.27,14.63,14.21,13.48,12.92,13.47,13.11,High,High,4.98,Clipping detected: 18 samples are near/over the limit.,,,
Eem Triplin - IF YOU GO.wav,Eem Triplin,140.62,C# Major,131.73,84,86,86,81,0.0,-11.48,11.48,True,30.63,42.47,26.9,15.7,14.94,14.85,14.11,13.5,12.62,13.27,13.63,High,High,3.97,Clipping detected: 401 samples are near/over the limit.,,,
Eem Triplin - LONDON TIPTON.wav,Eem Triplin,132.35,C Major,130.08,84,86,86,81,0.0,-9.43,9.43,True,31.39,41.88,26.73,16.33,15.07,14.26,13.73,13.89,13.22,13.81,12.91,Medium,High,3.67,Clipping detected: 921 samples are near/over the limit.,,,
Eem Triplin - LOUIE V.wav,Eem Triplin,178.57,D Minor,138.74,84,86,86,81,-0.0,-9.54,9.54,True,31.7,41.35,26.96,16.88,14.82,13.83,13.97,13.55,12.94,13.48,13.48,Medium,High,5.31,Clipping detected: 46 samples are near/over the limit.,,,
Eem Triplin - MR. CLEAN.wav,Eem Triplin,144.23,F Minor,105.04,84,86,86,81,0.0,-10.03,10.03,True,30.48,41.91,27.61,16.06,14.42,13.94,14.09,13.88,13.38,14.0,13.61,High,High,4.42,Clipping detected: 509 samples are near/over the limit.,,,
Eem Triplin - NEW JACK CITY.wav,Eem Triplin,156.25,D# Minor,122.97,84,86,86,81,-0.0,-10.46,10.46,True,32.86,40.53,26.6,16.87,16.0,13.9,13.58,13.06,12.57,13.47,13.13,Medium,High,5.47,Clipping detected: 169 samples are near/over the limit.,,,
