file,category,bpm,key,duration_sec,release_score,mix_score,master_score,arrangement_score,peak_db,rms_db,dynamic_range_db,clipping,low_end_total,mid_total,top_total,sub,bass_808,mud,low_mids,mids_melody,harsh_zone,highs,air,brightness,drum_activity,onset_density,top_problem,stem_vocal_to_beat_db,stem_bass_to_vocal_db,stem_melody_presence_score
EskdeeKid - Century.wav,Eskdeekid,140.62,F# Major,110.17,81,81,81,81,0.0,-7.99,7.99,True,31.57,42.84,25.6,15.93,15.64,14.56,14.36,13.92,13.0,13.24,12.35,Medium,High,7.03,Clipping detected: 23289 samples are near/over the limit.,,,
Eskdeekid - 4 Raws.wav,Eskdeekid,144.23,D Major,146.67,61,53,53,81,0.0,-3.81,3.82,True,32.84,41.77,25.38,17.47,15.37,14.24,13.79,13.74,13.19,13.38,12.01,Medium,High,5.12,Clipping detected: 134070 samples are near/over the limit.,,,
Eskdeekid - 5am.wav,Eskdeekid,160.71,C Major,121.5,70,65,65,81,0.0,-5.52,5.52,True,30.94,42.38,26.69,16.38,14.55,14.09,14.06,14.23,13.64,13.73,12.95,High,High,3.2,Clipping detected: 28951 samples are near/over the limit.,,,
Eskdeekid - Apathy.wav,Eskdeekid,162.26,G# Major,110.11,73,69,69,81,0.0,-9.14,9.14,True,30.5,42.96,26.53,15.81,14.69,15.01,14.1,13.86,13.25,13.47,13.07,High,High,3.06,Clipping detected: 67138 samples are near/over the limit.,,,
Eskdeekid - Bally.wav,Eskdeekid,140.62,E Minor,125.24,81,81,81,81,-0.0,-9.55,9.55,True,29.57,43.63,26.8,15.12,14.45,14.72,14.63,14.28,13.57,13.69,13.1,High,High,5.01,Clipping detected: 24943 samples are near/over the limit.,,,
Eskdeekid - Cali Man.wav,Eskdeekid,130.81,D Minor,108.31,80,81,81,76,0.0,-6.4,6.4,True,30.55,42.41,27.05,16.48,14.07,14.0,13.97,14.43,13.85,13.97,13.08,High,High,4.08,Clipping detected: 12604 samples are near/over the limit.,,,
Eskdeekid - Dirty.wav,Eskdeekid,144.23,D Minor,105.93,70,65,65,81,0.0,-5.57,5.57,True,31.8,41.72,26.48,16.81,14.99,14.18,13.77,13.77,13.26,13.84,12.64,Medium,High,9.69,Clipping detected: 17226 samples are near/over the limit.,,,
Eskdeekid - Ferragamo.wav,Eskdeekid,160.71,D# Minor,131.97,73,69,69,81,0.0,-6.9,6.9,True,30.58,41.88,27.54,15.87,14.71,13.68,14.19,14.01,13.24,14.21,13.33,High,High,4.33,Clipping detected: 171140 samples are near/over the limit.,,,
Eskdeekid - Gracias.wav,Eskdeekid,162.26,C# Minor,129.72,61,53,53,81,0.0,-5.05,5.05,True,31.87,41.49,26.64,17.49,14.38,13.71,13.92,13.86,13.05,13.68,12.96,Medium,High,5.29,Clipping detected: 367076 samples are near/over the limit.,,,
Eskdeekid - LV Sandals.wav,Eskdeekid,127.84,D Minor,111.16,71,69,69,76,0.0,-6.43,6.44,True,31.12,42.68,26.19,16.39,14.73,14.2,14.17,14.31,13.55,13.48,12.72,Medium,High,3.9,Clipping detected: 88777 samples are near/over the limit.,,,
Eskdeekid - Little Kidda.wav,Eskdeekid,173.08,A# Minor,99.42,70,69,69,71,-0.0,-8.16,8.16,True,30.04,42.37,27.59,14.69,15.36,14.38,14.0,13.99,12.94,14.09,13.5,High,High,6.29,Clipping detected: 53227 samples are near/over the limit.,,,
Eskdeekid - Mist.wav,Eskdeekid,130.81,D Minor,130.46,60,53,53,76,0.01,-4.36,4.37,True,31.91,41.82,26.27,17.03,14.88,13.73,14.02,14.08,13.38,13.6,12.68,Medium,High,3.84,Clipping detected: 89977 samples are near/over the limit.,,,
Eskdeekid - Number (N) ine Freestyle.wav,Eskdeekid,160.71,D# Major,103.58,70,65,65,81,-0.0,-5.63,5.63,True,32.47,41.4,26.13,18.03,14.44,13.48,14.22,13.7,12.61,13.33,12.8,Medium,High,5.71,Clipping detected: 28735 samples are near/over the limit.,,,
Eskdeekid - Palaces.wav,Eskdeekid,156.25,G# Minor,113.21,84,86,86,81,0.0,-10.57,10.57,True,30.3,43.12,26.58,15.77,14.53,14.68,14.42,14.02,13.44,13.69,12.88,Medium,High,5.14,Clipping detected: 4400 samples are near/over the limit.,,,
Eskdeekid - Panic.wav,Eskdeekid,168.75,D Minor,112.94,73,69,69,81,0.0,-6.16,6.16,True,31.09,42.33,26.58,16.17,14.91,14.01,14.24,14.08,13.37,13.75,12.82,High,High,6.48,Clipping detected: 125672 samples are near/over the limit.,,,
Eskdeekid - Phantom.wav,Eskdeekid,140.62,C# Major,109.76,61,53,53,81,0.0,-5.8,5.8,True,31.37,42.06,26.57,16.82,14.55,13.97,13.91,14.18,13.94,14.01,12.56,Medium,High,3.98,Clipping detected: 61202 samples are near/over the limit.,,,
Eskdeekid - Prague.wav,Eskdeekid,140.62,D# Major,97.71,70,69,69,71,0.0,-6.42,6.43,True,31.64,42.81,25.55,15.66,15.97,14.4,14.37,14.04,13.1,13.42,12.14,Medium,High,6.05,Clipping detected: 48542 samples are near/over the limit.,,,
Eskdeekid - Rottweiler.wav,Eskdeekid,140.62,D# Major,96.0,57,53,53,66,0.01,-5.67,5.68,True,31.74,41.98,26.29,16.62,15.12,13.88,14.04,14.06,13.26,13.39,12.9,High,High,6.46,Clipping detected: 66963 samples are near/over the limit.,,,
Eskdeekid - Slurricane.wav,Eskdeekid,119.68,E Minor,106.55,80,81,81,76,0.0,-6.16,6.16,True,32.73,41.21,26.06,17.37,15.36,13.81,13.74,13.67,13.16,13.46,12.6,Medium,High,6.08,Clipping detected: 18637 samples are near/over the limit.,,,
