file,category,bpm,key,duration_sec,release_score,mix_score,master_score,arrangement_score,peak_db,rms_db,dynamic_range_db,clipping,low_end_total,mid_total,top_total,sub,bass_808,mud,low_mids,mids_melody,harsh_zone,highs,air,brightness,drum_activity,onset_density,top_problem,stem_vocal_to_beat_db,stem_bass_to_vocal_db,stem_melody_presence_score
Fakemink (9090gate) - Bella Hadid.wav,Fakemink,156.25,A# Minor,148.03,84,86,86,81,0.0,-13.13,13.13,True,35.2,40.27,24.53,18.9,16.3,13.43,13.5,13.33,12.87,12.86,11.68,Medium,High,5.46,Clipping detected: 281 samples are near/over the limit.,,,
Fakemink - Bambi.wav,Fakemink,148.03,A# Major,124.34,82,81,79,85,-0.11,-16.01,15.9,True,29.64,42.97,27.39,14.91,14.73,13.98,14.43,14.56,14.03,14.14,13.26,High,Medium,2.4,Clipping detected: 2 samples are near/over the limit.,,,
Fakemink - Bhad Bhabie 2.wav,Fakemink,162.26,A# Minor,63.87,82,86,86,71,0.0,-11.56,11.56,True,31.08,43.08,25.84,15.72,15.37,14.76,14.57,13.75,13.07,13.48,12.36,Medium,High,4.38,Clipping detected: 4 samples are near/over the limit.,,,
Fakemink - Bite My Lip.wav,Fakemink,160.71,E Major,73.96,82,86,86,71,0.0,-10.26,10.26,True,32.1,42.0,25.9,16.17,15.92,14.42,13.88,13.7,13.32,13.47,12.44,Medium,High,4.29,Clipping detected: 667 samples are near/over the limit.,,,
Fakemink - Braces.wav,Fakemink,133.93,C Minor,96.48,81,86,84,71,-6.23,-18.14,11.9,False,30.59,42.93,26.48,15.37,15.21,13.98,14.2,14.75,14.19,13.79,12.69,High,High,6.16,Mud range is elevated around 250-500 Hz.,,,
Fakemink - Cats.wav,Fakemink,119.68,C Minor,55.38,77,86,86,56,0.0,-10.1,10.1,True,31.43,43.0,25.57,16.48,14.95,14.55,14.22,14.23,13.67,13.78,11.79,Medium,High,7.55,Clipping detected: 52 samples are near/over the limit.,,,
Fakemink - Crush.wav,Fakemink,122.28,A Major,106.48,84,86,86,81,-0.0,-11.28,11.28,True,30.66,43.36,25.99,15.85,14.81,14.18,14.71,14.46,13.93,13.69,12.3,Medium,High,5.54,Clipping detected: 63 samples are near/over the limit.,,,
Fakemink - Crying.wav,Fakemink,150.67,D Minor,78.31,72,70,70,75,0.0,-5.6,5.6,True,32.13,41.24,26.63,17.23,14.9,13.6,13.49,14.15,13.87,13.96,12.67,High,Medium,2.53,Clipping detected: 3218 samples are near/over the limit.,,,
Fakemink - Die Today.wav,Fakemink,150.67,C Major,65.29,81,86,86,70,0.0,-8.32,8.32,True,32.38,41.38,26.24,17.08,15.3,14.48,13.2,13.7,13.55,13.81,12.43,Medium,Medium,2.24,Clipping detected: 442 samples are near/over the limit.,,,
Fakemink - Easter Pink.wav,Fakemink,117.19,D Minor,87.14,83,86,86,75,0.0,-9.94,9.94,True,31.65,42.04,26.31,15.94,15.71,14.27,13.9,13.86,13.58,13.84,12.47,High,Medium,2.85,Clipping detected: 373 samples are near/over the limit.,,,
