file,category,bpm,key,duration_sec,release_score,mix_score,master_score,arrangement_score,peak_db,rms_db,dynamic_range_db,clipping,low_end_total,mid_total,top_total,sub,bass_808,mud,low_mids,mids_melody,harsh_zone,highs,air,brightness,drum_activity,onset_density,top_problem,stem_vocal_to_beat_db,stem_bass_to_vocal_db,stem_melody_presence_score
Fifteen [B5cGOTtWxYk].wav,Fimiguerrero,119.68,D# Major,168.18,84,86,86,81,-0.0,-10.72,10.72,True,31.81,42.69,25.5,16.71,15.1,14.2,14.57,13.93,13.33,13.71,11.79,Medium,High,5.43,Clipping detected: 460 samples are near/over the limit.,,,
Fimiguerrero (feat. Odunsi (The Engine).wav,Fimiguerrero,140.62,C Major,163.85,84,86,86,81,0.0,-10.7,10.7,True,30.13,43.6,26.27,15.83,14.31,14.49,14.52,14.59,13.76,13.66,12.61,High,High,7.49,Clipping detected: 627 samples are near/over the limit.,,,
Fimiguerrero - 100degrees.wav,Fimiguerrero,144.23,D Minor,145.95,84,86,86,81,0.0,-6.91,6.91,True,32.1,41.99,25.9,16.98,15.12,13.93,14.14,13.92,13.14,13.81,12.1,Medium,High,4.33,Clipping detected: 231 samples are near/over the limit.,,,
Fimiguerrero - 2FAST.wav,Fimiguerrero,148.03,G Minor,116.87,84,86,86,81,0.0,-10.83,10.83,True,30.61,41.82,27.58,15.88,14.72,13.79,14.04,13.99,13.78,14.51,13.07,High,High,3.44,Clipping detected: 953 samples are near/over the limit.,,,
Fimiguerrero - 5am.wav,Fimiguerrero,160.71,C Major,121.5,70,65,65,81,0.0,-5.52,5.52,True,30.94,42.38,26.69,16.38,14.55,14.09,14.06,14.23,13.64,13.73,12.95,High,High,3.2,Clipping detected: 28951 samples are near/over the limit.,,,
Fimiguerrero - A.C.I.D.wav,Fimiguerrero,159.2,E Major,144.09,84,86,86,81,0.0,-9.24,9.24,True,31.92,40.92,27.16,16.8,15.12,13.25,13.82,13.85,13.53,14.14,13.01,Medium,High,4.85,Clipping detected: 148 samples are near/over the limit.,,,
Fimiguerrero - ALOT.wav,Fimiguerrero,148.03,G Minor,135.18,84,86,86,81,0.0,-8.32,8.32,True,31.47,42.96,25.58,16.71,14.76,14.22,14.59,14.15,13.39,13.55,12.03,Medium,High,6.04,Clipping detected: 3095 samples are near/over the limit.,,,
Fimiguerrero - AZONTO.wav,Fimiguerrero,160.71,C# Minor,102.03,84,86,86,81,-0.0,-12.37,12.37,True,29.75,43.01,27.24,15.58,14.16,14.38,14.32,14.31,13.95,14.29,12.95,High,High,3.06,Clipping detected: 45 samples are near/over the limit.,,,
Fimiguerrero - After Life.wav,Fimiguerrero,140.62,C# Minor,185.14,81,81,81,81,0.0,-8.61,8.61,True,31.49,42.95,25.55,16.35,15.14,14.7,14.2,14.06,13.39,13.19,12.36,Medium,High,5.97,Clipping detected: 41550 samples are near/over the limit.,,,
Fimiguerrero - Ain't That Mad.wav,Fimiguerrero,144.23,F Minor,150.07,84,86,86,81,-0.0,-10.61,10.61,True,31.05,42.5,26.45,16.43,14.62,13.91,14.37,14.21,13.87,14.14,12.32,Medium,High,3.98,Clipping detected: 212 samples are near/over the limit.,,,
Fimiguerrero - All My Cards.wav,Fimiguerrero,162.26,F Minor,100.12,80,81,81,76,0.0,-6.88,6.88,True,31.1,42.76,26.13,16.41,14.7,14.55,14.27,13.95,13.39,13.55,12.58,Medium,High,4.36,Clipping detected: 27646 samples are near/over the limit.,,,
Fimiguerrero - Ankle Lock.wav,Fimiguerrero,148.03,D Minor,155.68,81,81,81,81,0.0,-6.41,6.41,True,31.08,42.72,26.19,16.27,14.82,14.32,14.28,14.12,13.47,13.54,12.65,High,High,5.6,Clipping detected: 41642 samples are near/over the limit.,,,
Fimiguerrero - BACKSTAGE.wav,Fimiguerrero,150.67,C Minor,105.77,84,86,86,81,0.0,-10.78,10.78,True,31.61,42.33,26.05,16.57,15.05,13.75,14.22,14.36,14.15,14.03,12.02,Medium,High,5.15,Clipping detected: 4686 samples are near/over the limit.,,,
Fimiguerrero - Behave.wav,Fimiguerrero,144.23,F# Minor,145.66,81,81,81,81,0.0,-7.88,7.88,True,31.2,42.44,26.36,16.32,14.89,14.13,14.3,14.01,13.3,13.56,12.8,High,High,7.79,Clipping detected: 48463 samples are near/over the limit.,,,
Fimiguerrero - Beyoncé.wav,Fimiguerrero,140.62,C# Minor,123.49,84,86,86,81,0.0,-11.32,11.32,True,31.97,42.27,25.76,16.77,15.2,14.1,14.13,14.04,13.83,13.81,11.95,Medium,High,4.39,Clipping detected: 652 samples are near/over the limit.,,,
Fimiguerrero - Black Flag.wav,Fimiguerrero,152.03,D# Major,139.99,84,86,86,81,0.0,-11.13,11.13,True,30.56,42.14,27.3,16.03,14.53,13.8,14.15,14.19,13.99,14.4,12.9,High,High,3.8,Clipping detected: 127 samples are near/over the limit.,,,
Fimiguerrero - Blackbirds.wav,Fimiguerrero,140.62,D Minor,216.0,81,81,81,81,-0.0,-8.07,8.07,True,31.84,42.7,25.47,16.79,15.05,14.48,14.13,14.09,13.46,13.25,12.21,Medium,High,5.06,Clipping detected: 82042 samples are near/over the limit.,,,
Fimiguerrero - Braincellz.wav,Fimiguerrero,130.81,G Minor,150.58,84,86,86,81,0.0,-14.42,14.42,True,31.1,42.62,26.27,16.47,14.64,14.07,14.19,14.37,13.93,14.18,12.09,Medium,High,4.46,Clipping detected: 497 samples are near/over the limit.,,,
Fimiguerrero - CANDYFLIP.wav,Fimiguerrero,144.23,C# Minor,120.89,84,86,86,81,-0.0,-8.52,8.52,True,31.42,41.87,26.71,16.5,14.92,13.74,14.02,14.11,13.67,13.92,12.79,Medium,High,4.21,Clipping detected: 439 samples are near/over the limit.,,,
Fimiguerrero - CHRISTIAN BALE.wav,Fimiguerrero,156.25,C Major,148.74,84,86,86,81,0.0,-8.51,8.51,True,32.16,41.2,26.64,16.58,15.58,13.66,13.55,14.0,13.81,14.23,12.4,Medium,High,5.73,Clipping detected: 1907 samples are near/over the limit.,,,
Fimiguerrero - Cheaters.wav,Fimiguerrero,150.0,G Minor,140.91,84,86,86,81,-0.0,-10.7,10.7,True,31.25,42.12,26.63,16.1,15.14,13.83,14.28,14.01,13.62,14.15,12.48,Medium,High,4.99,Clipping detected: 2983 samples are near/over the limit.,,,
Fimiguerrero - Comeback 2 Me.wav,Fimiguerrero,119.68,C Minor,97.14,82,86,86,71,0.0,-13.03,13.03,True,30.64,42.77,26.6,15.84,14.79,14.39,14.22,14.15,13.71,13.75,12.85,High,High,3.57,Clipping detected: 313 samples are near/over the limit.,,,
Fimiguerrero - DND.wav,Fimiguerrero,143.01,F# Minor,108.19,84,86,86,81,0.0,-11.76,11.76,True,30.48,42.32,27.2,16.27,14.21,13.83,14.2,14.28,13.87,14.22,12.98,High,High,4.09,Clipping detected: 48 samples are near/over the limit.,,,
Fimiguerrero - DON'T CARE.wav,Fimiguerrero,144.23,C Minor,160.16,84,86,86,81,-0.0,-11.47,11.47,True,30.72,41.85,27.44,16.36,14.35,13.72,13.87,14.26,14.17,14.6,12.83,High,High,5.51,Clipping detected: 174 samples are near/over the limit.,,,
Fimiguerrero - Da Vinci.wav,Fimiguerrero,143.01,E Minor,122.39,81,81,81,81,-0.0,-8.87,8.87,True,30.18,43.6,26.21,15.76,14.42,14.43,14.7,14.47,13.69,13.97,12.24,Medium,High,6.15,Clipping detected: 6779 samples are near/over the limit.,,,
Fimiguerrero - Dark Knight (feat. Lancey Foux).wav,Fimiguerrero,152.03,D Major,135.81,81,81,81,81,0.0,-7.52,7.52,True,31.04,42.91,26.04,16.37,14.68,14.36,14.34,14.21,13.79,13.78,12.27,Medium,High,8.04,Clipping detected: 34937 samples are near/over the limit.,,,
Fimiguerrero - Designer.wav,Fimiguerrero,140.62,F Minor,82.05,78,81,81,71,0.0,-9.57,9.57,True,30.89,41.8,27.31,16.23,14.66,13.99,14.02,13.79,13.2,14.04,13.27,High,High,3.58,Clipping detected: 5672 samples are near/over the limit.,,,
