file,category,bpm,key,duration_sec,release_score,mix_score,master_score,arrangement_score,peak_db,rms_db,dynamic_range_db,clipping,low_end_total,mid_total,top_total,sub,bass_808,mud,low_mids,mids_melody,harsh_zone,highs,air,brightness,drum_activity,onset_density,top_problem,stem_vocal_to_beat_db,stem_bass_to_vocal_db,stem_melody_presence_score
Glokk40Spaz - 2 Love 2 Da Mob.wav,Glokk40Spaz,152.03,F Minor,218.43,90,94,94,81,-2.26,-14.8,12.54,False,30.69,42.67,26.64,15.12,15.57,14.38,14.29,14.0,13.36,14.01,12.63,Medium,High,6.95,Mud range is elevated around 250-500 Hz.,,,
Glokk40Spaz - 3rd World.wav,Glokk40Spaz,145.47,D# Minor,147.18,84,86,86,81,0.0,-8.02,8.02,True,31.86,43.27,24.88,16.76,15.09,14.79,14.45,14.03,13.37,13.3,11.57,Medium,High,8.05,Clipping detected: 6928 samples are near/over the limit.,,,
Glokk40Spaz - 8 Mile.wav,Glokk40Spaz,143.01,C# Major,158.85,84,86,86,81,-0.0,-10.74,10.74,True,31.6,43.52,24.88,16.2,15.41,14.62,14.67,14.23,13.7,13.11,11.77,Medium,High,7.59,Clipping detected: 2102 samples are near/over the limit.,,,
Glokk40Spaz - All Black FT. BabySolid.wav,Glokk40Spaz,148.03,C Minor,125.59,84,86,86,81,0.0,-7.97,7.97,True,32.29,42.82,24.89,17.22,15.07,14.53,14.4,13.89,13.44,13.27,11.62,Medium,High,7.87,Clipping detected: 642 samples are near/over the limit.,,,
Glokk40Spaz - Backdoor.wav,Glokk40Spaz,130.81,C# Minor,146.96,84,86,86,81,0.0,-7.62,7.62,True,31.87,42.73,25.4,16.96,14.92,14.11,14.47,14.14,13.53,13.03,12.37,Medium,High,6.71,Clipping detected: 1302 samples are near/over the limit.,,,
Glokk40Spaz - Bad Man.wav,Glokk40Spaz,163.04,C# Minor,169.25,81,81,81,81,-0.0,-8.5,8.5,True,30.8,43.98,25.22,16.46,14.34,14.7,14.83,14.46,13.93,13.57,11.65,Medium,High,5.16,Clipping detected: 49163 samples are near/over the limit.,,,
Glokk40Spaz - Bad Relations.wav,Glokk40Spaz,143.01,F# Minor,145.95,89,92,92,81,-0.29,-9.09,8.8,False,32.61,42.33,25.06,17.5,15.11,14.21,14.31,13.81,13.24,13.36,11.7,Medium,High,6.54,Mud range is elevated around 250-500 Hz.,,,
Glokk40Spaz - Be Right Back.wav,Glokk40Spaz,137.2,C# Minor,167.8,84,86,86,81,-0.0,-13.89,13.89,True,29.78,43.34,26.89,15.15,14.63,14.5,14.55,14.28,13.74,13.83,13.06,Medium,High,4.05,Clipping detected: 170 samples are near/over the limit.,,,
Glokk40Spaz - Blame Us.wav,Glokk40Spaz,133.93,E Minor,143.74,84,86,86,81,0.0,-10.79,10.79,True,31.09,44.01,24.9,16.66,14.43,14.64,15.28,14.08,13.1,13.46,11.44,Medium,High,5.56,Clipping detected: 1139 samples are near/over the limit.,,,
Glokk40Spaz - Brainwashed.wav,Glokk40Spaz,140.62,G# Major,145.96,84,86,86,81,-0.0,-11.85,11.85,True,32.36,42.38,25.26,16.03,16.33,14.01,14.18,14.19,13.63,13.5,11.76,Medium,High,6.49,Clipping detected: 11 samples are near/over the limit.,,,
Glokk40Spaz - Decoy.wav,Glokk40Spaz,137.2,F# Major,163.92,70,65,65,81,-0.0,-5.96,5.96,True,32.22,42.26,25.52,17.35,14.87,13.65,14.32,14.29,13.63,13.5,12.02,Medium,High,4.44,Clipping detected: 29489 samples are near/over the limit.,,,
Glokk40Spaz - Demonz.wav,Glokk40Spaz,144.23,D Minor,109.84,84,86,86,81,0.0,-11.77,11.77,True,32.63,43.74,23.63,17.39,15.24,15.14,14.71,13.89,12.82,12.97,10.66,Low,High,5.33,Clipping detected: 1208 samples are near/over the limit.,,,
Glokk40Spaz - Different Goals.wav,Glokk40Spaz,140.62,C# Minor,150.16,70,65,65,81,0.0,-5.46,5.46,True,32.63,42.39,24.98,17.26,15.37,14.13,14.14,14.11,13.6,13.33,11.65,Medium,High,7.47,Clipping detected: 34162 samples are near/over the limit.,,,
Glokk40Spaz - Enough Ammo.wav,Glokk40Spaz,140.62,C# Minor,150.66,84,86,86,81,0.0,-12.5,12.5,True,31.29,42.63,26.07,16.36,14.94,14.23,14.22,14.18,13.57,13.86,12.21,High,High,7.21,Clipping detected: 380 samples are near/over the limit.,,,
Glokk40Spaz - Face Card.wav,Glokk40Spaz,152.03,D Minor,127.85,84,86,86,81,0.0,-9.86,9.86,True,31.39,43.14,25.47,16.9,14.49,14.21,14.56,14.37,13.72,13.48,11.99,Medium,High,6.98,Clipping detected: 693 samples are near/over the limit.,,,
Glokk40Spaz - Forgot My Manners.wav,Glokk40Spaz,140.62,C Minor,138.65,84,86,86,81,0.0,-10.41,10.41,True,31.71,42.78,25.51,16.84,14.87,14.2,14.19,14.39,13.77,13.52,11.99,Medium,High,6.9,Clipping detected: 700 samples are near/over the limit.,,,
Glokk40Spaz - Free Sumo.wav,Glokk40Spaz,144.23,C Minor,131.3,84,86,86,81,0.0,-10.85,10.85,True,31.51,42.65,25.84,16.19,15.32,14.37,14.23,14.05,13.76,14.03,11.81,Medium,High,7.14,Clipping detected: 135 samples are near/over the limit.,,,
Glokk40Spaz - Get Wicked.wav,Glokk40Spaz,137.2,D Major,115.58,84,86,86,81,-0.0,-13.82,13.82,True,31.03,43.92,25.05,16.18,14.85,14.24,14.77,14.91,14.32,13.37,11.68,Medium,High,4.45,Clipping detected: 40 samples are near/over the limit.,,,
Glokk40Spaz - I Slay Bitches.wav,Glokk40Spaz,140.62,C Minor,143.0,84,86,86,81,0.0,-10.58,10.58,True,31.11,43.01,25.88,17.07,14.04,14.33,14.35,14.33,13.9,14.13,11.75,Medium,High,6.87,Clipping detected: 108 samples are near/over the limit.,,,
Glokk40Spaz - Lemme Be Ya Plug.wav,Glokk40Spaz,140.62,C# Minor,165.0,84,86,86,81,0.0,-9.49,9.49,True,30.36,42.66,26.97,16.1,14.26,14.3,14.41,13.95,13.55,13.82,13.15,Medium,High,6.82,Clipping detected: 1691 samples are near/over the limit.,,,
Glokk40Spaz - Levels Vol. 2.wav,Glokk40Spaz,138.32,D Minor,112.81,84,86,86,81,0.0,-8.17,8.17,True,31.67,43.54,24.79,17.23,14.45,14.64,14.85,14.04,13.52,13.16,11.63,Medium,High,5.0,Clipping detected: 3092 samples are near/over the limit.,,,
Glokk40Spaz - Mr.RipOff.wav,Glokk40Spaz,138.32,E Minor,112.55,84,86,86,81,-0.0,-12.4,12.4,True,31.0,43.63,25.37,16.2,14.8,14.49,14.69,14.46,13.95,13.72,11.65,Medium,High,7.82,Clipping detected: 4 samples are near/over the limit.,,,
Glokk40Spaz - Muzzle.wav,Glokk40Spaz,140.62,C Major,126.23,84,86,86,81,-0.0,-8.19,8.19,True,32.51,42.32,25.18,17.27,15.24,13.91,14.4,14.01,13.42,13.43,11.75,Medium,High,6.53,Clipping detected: 868 samples are near/over the limit.,,,
Glokk40Spaz - Not A Believer.wav,Glokk40Spaz,140.62,D Minor,175.26,81,81,81,81,0.0,-7.76,7.76,True,31.99,41.63,26.38,17.02,14.97,13.88,13.72,14.03,13.64,13.78,12.6,Medium,High,7.01,Clipping detected: 12292 samples are near/over the limit.,,,
Glokk40Spaz - Nun 4 No Schmuck.wav,Glokk40Spaz,140.62,D# Minor,155.79,84,86,86,81,0.0,-14.16,14.16,True,30.07,42.89,27.05,15.54,14.52,14.46,14.63,13.8,13.17,13.77,13.27,High,High,6.36,Clipping detected: 42 samples are near/over the limit.,,,
Glokk40Spaz - Perfect My Rob.wav,Glokk40Spaz,140.62,C# Minor,195.95,84,86,86,81,-0.0,-13.19,13.19,True,30.37,43.07,26.56,15.62,14.75,14.65,14.43,13.99,13.55,13.89,12.67,Medium,High,6.33,Clipping detected: 110 samples are near/over the limit.,,,
Glokk40Spaz - Purple.wav,Glokk40Spaz,148.03,C# Minor,146.96,61,53,53,81,0.0,-5.26,5.27,True,33.25,41.19,25.55,17.68,15.57,13.65,13.79,13.76,13.22,13.52,12.04,Medium,High,6.54,Clipping detected: 175127 samples are near/over the limit.,,,
Glokk40Spaz - Remember Me.wav,Glokk40Spaz,140.62,G Minor,112.49,84,86,84,81,-17.19,-30.43,13.25,False,31.51,44.0,24.5,16.72,14.78,15.05,14.73,14.22,13.39,13.48,11.02,Medium,High,5.32,Mud range is elevated around 250-500 Hz.,,,
Glokk40Spaz - Still Young Pablo.wav,Glokk40Spaz,144.23,C Major,147.16,73,70,70,81,-0.0,-17.81,17.81,True,30.85,43.18,25.97,15.7,15.15,14.67,14.55,13.96,13.14,13.57,12.4,Medium,High,7.99,Clipping detected: 94 samples are near/over the limit.,,,
