file,category,bpm,key,duration_sec,release_score,mix_score,master_score,arrangement_score,peak_db,rms_db,dynamic_range_db,clipping,low_end_total,mid_total,top_total,sub,bass_808,mud,low_mids,mids_melody,harsh_zone,highs,air,brightness,drum_activity,onset_density,top_problem,stem_vocal_to_beat_db,stem_bass_to_vocal_db,stem_melody_presence_score
Hardrock - #LSD.wav,Hardrock,168.75,D Major,113.72,84,86,86,81,0.0,-6.87,6.87,True,32.03,42.35,25.62,17.11,14.92,13.94,14.16,14.26,13.84,13.48,12.15,Medium,High,6.22,Clipping detected: 25 samples are near/over the limit.,,,
Hardrock - 1of1.wav,Hardrock,167.91,D# Major,124.01,81,81,81,81,0.0,-7.41,7.41,True,31.73,41.84,26.42,16.62,15.12,14.11,13.88,13.85,13.29,14.09,12.33,Medium,High,6.89,Clipping detected: 6244 samples are near/over the limit.,,,
Hardrock - Biggest Soldier.wav,Hardrock,152.03,C# Major,139.92,90,94,94,81,-3.15,-14.19,11.05,False,32.32,42.46,25.23,17.27,15.04,14.05,14.17,14.24,13.4,13.49,11.74,Medium,High,4.48,Mud range is elevated around 250-500 Hz.,,,
Hardrock - Blood Sweat Tears.wav,Hardrock,144.23,E Minor,144.68,73,70,70,81,0.0,-5.62,5.62,True,32.7,42.01,25.29,17.29,15.4,14.19,13.92,13.9,13.37,13.45,11.84,Medium,High,6.61,Clipping detected: 1107 samples are near/over the limit.,,,
Hardrock - DEADASS.wav,Hardrock,137.2,D Minor,114.58,83,86,86,76,-0.0,-7.09,7.09,True,31.3,42.84,25.86,16.46,14.84,14.69,14.11,14.03,13.29,13.64,12.22,Medium,High,5.89,Clipping detected: 4035 samples are near/over the limit.,,,
Hardrock - Don't Blink.wav,Hardrock,148.03,F Major,102.86,80,81,81,76,-0.0,-8.22,8.22,True,32.04,43.24,24.72,17.1,14.94,14.55,14.57,14.13,13.33,13.15,11.57,Medium,High,6.66,Clipping detected: 12489 samples are near/over the limit.,,,
Hardrock - Don't Trip!.wav,Hardrock,137.2,G Major,146.76,90,94,94,81,-1.2,-14.42,13.22,False,30.8,43.57,25.63,15.52,15.28,14.9,14.59,14.07,13.43,13.47,12.16,Medium,High,6.29,Mud range is elevated around 250-500 Hz.,,,
Hardrock - Evil Ambiance.wav,Hardrock,140.62,F# Minor,96.22,82,86,86,71,-0.0,-7.1,7.1,True,33.49,41.91,24.61,17.89,15.6,14.67,13.95,13.3,12.22,12.39,12.22,Medium,High,6.15,Clipping detected: 106 samples are near/over the limit.,,,
Hardrock - HNDRXX.wav,Hardrock,150.0,G# Minor,115.22,84,86,86,81,-0.0,-12.98,12.98,True,31.2,42.8,26.0,16.23,14.97,14.33,14.32,14.15,13.46,13.6,12.4,Medium,High,6.83,Clipping detected: 27 samples are near/over the limit.,,,
Hardrock - Joint.wav,Hardrock,136.09,D# Minor,147.26,90,94,94,81,-0.37,-12.82,12.45,False,31.45,42.54,26.0,16.55,14.9,14.89,13.91,13.74,13.13,13.65,12.35,Medium,High,4.63,Mud range is elevated around 250-500 Hz.,,,
