file,category,bpm,key,duration_sec,release_score,mix_score,master_score,arrangement_score,peak_db,rms_db,dynamic_range_db,clipping,low_end_total,mid_total,top_total,sub,bass_808,mud,low_mids,mids_melody,harsh_zone,highs,air,brightness,drum_activity,onset_density,top_problem,stem_vocal_to_beat_db,stem_bass_to_vocal_db,stem_melody_presence_score
Homixide Gang  - ROAD RAGE.wav,Homixide Gang,144.23,D# Minor,134.98,84,86,86,81,-0.0,-8.12,8.12,True,31.13,41.95,26.91,16.5,14.63,14.54,13.6,13.82,13.53,14.15,12.77,High,High,5.7,Clipping detected: 5037 samples are near/over the limit.,,,
Homixide Gang - 1-800-555-OPIUM.wav,Homixide Gang,137.2,F Major,177.47,82,81,81,85,0.0,-8.27,8.27,True,30.77,43.03,26.2,15.91,14.86,14.0,14.28,14.75,13.81,13.6,12.61,Medium,Medium,2.72,Clipping detected: 29892 samples are near/over the limit.,,,
Homixide Gang - 2xTREME.wav,Homixide Gang,144.23,D# Major,120.26,81,81,81,81,0.0,-8.57,8.57,True,31.11,42.34,26.55,16.35,14.77,13.87,14.01,14.46,13.73,13.88,12.67,Medium,High,5.12,Clipping detected: 13150 samples are near/over the limit.,,,
Homixide Gang - 5G.wav,Homixide Gang,137.2,D# Minor,190.32,84,86,86,81,0.0,-8.47,8.47,True,31.07,42.81,26.12,16.61,14.46,14.0,14.22,14.59,14.31,13.95,12.17,Medium,High,5.87,Clipping detected: 7753 samples are near/over the limit.,,,
Homixide Gang - 5ONJOUR.wav,Homixide Gang,143.01,C# Major,109.08,80,81,81,76,0.0,-6.89,6.89,True,31.08,42.4,26.52,16.44,14.64,14.42,14.09,13.89,13.5,14.12,12.4,High,High,5.05,Clipping detected: 8712 samples are near/over the limit.,,,
Homixide Gang - ADHD.wav,Homixide Gang,150.67,C Major,180.64,84,86,86,81,0.0,-8.48,8.49,True,31.4,42.08,26.52,16.48,14.93,14.17,13.97,13.94,13.13,13.9,12.62,Medium,High,6.66,Clipping detected: 1241 samples are near/over the limit.,,,
Homixide Gang - AddXcts.wav,Homixide Gang,133.93,A# Minor,134.31,84,86,86,81,-0.0,-6.36,6.36,True,31.76,41.99,26.24,16.81,14.95,14.19,14.02,13.79,13.04,14.06,12.18,Medium,High,5.17,Clipping detected: 4551 samples are near/over the limit.,,,
Homixide Gang - B5.wav,Homixide Gang,148.03,C# Minor,118.17,81,81,81,81,0.0,-8.63,8.63,True,30.14,42.79,27.07,15.76,14.38,14.18,14.19,14.42,14.24,14.25,12.83,High,High,5.14,Clipping detected: 9713 samples are near/over the limit.,,,
Homixide Gang - Block Work.wav,Homixide Gang,133.93,A Minor,188.44,81,81,81,81,0.0,-6.75,6.75,True,30.84,42.95,26.21,16.37,14.47,14.14,14.36,14.46,13.96,14.0,12.21,High,High,3.14,Clipping detected: 12743 samples are near/over the limit.,,,
Homixide Gang - FACET!ME.wav,Homixide Gang,140.62,F# Minor,182.7,81,81,81,81,0.0,-6.16,6.16,True,31.16,42.52,26.32,16.46,14.7,13.8,14.19,14.53,13.89,13.96,12.36,Medium,High,5.14,Clipping detected: 12140 samples are near/over the limit.,,,
Homixide Gang - FRANK MATTHEWS.wav,Homixide Gang,156.25,D Minor,149.2,84,86,86,81,0.0,-9.57,9.57,True,30.19,43.95,25.86,15.56,14.63,14.19,14.8,14.96,13.71,13.85,12.01,Medium,High,5.51,Clipping detected: 4130 samples are near/over the limit.,,,
Homixide Gang - Free Agents.wav,Homixide Gang,140.62,F Minor,189.53,84,86,86,81,0.0,-11.72,11.72,True,30.63,43.74,25.62,16.09,14.54,14.36,14.63,14.76,13.96,14.06,11.57,Medium,High,3.74,Clipping detected: 14 samples are near/over the limit.,,,
Homixide Gang - HI-VOLTAGE.wav,Homixide Gang,130.81,C# Major,118.04,84,86,86,81,0.0,-10.93,10.93,True,30.76,43.46,25.78,16.39,14.36,14.3,14.47,14.69,13.79,13.4,12.38,Medium,High,6.33,Clipping detected: 2169 samples are near/over the limit.,,,
Homixide Gang - LEXLUGER.wav,Homixide Gang,140.62,F# Major,185.9,73,70,70,81,-0.0,-17.98,17.98,True,30.77,42.64,26.6,15.67,15.1,14.51,14.02,14.1,13.61,13.88,12.71,Medium,High,3.69,Clipping detected: 218 samples are near/over the limit.,,,
Homixide Gang - Lif3.wav,Homixide Gang,144.23,C Major,165.84,84,86,86,81,0.0,-8.98,8.98,True,30.99,42.52,26.49,16.18,14.81,13.99,14.34,14.19,13.69,13.9,12.59,Medium,High,5.1,Clipping detected: 1000 samples are near/over the limit.,,,
Homixide Gang - Lifestyle.wav,Homixide Gang,144.23,E Major,138.6,84,86,86,81,0.0,-7.83,7.83,True,31.97,42.07,25.96,16.76,15.2,14.28,13.77,14.03,13.77,13.89,12.07,Medium,High,7.01,Clipping detected: 485 samples are near/over the limit.,,,
Homixide Gang - PB&J.wav,Homixide Gang,148.03,F Minor,150.15,81,81,81,81,0.0,-7.5,7.5,True,30.78,42.93,26.28,16.33,14.46,14.09,14.41,14.43,13.75,13.83,12.45,Medium,High,6.73,Clipping detected: 8231 samples are near/over the limit.,,,
Homixide Gang - PC5.wav,Homixide Gang,140.62,F# Minor,138.44,61,53,53,81,0.01,-5.9,5.91,True,31.41,43.17,25.42,16.19,15.22,13.87,14.5,14.79,14.15,13.73,11.69,Medium,High,6.41,Clipping detected: 187426 samples are near/over the limit.,,,
Homixide Gang - R50.wav,Homixide Gang,148.03,D Minor,111.62,84,86,86,81,-0.0,-10.0,10.0,True,31.22,42.85,25.93,16.4,14.82,13.82,14.16,14.87,14.42,13.83,12.1,Medium,High,4.5,Clipping detected: 1989 samples are near/over the limit.,,,
Homixide Gang - REDRAG.wav,Homixide Gang,140.62,C# Minor,166.84,81,81,81,81,0.0,-6.8,6.8,True,30.86,43.06,26.08,16.37,14.5,14.22,14.31,14.53,13.85,13.99,12.09,Medium,High,5.64,Clipping detected: 8445 samples are near/over the limit.,,,
Homixide Gang - SIDE EFFExT.wav,Homixide Gang,133.93,C Major,223.0,70,65,65,81,0.0,-5.09,5.1,True,32.66,41.6,25.74,17.45,15.22,13.65,14.07,13.88,13.26,13.26,12.48,Medium,High,4.94,Clipping detected: 34196 samples are near/over the limit.,,,
Homixide Gang - SSN.wav,Homixide Gang,153.41,D Minor,96.22,78,81,81,71,0.0,-6.36,6.36,True,32.77,41.63,25.6,17.28,15.49,14.18,13.59,13.86,13.5,13.69,11.91,Medium,High,6.84,Clipping detected: 13731 samples are near/over the limit.,,,
