file,category,bpm,key,duration_sec,release_score,mix_score,master_score,arrangement_score,peak_db,rms_db,dynamic_range_db,clipping,low_end_total,mid_total,top_total,sub,bass_808,mud,low_mids,mids_melody,harsh_zone,highs,air,brightness,drum_activity,onset_density,top_problem,stem_vocal_to_beat_db,stem_bass_to_vocal_db,stem_melody_presence_score
Izaya Tiji -  Never Fold.wav,Izaya Tiji,130.81,D Major,160.01,83,86,86,75,-0.0,-10.68,10.68,True,33.28,41.55,25.16,18.13,15.15,13.82,14.29,13.45,12.33,13.75,11.42,Medium,High,5.3,Clipping detected: 24 samples are near/over the limit.,,,
Izaya Tiji -  On The Loose.wav,Izaya Tiji,136.09,C# Major,120.0,83,86,86,75,-0.0,-10.24,10.24,True,32.89,41.65,25.46,17.53,15.36,13.79,14.05,13.81,13.36,13.44,12.01,Medium,High,6.75,Clipping detected: 1652 samples are near/over the limit.,,,
Izaya Tiji -  Rich Niggas.wav,Izaya Tiji,140.62,F Minor,140.06,90,94,94,81,-0.93,-13.8,12.88,False,33.12,41.56,25.31,17.36,15.76,14.54,13.49,13.53,13.04,13.53,11.79,Medium,High,4.18,Mud range is elevated around 250-500 Hz.,,,
Izaya Tiji - #slayy #jimsoja.wav,Izaya Tiji,173.08,C Major,130.05,83,86,86,75,0.0,-8.32,8.32,True,31.8,43.77,24.43,17.4,14.4,14.75,14.66,14.36,13.1,13.31,11.11,Medium,High,4.58,Clipping detected: 2916 samples are near/over the limit.,,,
Izaya Tiji - 1.wav,Izaya Tiji,119.68,F# Major,60.79,70,70,73,65,-26.19,-44.15,17.97,False,49.74,48.23,2.03,22.61,27.13,23.72,15.71,8.8,3.88,1.07,0.97,Low,Low,0.79,Mud range is elevated around 250-500 Hz.,,,
Izaya Tiji - 4 Kaine.wav,Izaya Tiji,133.93,C# Minor,157.06,84,86,86,81,-0.0,-9.05,9.05,True,32.28,43.21,24.52,17.28,15.0,14.91,14.58,13.72,12.76,12.73,11.79,Medium,High,4.37,Clipping detected: 4771 samples are near/over the limit.,,,
Izaya Tiji - 8.wav,Izaya Tiji,144.23,C Minor,151.42,90,94,94,81,-0.49,-11.81,11.32,False,33.38,41.71,24.91,18.06,15.32,13.8,13.9,14.02,13.25,13.49,11.42,Medium,High,3.57,Mud range is elevated around 250-500 Hz.,,,
Izaya Tiji - Adjacent.wav,Izaya Tiji,160.71,D# Minor,112.48,87,92,92,75,-0.22,-12.72,12.5,False,32.22,42.16,25.62,17.01,15.21,14.28,14.33,13.55,12.84,13.4,12.23,Medium,High,5.75,Mud range is elevated around 250-500 Hz.,,,
Izaya Tiji - Asthma 2.wav,Izaya Tiji,136.09,C# Minor,180.42,85,89,89,75,-0.17,-15.46,15.29,True,32.53,43.31,24.16,16.8,15.73,14.5,14.6,14.21,12.95,12.97,11.19,Medium,High,5.44,Clipping detected: 1 samples are near/over the limit.,,,
Izaya Tiji - Batman miso.wav,Izaya Tiji,133.93,C Minor,224.54,84,86,86,81,-0.0,-9.68,9.68,True,31.48,43.89,24.63,18.06,13.42,14.57,14.79,14.53,13.49,13.17,11.46,Low,High,5.48,Clipping detected: 74 samples are near/over the limit.,,,
Izaya Tiji - Been Better.wav,Izaya Tiji,119.68,F# Minor,153.34,71,69,69,75,0.0,-6.82,6.82,True,32.01,42.5,25.49,17.8,14.22,13.62,14.68,14.2,13.2,13.24,12.25,Medium,High,4.31,Clipping detected: 435491 samples are near/over the limit.,,,
