file,category,bpm,key,duration_sec,release_score,mix_score,master_score,arrangement_score,peak_db,rms_db,dynamic_range_db,clipping,low_end_total,mid_total,top_total,sub,bass_808,mud,low_mids,mids_melody,harsh_zone,highs,air,brightness,drum_activity,onset_density,top_problem,stem_vocal_to_beat_db,stem_bass_to_vocal_db,stem_melody_presence_score
Jaydes - 4u.wav,Jaydes,165.44,F Major,34.34,75,86,84,51,-18.41,-34.18,15.77,False,37.83,45.81,16.36,15.02,22.81,17.24,15.48,13.09,10.11,9.32,7.04,Low,High,3.64,Mud range is elevated around 250-500 Hz.,,,
Jaydes - Blame.wav,Jaydes,165.44,A# Major,52.63,71,81,79,51,-0.13,-15.69,15.56,True,32.77,44.54,22.68,13.99,18.78,16.05,14.97,13.52,12.22,12.28,10.4,Low,High,3.17,Clipping detected: 11 samples are near/over the limit.,,,
Jaydes - Cry.wav,Jaydes,125.0,F# Major,141.49,84,86,86,81,-0.0,-12.12,12.12,True,30.16,44.67,25.17,14.74,15.42,15.07,15.09,14.51,13.92,13.57,11.6,Medium,Low,0.62,Clipping detected: 44 samples are near/over the limit.,,,
Jaydes - Empty.wav,Jaydes,160.71,D Minor,77.33,70,69,69,71,0.0,-11.01,11.01,True,32.72,41.95,25.33,16.66,16.06,14.8,13.57,13.58,12.81,13.19,12.13,Medium,High,4.44,Clipping detected: 67968 samples are near/over the limit.,,,
Jaydes - Lately.wav,Jaydes,140.62,C# Minor,86.77,82,86,86,71,-0.0,-10.44,10.44,True,31.25,44.35,24.41,16.2,15.04,15.24,14.76,14.35,13.47,12.8,11.61,Medium,High,3.93,Clipping detected: 616 samples are near/over the limit.,,,
Jaydes - Match.wav,Jaydes,175.78,E Major,55.01,71,78,78,56,-3.22,-19.36,16.14,False,33.95,43.46,22.58,15.62,18.33,16.15,13.97,13.35,12.52,12.7,9.89,Low,High,4.34,Mud range is elevated around 250-500 Hz.,,,
Jaydes - Migraine.wav,Jaydes,181.45,A Major,77.73,81,86,84,71,-4.9,-20.87,15.97,False,28.03,47.88,24.09,11.75,16.28,16.24,16.13,15.5,14.18,12.9,11.19,Medium,High,6.09,Mud range is elevated around 250-500 Hz.,,,
Jaydes - Nope your too late i already died.wav,Jaydes,119.68,E Minor,90.07,82,86,86,71,-0.0,-11.35,11.35,True,32.41,43.29,24.3,16.42,15.98,14.79,14.44,14.06,13.41,12.89,11.42,Medium,High,4.4,Clipping detected: 3604 samples are near/over the limit.,,,
Jaydes - Poison.wav,Jaydes,156.25,D Minor,94.36,70,69,69,71,0.0,-10.15,10.15,True,32.81,44.44,22.75,16.42,16.39,15.66,14.76,14.02,12.89,12.48,10.27,Low,High,4.07,Clipping detected: 51485 samples are near/over the limit.,,,
Jaydes - Post Up (Extended Leak).wav,Jaydes,133.93,E Minor,59.69,72,81,81,51,0.0,-9.85,9.85,True,31.24,42.61,26.14,16.93,14.31,14.75,14.12,13.75,12.7,13.34,12.81,Medium,High,4.81,Clipping detected: 7381 samples are near/over the limit.,,,
