file,category,bpm,key,duration_sec,release_score,mix_score,master_score,arrangement_score,peak_db,rms_db,dynamic_range_db,clipping,low_end_total,mid_total,top_total,sub,bass_808,mud,low_mids,mids_melody,harsh_zone,highs,air,brightness,drum_activity,onset_density,top_problem,stem_vocal_to_beat_db,stem_bass_to_vocal_db,stem_melody_presence_score
KANKAN - Out The Way.wav,Kankan,130.81,G Minor,145.71,84,86,86,81,-0.09,-10.25,10.17,True,32.39,40.74,26.87,16.53,15.86,14.0,13.0,13.73,13.09,14.18,12.69,High,High,4.29,Clipping detected: 4 samples are near/over the limit.,,,
KanKan  - GTA.wav,Kankan,144.23,F Minor,126.5,84,86,86,81,-0.08,-13.99,13.91,True,31.76,42.06,26.17,16.73,15.03,14.03,13.84,14.2,14.06,13.89,12.28,Medium,High,5.4,Clipping detected: 1 samples are near/over the limit.,,,
KanKan - Demon Time.wav,Kankan,145.47,E Major,120.04,84,86,84,81,-5.85,-17.88,12.03,False,32.87,40.96,26.18,17.78,15.09,13.78,13.4,13.77,13.47,14.07,12.1,Medium,High,5.79,Mud range is elevated around 250-500 Hz.,,,
KanKan - Notify The District.wav,Kankan,148.03,C# Major,113.99,90,94,94,81,-1.47,-10.59,9.12,False,33.44,40.44,26.12,17.92,15.51,13.31,13.41,13.72,13.34,14.0,12.12,Medium,High,5.62,Mud range is elevated around 250-500 Hz.,,,
KanKan - TaxBracket.wav,Kankan,140.62,F Major,94.74,87,94,94,71,-1.14,-10.77,9.63,False,33.55,40.83,25.62,17.11,16.44,13.62,13.3,13.91,13.65,13.75,11.88,Medium,High,5.45,Mud range is elevated around 250-500 Hz.,,,
Kankan - 100 Round ⧸ Buss Down.wav,Kankan,140.62,E Major,114.96,84,86,86,81,-0.0,-13.12,13.12,True,32.23,41.95,25.82,16.69,15.55,14.28,13.61,14.06,13.89,13.83,11.99,Medium,High,5.77,Clipping detected: 3 samples are near/over the limit.,,,
Kankan - 14.wav,Kankan,160.71,D# Major,146.2,90,94,94,81,-2.44,-14.83,12.39,False,32.26,41.57,26.17,17.19,15.07,14.15,13.85,13.56,13.01,13.91,12.26,Medium,High,5.58,Mud range is elevated around 250-500 Hz.,,,
Kankan - 3am.wav,Kankan,172.19,C Minor,56.36,83,94,94,56,-1.52,-11.34,9.81,False,34.16,41.03,24.81,18.33,15.83,13.97,13.51,13.55,12.89,13.28,11.53,Medium,High,5.68,Mud range is elevated around 250-500 Hz.,,,
Kankan - 4 Da Guys ⧸ Been Thru A Lot.wav,Kankan,140.62,C# Minor,110.78,84,86,86,81,-0.0,-11.08,11.08,True,32.02,41.95,26.03,16.92,15.11,14.04,13.89,14.02,13.37,13.57,12.46,Medium,High,5.01,Clipping detected: 3 samples are near/over the limit.,,,
Kankan - AMG C63.wav,Kankan,130.81,C# Major,146.77,84,86,86,81,0.0,-12.85,12.85,True,31.42,43.24,25.34,16.43,14.99,15.06,14.14,14.03,13.51,13.12,12.22,Medium,High,4.89,Clipping detected: 4682 samples are near/over the limit.,,,
