file,category,bpm,key,duration_sec,release_score,mix_score,master_score,arrangement_score,peak_db,rms_db,dynamic_range_db,clipping,low_end_total,mid_total,top_total,sub,bass_808,mud,low_mids,mids_melody,harsh_zone,highs,air,brightness,drum_activity,onset_density,top_problem,stem_vocal_to_beat_db,stem_bass_to_vocal_db,stem_melody_presence_score
Ken Carson (Destroy Lonely) - Singapore.wav,Ken Carson,152.03,C Minor / Try G Minor,151.68,79,81,81,75,0.0,-6.84,6.84,True,31.1,42.94,25.96,16.12,14.99,14.83,14.32,13.78,13.42,13.83,12.14,Medium,High,6.5,Clipping detected: 48813 samples are near/over the limit.,,,
Ken Carson (destroylonely)  - the acronym.wav,Ken Carson,148.03,F Minor / Try C Minor,147.49,68,65,65,75,0.0,-5.83,5.83,True,31.47,42.36,26.17,16.48,15.0,14.21,14.35,13.8,13.27,13.75,12.42,Medium,High,5.94,Clipping detected: 31103 samples are near/over the limit.,,,
Ken Carson - 200 Kash (Audio) [dtdwIVXV1e0].wav,Ken Carson,152.03,B Minor / Try E Minor,104.92,60,53,53,75,0.0,-3.67,3.67,True,32.85,40.91,26.24,17.61,15.25,13.73,13.67,13.51,12.72,13.63,12.61,Medium,High,6.52,Clipping detected: 128081 samples are near/over the limit.,,,
Ken Carson - 2000 (Audio) [QR7OchTMT1k].wav,Ken Carson,140.62,D Minor / Try C Minor,156.1,79,81,81,75,0.0,-6.25,6.25,True,32.2,42.14,25.66,16.8,15.4,13.9,13.96,14.29,13.79,13.65,12.0,Medium,High,3.52,Clipping detected: 31028 samples are near/over the limit.,,,
Ken Carson - Blakk Rokkstar.wav,Ken Carson,148.03,D# Minor,231.0,79,81,81,75,0.01,-8.03,8.04,True,31.29,42.06,26.64,16.44,14.85,13.99,13.97,14.1,13.58,13.79,12.86,High,High,6.16,Clipping detected: 77082 samples are near/over the limit.,,,
Ken Carson - Butterfly.wav,Ken Carson,148.03,E Minor / Try D Minor,144.94,83,86,86,75,-0.0,-10.82,10.82,True,31.41,43.96,24.64,16.38,15.02,14.76,14.6,14.59,13.83,13.38,11.26,Medium,High,5.35,Clipping detected: 1734 samples are near/over the limit.,,,
Ken Carson - Change.wav,Ken Carson,156.25,D Minor / Try C# Minor,162.62,81,81,81,81,0.0,-7.89,7.89,True,31.93,42.79,25.27,16.77,15.17,14.37,14.36,14.07,13.26,13.6,11.68,Medium,High,7.12,Clipping detected: 23800 samples are near/over the limit.,,,
Ken Carson - Confetti.wav,Ken Carson,144.23,A# Minor / Try C# Minor,187.93,68,65,65,75,0.0,-4.78,4.78,True,32.32,41.59,26.09,17.37,14.95,13.78,13.92,13.89,13.2,13.78,12.31,Medium,High,7.06,Clipping detected: 37024 samples are near/over the limit.,,,
Ken Carson - Delinquent ft. HXG.wav,Ken Carson,140.62,D Minor / Try B Minor,165.48,79,81,81,75,0.0,-7.56,7.56,True,32.3,42.21,25.5,16.72,15.58,13.85,14.21,14.14,13.51,13.7,11.8,Medium,High,5.56,Clipping detected: 16746 samples are near/over the limit.,,,
Ken Carson - Diamonds.wav,Ken Carson,144.23,C Minor / Try C# Minor,229.44,60,53,53,75,0.01,-3.92,3.93,True,31.79,41.86,26.34,16.91,14.88,13.99,13.83,14.04,13.52,13.78,12.57,Medium,High,5.31,Clipping detected: 493520 samples are near/over the limit.,,,
