file,category,bpm,key,duration_sec,release_score,mix_score,master_score,arrangement_score,peak_db,rms_db,dynamic_range_db,clipping,low_end_total,mid_total,top_total,sub,bass_808,mud,low_mids,mids_melody,harsh_zone,highs,air,brightness,drum_activity,onset_density,top_problem,stem_vocal_to_beat_db,stem_bass_to_vocal_db,stem_melody_presence_score
Lazer Dim 700 - 007.wav,Lazer Dim 700,140.62,D Major,119.29,84,86,86,81,-0.0,-12.57,12.57,True,31.38,43.21,25.41,16.7,14.68,14.81,14.4,14.0,12.93,13.35,12.06,Medium,High,6.98,Clipping detected: 441 samples are near/over the limit.,,,
Lazer Dim 700 - 0436.wav,Lazer Dim 700,140.62,C# Major,135.21,84,86,86,81,-0.0,-8.04,8.04,True,32.53,43.31,24.16,17.19,15.33,14.99,14.51,13.81,12.78,12.93,11.23,Low,High,6.15,Clipping detected: 58 samples are near/over the limit.,,,
Lazer Dim 700 - 2 G-Locks.wav,Lazer Dim 700,137.2,C Minor,100.88,70,65,65,81,0.0,-4.91,4.91,True,32.86,41.51,25.64,18.76,14.1,14.27,14.16,13.07,11.94,13.76,11.88,Low,High,9.56,Clipping detected: 36494 samples are near/over the limit.,,,
Lazer Dim 700 - ARCHER.wav,Lazer Dim 700,140.62,C# Minor,111.87,84,86,86,81,-0.01,-12.49,12.47,True,31.78,43.8,24.42,16.68,15.11,14.88,14.57,14.34,13.09,12.96,11.46,Medium,High,6.27,Clipping detected: 2 samples are near/over the limit.,,,
Lazer Dim 700 - Alltime.wav,Lazer Dim 700,144.23,C Major,106.95,73,69,69,81,0.0,-6.67,6.67,True,30.85,44.33,24.82,16.82,14.02,14.98,15.15,14.2,12.79,12.92,11.9,Low,High,6.13,Clipping detected: 84072 samples are near/over the limit.,,,
Lazer Dim 700 - Asian Rock.wav,Lazer Dim 700,140.62,D# Minor,67.87,78,81,81,71,0.0,-8.31,8.31,True,31.43,43.65,24.92,16.1,15.33,15.0,14.65,14.0,13.37,13.23,11.69,Medium,High,5.82,Clipping detected: 7522 samples are near/over the limit.,,,
Lazer Dim 700 - Awsum.wav,Lazer Dim 700,150.67,E Minor,88.63,78,81,81,71,-0.0,-8.4,8.4,True,30.51,42.47,27.02,16.23,14.28,14.15,14.59,13.73,13.23,14.08,12.94,Medium,High,5.28,Clipping detected: 12801 samples are near/over the limit.,,,
Lazer Dim 700 - Barnacles.wav,Lazer Dim 700,148.03,G Minor,100.96,74,69,69,85,0.0,-7.61,7.61,True,28.75,44.55,26.7,14.48,14.28,14.97,15.13,14.45,13.43,13.63,13.07,High,Medium,1.8,Clipping detected: 86892 samples are near/over the limit.,,,
Lazer Dim 700 - Bragging Rights.wav,Lazer Dim 700,152.03,F# Minor,63.27,58,53,53,70,0.0,-3.66,3.67,True,30.77,43.77,25.46,15.5,15.27,14.62,14.8,14.35,13.59,13.29,12.17,Medium,Medium,2.88,Clipping detected: 331561 samples are near/over the limit.,,,
Lazer Dim 700 - CALYPSO.wav,Lazer Dim 700,156.25,F Major,103.15,84,86,86,81,-0.0,-13.2,13.2,True,31.42,43.18,25.4,16.26,15.16,14.26,14.35,14.57,13.76,13.43,11.97,Medium,High,5.16,Clipping detected: 9 samples are near/over the limit.,,,
Lazer Dim 700 - DARKIST.wav,Lazer Dim 700,140.62,D# Major,124.59,84,86,86,81,0.0,-9.61,9.61,True,32.09,43.12,24.78,17.77,14.33,14.4,14.62,14.1,12.98,12.97,11.81,Medium,High,6.87,Clipping detected: 113 samples are near/over the limit.,,,
Lazer Dim 700 - DEFAULT WHIP.wav,Lazer Dim 700,150.67,C# Minor,118.21,84,86,86,81,0.0,-11.66,11.66,True,31.57,43.21,25.22,16.81,14.77,14.88,14.23,14.09,12.99,13.31,11.9,Medium,High,8.11,Clipping detected: 1 samples are near/over the limit.,,,
Lazer Dim 700 - David Blaine.wav,Lazer Dim 700,140.62,C Minor,82.3,57,53,53,66,0.01,-4.16,4.16,True,30.95,43.11,25.94,16.55,14.4,14.48,14.64,13.99,13.2,13.39,12.55,Medium,High,6.48,Clipping detected: 252943 samples are near/over the limit.,,,
Lazer Dim 700 - Discussable.wav,Lazer Dim 700,148.03,C Major,83.75,58,53,53,71,0.0,-4.57,4.57,True,29.95,44.11,25.94,15.62,14.33,14.8,14.94,14.38,13.51,13.31,12.63,Medium,High,4.16,Clipping detected: 242953 samples are near/over the limit.,,,
Lazer Dim 700 - Eyes Ona Swivel.wav,Lazer Dim 700,150.67,F Minor,107.58,84,86,86,81,-0.0,-9.84,9.84,True,30.11,43.48,26.41,15.34,14.77,14.66,14.47,14.36,13.35,14.0,12.41,Medium,High,6.66,Clipping detected: 1656 samples are near/over the limit.,,,
