file,category,bpm,key,duration_sec,release_score,mix_score,master_score,arrangement_score,peak_db,rms_db,dynamic_range_db,clipping,low_end_total,mid_total,top_total,sub,bass_808,mud,low_mids,mids_melody,harsh_zone,highs,air,brightness,drum_activity,onset_density,top_problem,stem_vocal_to_beat_db,stem_bass_to_vocal_db,stem_melody_presence_score
Lelo - Bagpipes.wav,Lelo,145.47,A# Minor,148.5,88,94,94,75,-0.33,-10.43,10.09,False,32.36,43.7,23.94,16.0,16.36,15.28,14.48,13.94,13.39,12.75,11.19,Low,High,5.27,Mud range is elevated around 250-500 Hz.,,,
Lelo - Balance.wav,Lelo,148.03,C# Minor,103.0,83,86,86,75,-0.1,-12.5,12.41,True,32.34,41.35,26.31,17.01,15.32,13.18,13.96,14.22,13.38,14.05,12.26,Medium,High,6.9,Clipping detected: 1 samples are near/over the limit.,,,
Lelo - Blessings.wav,Lelo,156.25,G Minor,91.0,87,94,94,71,-0.68,-11.33,10.65,False,31.6,43.17,25.24,16.13,15.47,14.68,14.42,14.07,13.54,13.14,12.09,Medium,High,6.99,Mud range is elevated around 250-500 Hz.,,,
Lelo - Camelot.wav,Lelo,122.28,G Minor,146.71,81,81,81,81,0.0,-9.86,9.86,True,30.93,42.9,26.17,15.72,15.21,14.07,14.36,14.47,13.89,13.42,12.75,High,High,6.52,Clipping detected: 49739 samples are near/over the limit.,,,
Lelo - Can't.wav,Lelo,145.47,F# Minor,138.56,88,94,94,75,-1.31,-12.99,11.68,False,30.35,42.87,26.78,15.84,14.51,14.03,14.53,14.31,13.65,13.68,13.1,High,High,7.35,Mud range is elevated around 250-500 Hz.,,,
Lelo - DTW.wav,Lelo,152.03,G Minor,138.95,82,86,84,75,-0.51,-16.49,15.98,False,30.87,43.51,25.62,15.6,15.27,14.75,14.39,14.36,13.71,13.57,12.06,Medium,High,5.57,Mud range is elevated around 250-500 Hz.,,,
Lelo - Daybreakers.wav,Lelo,159.2,E Minor,132.0,87,92,92,75,-0.22,-13.51,13.29,False,31.74,42.31,25.96,16.08,15.65,14.14,14.16,14.0,13.4,13.18,12.78,High,High,6.95,Mud range is elevated around 250-500 Hz.,,,
Lelo - Demeulemeester.wav,Lelo,143.01,E Minor,131.5,88,94,94,75,-1.89,-11.28,9.39,False,34.74,40.54,24.72,18.19,16.55,13.54,13.47,13.54,13.06,12.96,11.75,Low,High,6.5,Mud range is elevated around 250-500 Hz.,,,
Lelo - Drapes.wav,Lelo,148.03,F Minor,122.5,88,94,94,75,-1.46,-14.55,13.09,False,31.59,42.23,26.19,15.34,16.25,13.85,14.42,13.95,13.28,13.68,12.51,Medium,High,5.54,Mud range is elevated around 250-500 Hz.,,,
Lelo - Druski.wav,Lelo,162.26,F Minor,118.91,83,86,86,75,-0.0,-13.46,13.46,True,29.73,43.76,26.51,14.98,14.75,14.38,14.76,14.62,14.11,13.64,12.86,High,High,5.21,Clipping detected: 479 samples are near/over the limit.,,,
Lelo - Flakerswav.wav,Lelo,160.71,C Minor,154.0,79,81,81,75,0.0,-11.31,11.31,True,31.87,42.43,25.71,16.28,15.59,14.32,14.21,13.89,13.41,13.57,12.14,Medium,High,7.34,Clipping detected: 15517 samples are near/over the limit.,,,
Lelo - Fog Lights.wav,Lelo,168.75,F Minor,135.03,79,81,81,75,0.0,-9.61,9.61,True,31.42,43.59,24.99,15.83,15.6,14.84,14.54,14.21,13.36,13.0,11.99,Medium,High,7.62,Clipping detected: 8890 samples are near/over the limit.,,,
Lelo - Hate Me Season.wav,Lelo,159.2,C# Minor,138.0,88,94,94,75,-0.75,-10.38,9.63,False,31.24,42.19,26.58,16.1,15.14,14.18,14.22,13.79,13.37,13.53,13.04,High,High,6.96,Mud range is elevated around 250-500 Hz.,,,
Lelo - Hedge.wav,Lelo,148.03,C Minor,117.6,85,89,89,75,-0.17,-12.24,12.07,True,32.9,42.08,25.02,17.24,15.66,14.31,13.93,13.84,13.02,13.26,11.76,Medium,High,6.84,Clipping detected: 1 samples are near/over the limit.,,,
Lelo - Hercules.wav,Lelo,165.44,G Major,115.66,88,94,94,75,-0.86,-11.47,10.61,False,30.59,43.28,26.13,15.27,15.32,14.43,14.8,14.04,13.52,13.48,12.65,Medium,High,6.11,Mud range is elevated around 250-500 Hz.,,,
