file,category,bpm,key,duration_sec,release_score,mix_score,master_score,arrangement_score,peak_db,rms_db,dynamic_range_db,clipping,low_end_total,mid_total,top_total,sub,bass_808,mud,low_mids,mids_melody,harsh_zone,highs,air,brightness,drum_activity,onset_density,top_problem,stem_vocal_to_beat_db,stem_bass_to_vocal_db,stem_melody_presence_score
Lil Tony -  ERL VAMP KEY.wav,Lil Tony,156.25,E Minor,126.84,79,81,81,75,0.0,-7.5,7.5,True,32.09,42.14,25.77,16.74,15.35,13.67,14.32,14.14,13.55,13.51,12.26,Medium,High,6.75,Clipping detected: 17779 samples are near/over the limit.,,,
Lil Tony -  Yung Lit Scram.wav,Lil Tony,156.25,C Minor,255.0,83,86,86,76,0.0,-7.22,7.22,True,31.34,42.58,26.09,16.44,14.9,14.31,14.17,14.09,13.71,13.68,12.41,Medium,High,6.33,Clipping detected: 5956 samples are near/over the limit.,,,
Lil Tony - 45.wav,Lil Tony,150.67,D Minor,179.2,83,86,86,75,0.0,-10.72,10.72,True,30.73,43.38,25.89,16.22,14.52,14.26,14.2,14.92,14.63,14.06,11.82,Medium,High,6.65,Clipping detected: 2043 samples are near/over the limit.,,,
Lil Tony - 50 Seconds Could Be 50 Years.wav,Lil Tony,117.19,D Minor,167.79,72,70,70,75,0.0,-5.8,5.8,True,31.64,42.67,25.69,16.78,14.86,14.45,14.22,14.0,13.54,13.8,11.89,Medium,High,5.72,Clipping detected: 5791 samples are near/over the limit.,,,
Lil Tony - Ain’t Been Enough.wav,Lil Tony,153.41,C Minor,139.63,68,65,65,75,0.0,-4.96,4.96,True,32.18,41.76,26.06,17.69,14.49,13.94,13.86,13.95,13.21,14.01,12.05,Medium,High,6.28,Clipping detected: 6915 samples are near/over the limit.,,,
Lil Tony - Alley Oop.wav,Lil Tony,150.67,D Minor,153.44,71,69,69,75,0.0,-6.32,6.32,True,31.92,41.63,26.45,16.84,15.09,13.69,13.77,14.17,13.82,14.09,12.35,Medium,High,5.25,Clipping detected: 76053 samples are near/over the limit.,,,
Lil Tony - Avianne.wav,Lil Tony,148.03,C# Minor,173.11,83,86,86,75,0.0,-7.23,7.23,True,31.63,41.85,26.52,17.31,14.32,13.69,14.24,13.92,13.37,14.0,12.52,Medium,High,5.71,Clipping detected: 1410 samples are near/over the limit.,,,
Lil Tony - B Fr.wav,Lil Tony,140.62,D# Minor,151.84,79,81,81,75,0.0,-7.61,7.61,True,30.91,43.13,25.96,16.06,14.85,14.81,14.26,14.06,13.66,13.51,12.45,Medium,High,4.22,Clipping detected: 46224 samples are near/over the limit.,,,
Lil Tony - Being Dumb.wav,Lil Tony,152.03,F Minor,164.82,83,86,86,75,-0.09,-10.35,10.26,True,31.78,44.44,23.78,16.47,15.31,15.79,15.09,13.56,12.87,12.72,11.06,Low,High,6.46,Clipping detected: 1 samples are near/over the limit.,,,
Lil Tony - Big Boy Glocc.wav,Lil Tony,150.67,C Minor,104.07,79,81,81,75,0.0,-6.38,6.38,True,31.97,42.54,25.49,17.05,14.92,14.2,14.43,13.91,13.3,13.48,12.0,Medium,High,6.85,Clipping detected: 7717 samples are near/over the limit.,,,
Lil Tony - Brazy Story.wav,Lil Tony,156.25,D Major,161.94,83,86,86,75,0.0,-10.08,10.08,True,30.7,42.6,26.7,15.97,14.73,14.03,14.29,14.28,13.69,14.16,12.54,Medium,High,6.27,Clipping detected: 1226 samples are near/over the limit.,,,
Lil Tony - CEO Key.wav,Lil Tony,152.03,C# Major,131.18,83,86,86,75,-0.0,-9.03,9.03,True,33.96,41.08,24.97,17.91,16.05,14.11,13.68,13.29,12.73,13.02,11.94,Low,High,4.67,Clipping detected: 43 samples are near/over the limit.,,,
Lil Tony - Can't Go Broke.wav,Lil Tony,140.62,C Minor,96.36,82,86,86,71,0.0,-7.54,7.54,True,31.48,43.12,25.4,16.38,15.1,14.26,14.37,14.5,14.12,13.51,11.89,Medium,High,5.56,Clipping detected: 3443 samples are near/over the limit.,,,
Lil Tony - Cant Blocc A Key.wav,Lil Tony,162.26,E Major,135.0,78,76,76,81,-0.27,-18.32,18.05,False,26.24,46.63,27.13,9.89,16.35,15.71,15.62,15.3,14.81,14.28,12.85,Medium,High,4.19,Mud range is elevated around 250-500 Hz.,,,
Lil Tony - Can’t Leave My Bible.wav,Lil Tony,152.03,C Major,131.3,83,86,86,75,0.0,-11.09,11.09,True,33.2,42.64,24.17,17.16,16.04,14.56,14.03,14.05,13.19,12.95,11.21,Low,High,6.66,Clipping detected: 9 samples are near/over the limit.,,,
Lil Tony - Cranberry Juice.wav,Lil Tony,148.03,E Minor,129.26,83,86,86,75,-0.0,-8.2,8.2,True,31.8,42.91,25.29,16.83,14.97,13.91,14.19,14.8,14.38,13.46,11.84,Medium,High,7.19,Clipping detected: 1966 samples are near/over the limit.,,,
Lil Tony - Crime Pays.wav,Lil Tony,150.67,C# Minor,115.33,79,81,81,75,-0.0,-7.46,7.46,True,31.59,42.33,26.08,16.52,15.07,13.96,14.1,14.27,13.85,13.96,12.11,Medium,High,7.23,Clipping detected: 19129 samples are near/over the limit.,,,
Lil Tony - Deb¡!¡.wav,Lil Tony,144.23,C# Minor,175.73,72,70,70,75,-0.0,-5.49,5.49,True,32.64,40.83,26.53,17.76,14.88,13.88,13.4,13.56,13.16,13.95,12.58,Medium,High,6.84,Clipping detected: 881 samples are near/over the limit.,,,
Lil Tony - Disrespectful.wav,Lil Tony,156.25,A Minor,125.23,83,86,86,75,-0.0,-15.31,15.31,True,31.48,43.29,25.23,16.95,14.53,14.52,14.48,14.29,13.86,13.47,11.76,Medium,High,5.48,Clipping detected: 24 samples are near/over the limit.,,,
Lil Tony - Divine Love..wav,Lil Tony,156.25,A# Major,143.26,84,86,86,81,0.0,-10.05,10.05,True,31.06,43.36,25.58,15.87,15.19,14.64,14.49,14.22,13.63,13.62,11.95,Medium,High,3.78,Clipping detected: 1587 samples are near/over the limit.,,,
Lil Tony - Dont Know Where To Go.wav,Lil Tony,165.44,D# Minor,152.56,79,81,81,75,-0.0,-8.44,8.44,True,30.48,43.06,26.47,16.19,14.29,14.47,14.47,14.12,13.55,13.78,12.69,Medium,High,5.42,Clipping detected: 11308 samples are near/over the limit.,,,
Lil Tony - Essential.wav,Lil Tony,156.25,C# Minor,99.2,65,65,65,65,-0.0,-5.78,5.78,True,31.39,42.3,26.32,17.28,14.11,14.04,14.19,14.07,13.53,14.03,12.28,Medium,High,6.31,Clipping detected: 17573 samples are near/over the limit.,,,
Lil Tony - Evil Women.wav,Lil Tony,148.03,F Minor,156.97,84,86,86,81,0.0,-12.37,12.37,True,30.46,43.03,26.51,15.46,15.0,14.8,14.47,13.76,13.47,13.51,13.0,Medium,High,7.22,Clipping detected: 576 samples are near/over the limit.,,,
