file,category,bpm,key,duration_sec,release_score,mix_score,master_score,arrangement_score,peak_db,rms_db,dynamic_range_db,clipping,low_end_total,mid_total,top_total,sub,bass_808,mud,low_mids,mids_melody,harsh_zone,highs,air,brightness,drum_activity,onset_density,top_problem,stem_vocal_to_beat_db,stem_bass_to_vocal_db,stem_melody_presence_score
Midwxst - 223’s.wav,Midwxst,145.47,F Minor,133.14,72,70,70,75,-0.0,-5.23,5.23,True,32.2,41.84,25.96,16.83,15.37,14.29,13.8,13.74,13.32,13.22,12.74,Medium,High,6.7,Clipping detected: 4770 samples are near/over the limit.,,,
Midwxst - Aint On Shit.wav,Midwxst,140.62,D Minor,111.43,61,53,53,81,0.0,-4.93,4.93,True,31.54,41.28,27.18,16.66,14.89,13.94,13.79,13.54,13.04,13.51,13.67,High,High,6.92,Clipping detected: 156906 samples are near/over the limit.,,,
Midwxst - All Talk.wav,Midwxst,133.93,F# Minor,186.67,79,81,81,75,-0.0,-8.47,8.47,True,30.8,42.1,27.1,15.56,15.24,14.43,13.86,13.81,13.58,14.18,12.91,High,High,4.73,Clipping detected: 20293 samples are near/over the limit.,,,
Midwxst - Basic.wav,Midwxst,156.25,F Minor,222.86,83,86,86,75,0.0,-8.3,8.3,True,30.22,42.84,26.94,15.83,14.39,14.59,14.23,14.02,13.49,14.05,12.89,High,High,4.09,Clipping detected: 3572 samples are near/over the limit.,,,
Midwxst - Chowder.wav,Midwxst,175.78,D Minor,218.51,83,86,86,75,0.0,-9.62,9.62,True,30.76,42.49,26.75,16.19,14.57,14.43,14.01,14.05,13.74,14.02,12.73,High,High,6.33,Clipping detected: 5459 samples are near/over the limit.,,,
Midwxst - End Of It All.wav,Midwxst,130.81,G# Minor,118.21,60,53,53,75,0.0,-5.36,5.36,True,31.8,42.18,26.02,16.73,15.07,14.07,14.29,13.82,13.12,13.2,12.82,Medium,High,5.06,Clipping detected: 162249 samples are near/over the limit.,,,
Midwxst - Flag.wav,Midwxst,144.23,E Major,151.05,79,81,81,75,-0.0,-8.26,8.26,True,30.57,42.91,26.52,16.41,14.17,14.11,14.48,14.32,13.7,13.84,12.68,Medium,High,4.05,Clipping detected: 15874 samples are near/over the limit.,,,
Midwxst - Geekin.wav,Midwxst,160.71,C Minor,137.07,71,69,69,75,0.0,-6.67,6.67,True,30.49,42.47,27.04,16.34,14.15,14.15,14.05,14.27,13.7,13.85,13.19,High,High,3.45,Clipping detected: 82356 samples are near/over the limit.,,,
Midwxst - Home Run.wav,Midwxst,150.67,D# Minor,153.6,68,65,65,75,0.0,-5.57,5.57,True,30.42,42.94,26.64,16.15,14.27,14.36,14.39,14.19,13.7,13.99,12.65,High,High,5.76,Clipping detected: 35599 samples are near/over the limit.,,,
Midwxst - Infantry.wav,Midwxst,152.03,F Minor,116.08,61,53,53,81,0.0,-4.26,4.27,True,30.75,42.97,26.28,16.27,14.48,14.14,14.63,14.2,13.28,13.44,12.84,Medium,High,7.35,Clipping detected: 105914 samples are near/over the limit.,,,
Midwxst - LA.wav,Midwxst,130.81,D Minor,188.16,79,81,81,75,-0.0,-10.14,10.14,True,31.96,41.68,26.36,16.77,15.18,14.38,13.64,13.66,13.12,13.6,12.76,High,High,6.56,Clipping detected: 32634 samples are near/over the limit.,,,
Midwxst - Lame.wav,Midwxst,156.25,F Minor,129.65,83,86,86,75,0.0,-10.96,10.96,True,30.85,42.69,26.47,16.18,14.66,14.13,14.3,14.25,13.53,13.64,12.83,High,High,6.64,Clipping detected: 8 samples are near/over the limit.,,,
Midwxst - Let It Rip.wav,Midwxst,140.62,G# Minor,136.62,81,81,81,81,0.0,-8.19,8.19,True,30.67,42.21,27.12,15.74,14.93,14.58,13.86,13.77,13.61,14.16,12.96,High,High,5.41,Clipping detected: 25789 samples are near/over the limit.,,,
Midwxst - Mad.wav,Midwxst,156.25,C Minor,136.31,60,53,53,75,0.0,-5.08,5.08,True,31.75,41.82,26.44,16.52,15.22,13.84,13.99,13.99,13.53,13.59,12.85,Medium,High,3.39,Clipping detected: 197253 samples are near/over the limit.,,,
Midwxst - Made It Back.wav,Midwxst,159.2,G# Major,100.25,79,81,81,75,0.0,-6.27,6.27,True,31.79,42.15,26.06,16.74,15.05,14.06,13.85,14.24,13.78,13.75,12.31,Medium,High,4.93,Clipping detected: 42599 samples are near/over the limit.,,,
Midwxst - Natural.wav,Midwxst,159.2,C Major,157.04,60,53,53,75,0.0,-5.98,5.98,True,31.36,42.15,26.49,16.55,14.81,13.85,14.27,14.03,13.21,13.61,12.88,Medium,High,5.08,Clipping detected: 97141 samples are near/over the limit.,,,
Midwxst - Nineteen.wav,Midwxst,117.19,F Minor,187.11,73,69,69,81,0.0,-6.03,6.03,True,31.53,41.97,26.5,16.71,14.82,14.16,13.99,13.82,13.19,13.5,13.0,Medium,High,4.97,Clipping detected: 110390 samples are near/over the limit.,,,
Midwxst - No New Friends.wav,Midwxst,148.03,F Minor,131.89,60,53,53,75,0.0,-4.67,4.67,True,31.44,42.39,26.17,16.64,14.8,13.89,14.41,14.1,13.46,13.18,12.99,Medium,High,5.57,Clipping detected: 204648 samples are near/over the limit.,,,
Midwxst - No Smoke.wav,Midwxst,140.62,G# Major,206.21,84,86,86,79,0.0,-7.87,7.87,True,31.0,42.12,26.88,16.19,14.8,14.23,14.01,13.88,13.58,13.91,12.97,High,Medium,2.97,Clipping detected: 9630 samples are near/over the limit.,,,
Midwxst - No Trace.wav,Midwxst,136.09,D# Major,146.47,81,81,81,81,0.0,-6.85,6.85,True,31.26,42.34,26.4,15.98,15.28,14.39,14.18,13.78,13.24,13.42,12.98,Medium,High,5.48,Clipping detected: 35129 samples are near/over the limit.,,,
Midwxst - Not Dissing.wav,Midwxst,150.67,E Major,130.91,60,53,53,75,0.07,-3.04,3.11,True,31.96,41.5,26.54,16.48,15.48,13.96,13.82,13.72,13.24,13.61,12.94,Medium,High,6.94,Clipping detected: 1051206 samples are near/over the limit.,,,
Midwxst - Off The Wall.wav,Midwxst,140.62,C# Minor,129.55,83,86,86,75,0.0,-7.53,7.53,True,31.11,42.22,26.68,16.44,14.67,14.31,13.88,14.02,13.4,13.85,12.83,Medium,High,5.31,Clipping detected: 3848 samples are near/over the limit.,,,
"Midwxst - Out of Sight, Out of Mind.wav",Midwxst,130.81,C# Major,219.9,60,53,53,75,0.0,-4.37,4.37,True,31.83,42.09,26.08,16.82,15.0,13.93,14.21,13.95,13.08,13.31,12.76,Medium,High,4.45,Clipping detected: 474244 samples are near/over the limit.,,,
Midwxst - Private.wav,Midwxst,162.26,C# Major,176.69,83,86,86,75,0.0,-14.5,14.5,True,30.86,42.94,26.2,15.81,15.04,13.96,14.41,14.56,13.66,13.41,12.79,Medium,High,5.7,Clipping detected: 28 samples are near/over the limit.,,,
Midwxst - Putting On.wav,Midwxst,140.62,C Minor,145.43,81,81,81,81,0.0,-10.19,10.19,True,30.12,43.06,26.82,15.32,14.8,14.39,14.39,14.28,13.73,13.96,12.86,High,High,5.89,Clipping detected: 12509 samples are near/over the limit.,,,
Midwxst - Redacted.wav,Midwxst,162.26,F Minor,120.74,61,53,53,81,0.0,-5.72,5.73,True,30.35,42.58,27.08,16.03,14.32,14.18,14.32,14.08,13.45,13.82,13.26,High,High,4.79,Clipping detected: 115079 samples are near/over the limit.,,,
Midwxst - Send Em To Hell.wav,Midwxst,163.04,F Major,120.74,60,53,53,75,0.01,-3.95,3.96,True,31.46,41.97,26.57,16.62,14.85,13.93,13.99,14.05,13.33,13.55,13.02,High,High,4.65,Clipping detected: 490765 samples are near/over the limit.,,,
Midwxst - Slide Den.wav,Midwxst,143.01,G# Major,175.77,81,81,81,81,-0.0,-8.48,8.48,True,30.13,43.55,26.32,15.43,14.7,14.51,14.59,14.46,13.96,13.62,12.7,High,High,5.31,Clipping detected: 10420 samples are near/over the limit.,,,
