file,category,bpm,key,duration_sec,release_score,mix_score,master_score,arrangement_score,peak_db,rms_db,dynamic_range_db,clipping,low_end_total,mid_total,top_total,sub,bass_808,mud,low_mids,mids_melody,harsh_zone,highs,air,brightness,drum_activity,onset_density,top_problem,stem_vocal_to_beat_db,stem_bass_to_vocal_db,stem_melody_presence_score
Molly Santana - Amnesia.wav,Molly Santana,137.2,D# Minor,117.63,84,86,86,81,-0.0,-11.86,11.86,True,30.68,43.68,25.64,16.0,14.68,14.3,14.62,14.76,14.34,13.7,11.94,Medium,High,5.28,Clipping detected: 269 samples are near/over the limit.,,,
Molly Santana - BLaTT.wav,Molly Santana,152.03,F Major,188.96,83,86,86,75,-0.0,-8.27,8.27,True,32.4,41.29,26.31,17.58,14.81,12.99,14.24,14.06,13.46,13.75,12.57,Medium,High,5.3,Clipping detected: 442 samples are near/over the limit.,,,
Molly Santana - Black Ops.wav,Molly Santana,127.84,C Minor,167.57,84,86,86,81,0.0,-10.1,10.1,True,31.67,42.97,25.36,16.25,15.42,13.85,14.65,14.47,13.71,13.7,11.66,Medium,High,5.3,Clipping detected: 376 samples are near/over the limit.,,,
Molly Santana - Chain Swangin.wav,Molly Santana,144.23,D# Minor,157.92,84,86,86,81,0.0,-10.22,10.22,True,29.77,43.24,26.99,15.7,14.08,14.27,14.52,14.44,13.85,13.89,13.1,High,High,7.29,Clipping detected: 421 samples are near/over the limit.,,,
Molly Santana - Dumb.wav,Molly Santana,140.62,C Minor,111.43,84,86,86,81,0.0,-8.81,8.81,True,31.28,43.47,25.25,16.38,14.9,14.17,14.66,14.64,13.98,13.37,11.87,Medium,High,3.62,Clipping detected: 2518 samples are near/over the limit.,,,
Molly Santana - Fashion Killa.wav,Molly Santana,137.2,G# Minor,139.47,83,86,86,75,0.0,-10.48,10.48,True,30.25,41.91,27.85,15.93,14.32,13.5,14.29,14.12,13.8,15.05,12.8,High,High,6.67,Clipping detected: 294 samples are near/over the limit.,,,
Molly Santana - Fetti.wav,Molly Santana,137.2,G# Major,130.15,88,94,94,75,-1.16,-8.04,6.88,False,33.47,41.54,24.99,17.75,15.72,14.13,14.05,13.36,12.27,12.76,12.23,Medium,High,5.03,Mud range is elevated around 250-500 Hz.,,,
Molly Santana - Fuck The Politicswav.wav,Molly Santana,133.93,F Minor,129.44,60,53,53,75,0.0,-5.15,5.16,True,32.78,41.46,25.76,17.53,15.25,13.51,14.15,13.8,12.92,13.45,12.32,Medium,High,4.04,Clipping detected: 192916 samples are near/over the limit.,,,
Molly Santana - Hunnid$.wav,Molly Santana,137.2,E Minor,128.06,83,86,86,75,-0.0,-9.34,9.34,True,33.43,41.85,24.72,17.08,16.35,13.53,14.61,13.71,12.75,12.91,11.81,Medium,High,3.01,Clipping detected: 58 samples are near/over the limit.,,,
Molly Santana - I Get It.wav,Molly Santana,136.09,E Major,119.95,83,86,86,75,-0.0,-9.54,9.54,True,31.7,42.04,26.26,16.73,14.97,13.79,14.02,14.23,13.82,13.99,12.28,Medium,High,5.59,Clipping detected: 609 samples are near/over the limit.,,,
Molly Santana - Lucid.wav,Molly Santana,145.47,D# Major,131.51,84,86,86,81,0.0,-6.42,6.42,True,32.61,41.73,25.67,17.43,15.17,13.29,13.93,14.5,13.99,13.72,11.95,Medium,High,5.62,Clipping detected: 1122 samples are near/over the limit.,,,
Molly Santana - Mason Musik.wav,Molly Santana,140.62,F# Minor,167.97,79,81,81,75,-0.0,-6.21,6.21,True,32.35,41.99,25.66,17.37,14.98,13.78,14.34,13.87,13.21,13.43,12.23,Medium,High,5.24,Clipping detected: 36574 samples are near/over the limit.,,,
Molly Santana - No Mass.wav,Molly Santana,140.62,C Major,150.8,83,86,86,75,-0.0,-6.77,6.77,True,32.44,41.96,25.6,17.36,15.08,13.77,14.19,14.01,13.28,13.54,12.06,Medium,High,5.39,Clipping detected: 772 samples are near/over the limit.,,,
Molly Santana - North Pole.wav,Molly Santana,152.03,F# Minor,128.04,83,86,86,75,0.0,-6.24,6.24,True,33.08,41.22,25.7,17.64,15.44,13.67,14.01,13.54,12.7,13.09,12.61,Medium,High,4.58,Clipping detected: 3185 samples are near/over the limit.,,,
Molly Santana - Nothing Like This.wav,Molly Santana,138.32,D# Major,204.84,84,86,86,81,0.0,-9.72,9.72,True,31.04,43.81,25.15,16.06,14.97,14.32,14.63,14.86,14.12,13.23,11.92,Medium,High,5.24,Clipping detected: 3498 samples are near/over the limit.,,,
Molly Santana - On The Radar Freestyle.wav,Molly Santana,146.1,G Minor,101.73,90,94,94,81,-1.51,-13.99,12.48,False,32.01,42.0,25.99,16.23,15.78,13.46,14.12,14.43,13.89,13.48,12.51,High,High,5.17,Mud range is elevated around 250-500 Hz.,,,
Molly Santana - Ozone Remix (feat. che).wav,Molly Santana,159.2,D# Minor,180.21,88,94,94,75,-1.03,-10.25,9.23,False,31.68,41.51,26.81,17.97,13.71,13.34,14.32,13.85,12.97,13.56,13.25,Medium,High,5.84,Mud range is elevated around 250-500 Hz.,,,
Molly Santana - Ozone.wav,Molly Santana,159.2,D Minor,111.7,88,94,94,75,-2.75,-9.06,6.31,False,32.12,42.16,25.72,18.25,13.87,13.54,14.62,14.0,12.81,13.36,12.36,Medium,High,5.88,Mud range is elevated around 250-500 Hz.,,,
Molly Santana - Red Dot.wav,Molly Santana,140.62,C Major,151.08,71,69,69,75,0.0,-6.04,6.04,True,31.1,43.57,25.33,16.26,14.84,14.14,14.81,14.62,13.97,13.48,11.85,Medium,High,4.3,Clipping detected: 255331 samples are near/over the limit.,,,
Molly Santana - So Lost.wav,Molly Santana,138.32,C# Minor,167.19,83,86,86,75,0.0,-7.13,7.13,True,32.05,43.16,24.79,16.92,15.14,13.79,14.71,14.66,13.7,13.1,11.69,Medium,High,3.18,Clipping detected: 3402 samples are near/over the limit.,,,
Molly Santana - So Right.wav,Molly Santana,119.68,C Minor,167.97,84,86,86,81,0.0,-9.66,9.66,True,30.91,43.29,25.8,16.16,14.76,13.96,14.65,14.68,13.66,13.52,12.27,Medium,High,3.7,Clipping detected: 1300 samples are near/over the limit.,,,
Molly Santana - Touch Me I'm Sikk.wav,Molly Santana,148.03,D Major,77.84,80,86,86,65,0.0,-12.74,12.74,True,31.06,42.62,26.32,16.54,14.52,13.67,14.48,14.46,14.25,14.12,12.21,Medium,High,7.69,Clipping detected: 35 samples are near/over the limit.,,,
Molly Santana - Truth iS.wav,Molly Santana,145.47,C# Minor,80.31,80,86,86,65,0.0,-10.85,10.85,True,32.58,41.95,25.46,16.84,15.75,13.5,14.34,14.12,14.04,13.87,11.59,Medium,High,5.3,Clipping detected: 3797 samples are near/over the limit.,,,
Molly Santana - WWYS.wav,Molly Santana,153.41,E Minor,149.67,83,86,86,75,0.0,-6.94,6.94,True,32.27,41.65,26.08,17.7,14.57,13.64,14.34,13.67,12.87,13.33,12.75,Medium,High,4.17,Clipping detected: 575 samples are near/over the limit.,,,
Molly Santana - Want.wav,Molly Santana,168.75,G Minor,153.41,83,86,86,75,-0.0,-11.54,11.54,True,31.52,43.73,24.75,16.0,15.52,14.07,14.83,14.83,13.91,13.09,11.66,Medium,High,3.28,Clipping detected: 885 samples are near/over the limit.,,,
Molly Santana - What Did I Do Today？.wav,Molly Santana,130.81,F# Minor,125.09,84,86,86,81,0.0,-10.79,10.79,True,30.94,43.76,25.3,15.76,15.18,14.7,14.61,14.45,13.41,13.19,12.11,Medium,High,4.3,Clipping detected: 1007 samples are near/over the limit.,,,
