file,category,bpm,key,duration_sec,release_score,mix_score,master_score,arrangement_score,peak_db,rms_db,dynamic_range_db,clipping,low_end_total,mid_total,top_total,sub,bass_808,mud,low_mids,mids_melody,harsh_zone,highs,air,brightness,drum_activity,onset_density,top_problem,stem_vocal_to_beat_db,stem_bass_to_vocal_db,stem_melody_presence_score
Nettspend (Feat. OsamaSon) - Pain Talk.wav,Nettspend,148.03,F# Major,169.81,61,53,53,81,0.0,-4.38,4.38,True,30.57,42.71,26.73,15.41,15.16,14.08,13.99,14.63,14.1,13.76,12.97,High,High,4.56,Clipping detected: 393773 samples are near/over the limit.,,,
Nettspend -  love me.wav,Nettspend,154.11,D# Minor,87.3,65,65,65,66,0.0,-4.91,4.91,True,31.58,41.96,26.46,16.94,14.64,13.62,13.81,14.52,13.99,13.84,12.62,Medium,High,3.08,Clipping detected: 30478 samples are near/over the limit.,,,
Nettspend - 2024 Freestyle.wav,Nettspend,168.75,G# Major,89.05,83,86,86,75,0.0,-6.54,6.54,True,30.8,42.43,26.77,16.35,14.45,14.11,14.02,14.3,13.77,14.03,12.74,High,Medium,2.68,Clipping detected: 3767 samples are near/over the limit.,,,
Nettspend - A$AP.wav,Nettspend,153.41,E Minor,137.13,84,86,86,81,0.0,-9.46,9.46,True,30.4,43.16,26.44,15.87,14.53,14.13,14.45,14.57,14.1,14.08,12.36,Medium,High,5.16,Clipping detected: 2448 samples are near/over the limit.,,,
Nettspend - Beach Leak.wav,Nettspend,158.45,F Minor,106.22,81,81,81,81,0.0,-9.15,9.15,True,30.06,43.39,26.55,13.92,16.14,14.36,14.54,14.49,14.15,14.06,12.49,Medium,High,3.88,Clipping detected: 8084 samples are near/over the limit.,,,
Nettspend - Birdbox.wav,Nettspend,162.26,C Minor,150.25,81,81,81,81,0.0,-6.4,6.4,True,31.61,42.68,25.7,16.67,14.94,14.03,14.26,14.4,13.81,13.54,12.16,Medium,High,3.09,Clipping detected: 69414 samples are near/over the limit.,,,
Nettspend - Drop The Blunt.wav,Nettspend,150.67,C# Major,119.34,84,86,86,81,0.0,-6.73,6.73,True,31.84,41.48,26.69,17.18,14.66,13.56,13.84,14.08,13.63,13.69,12.99,High,High,5.41,Clipping detected: 5253 samples are near/over the limit.,,,
Nettspend - F＊CK CANCER.wav,Nettspend,122.28,C Minor,126.63,81,81,81,81,0.0,-8.13,8.13,True,30.63,42.12,27.25,16.2,14.43,13.38,14.03,14.71,14.17,14.18,13.07,High,High,6.44,Clipping detected: 33283 samples are near/over the limit.,,,
Nettspend - Growing Up.wav,Nettspend,163.04,D# Minor,104.9,81,81,81,81,0.0,-7.57,7.57,True,32.51,42.05,25.44,16.72,15.79,14.01,14.18,13.86,13.09,13.3,12.14,Medium,High,4.09,Clipping detected: 48128 samples are near/over the limit.,,,
Nettspend - HOPSCOTCH.wav,Nettspend,140.62,A Minor,75.63,79,81,81,75,0.0,-8.17,8.17,True,31.28,43.27,25.45,16.0,15.28,14.18,14.44,14.65,14.01,13.65,11.8,Medium,Medium,2.72,Clipping detected: 11703 samples are near/over the limit.,,,
