file,category,bpm,key,duration_sec,release_score,mix_score,master_score,arrangement_score,peak_db,rms_db,dynamic_range_db,clipping,low_end_total,mid_total,top_total,sub,bass_808,mud,low_mids,mids_melody,harsh_zone,highs,air,brightness,drum_activity,onset_density,top_problem,stem_vocal_to_beat_db,stem_bass_to_vocal_db,stem_melody_presence_score
Nine Vicious  - sp5der.wav,Nine Vicious,140.62,D# Major,130.45,90,94,94,81,-2.34,-14.74,12.4,False,30.91,42.77,26.32,16.41,14.5,14.07,14.5,14.2,13.08,13.63,12.69,Medium,High,5.31,Mud range is elevated around 250-500 Hz.,,,
Nine Vicious - A Song.wav,Nine Vicious,125.0,G Minor,229.87,68,65,65,75,0.0,-5.79,5.79,True,30.18,43.34,26.48,16.06,14.12,14.33,14.67,14.34,13.66,13.65,12.83,Medium,High,6.34,Clipping detected: 89801 samples are near/over the limit.,,,
Nine Vicious - Again.wav,Nine Vicious,133.93,F Minor,136.12,79,81,81,75,0.0,-8.34,8.34,True,30.89,43.05,26.06,15.68,15.22,14.59,14.4,14.06,13.36,13.25,12.81,High,High,6.74,Clipping detected: 16694 samples are near/over the limit.,,,
Nine Vicious - All Facts.wav,Nine Vicious,148.03,F Minor,156.01,81,81,81,81,0.0,-8.32,8.32,True,30.74,43.15,26.11,16.49,14.24,14.28,14.51,14.36,13.58,13.66,12.45,Medium,High,4.92,Clipping detected: 11742 samples are near/over the limit.,,,
Nine Vicious - Almost.wav,Nine Vicious,140.62,D Minor,150.0,79,81,81,75,0.0,-8.27,8.27,True,30.48,43.2,26.32,16.37,14.11,13.76,15.02,14.41,13.52,13.69,12.63,Medium,High,5.36,Clipping detected: 7636 samples are near/over the limit.,,,
Nine Vicious - Anti You.wav,Nine Vicious,168.75,B Minor,182.28,79,81,81,75,0.0,-6.45,6.45,True,31.87,42.67,25.46,16.15,15.72,14.51,14.08,14.08,13.35,13.22,12.24,Medium,High,5.52,Clipping detected: 39339 samples are near/over the limit.,,,
Nine Vicious - Asakusabashi.wav,Nine Vicious,148.03,D# Minor,157.27,83,86,86,75,0.0,-8.65,8.65,True,30.98,42.74,26.28,16.24,14.74,14.5,14.09,14.15,13.31,13.29,12.99,Medium,High,4.5,Clipping detected: 1182 samples are near/over the limit.,,,
Nine Vicious - BabySpyda.wav,Nine Vicious,148.03,C Major,163.33,83,86,86,75,-0.0,-7.23,7.23,True,30.51,43.12,26.37,16.54,13.97,14.37,14.44,14.31,13.46,13.46,12.92,Medium,High,3.88,Clipping detected: 1208 samples are near/over the limit.,,,
Nine Vicious - Beastmode.wav,Nine Vicious,133.93,A# Major,186.19,83,86,86,75,0.0,-6.38,6.38,True,31.76,42.65,25.59,16.5,15.26,13.81,14.5,14.35,13.48,13.22,12.37,Medium,High,5.92,Clipping detected: 5770 samples are near/over the limit.,,,
Nine Vicious - Beefy.wav,Nine Vicious,140.62,D# Major,113.57,84,86,86,81,0.0,-8.26,8.26,True,31.65,42.05,26.3,16.27,15.38,13.66,14.14,14.25,13.59,13.72,12.57,Medium,High,5.4,Clipping detected: 2411 samples are near/over the limit.,,,
Nine Vicious - Best Show On Earth.wav,Nine Vicious,140.62,C Major,116.64,81,81,81,81,-0.0,-9.56,9.56,True,31.13,42.21,26.66,15.97,15.16,13.79,14.19,14.24,13.45,13.99,12.67,High,High,4.78,Clipping detected: 7512 samples are near/over the limit.,,,
Nine Vicious - Black Truck Talking.wav,Nine Vicious,125.0,C Minor,153.9,83,86,86,75,0.0,-11.25,11.25,True,31.4,42.66,25.94,16.62,14.78,14.1,14.22,14.33,13.33,13.41,12.53,Medium,High,4.29,Clipping detected: 511 samples are near/over the limit.,,,
Nine Vicious - Boom Bap.wav,Nine Vicious,156.25,F# Major,137.62,79,81,81,75,0.0,-6.09,6.09,True,31.77,42.29,25.93,16.68,15.09,14.43,13.78,14.08,13.23,13.18,12.75,Medium,High,4.01,Clipping detected: 20424 samples are near/over the limit.,,,
Nine Vicious - Can't Tell Me Nothing.wav,Nine Vicious,156.25,E Minor,136.3,79,81,81,75,-0.0,-10.33,10.33,True,30.68,43.52,25.8,14.87,15.81,14.42,14.8,14.3,13.66,13.25,12.54,Medium,High,4.42,Clipping detected: 9715 samples are near/over the limit.,,,
Nine Vicious - Cant Stop This.wav,Nine Vicious,144.23,F Minor,95.32,76,81,81,65,-0.0,-7.83,7.83,True,30.8,43.0,26.2,16.68,14.11,14.24,14.36,14.41,13.59,14.08,12.12,Medium,High,5.81,Clipping detected: 4746 samples are near/over the limit.,,,
Nine Vicious - Chaos.wav,Nine Vicious,144.23,D# Minor,216.58,83,86,86,75,0.0,-8.81,8.81,True,30.23,42.76,27.01,15.59,14.63,13.64,14.48,14.63,13.88,13.93,13.09,High,High,7.86,Clipping detected: 1527 samples are near/over the limit.,,,
