file,category,bpm,key,duration_sec,release_score,mix_score,master_score,arrangement_score,peak_db,rms_db,dynamic_range_db,clipping,low_end_total,mid_total,top_total,sub,bass_808,mud,low_mids,mids_melody,harsh_zone,highs,air,brightness,drum_activity,onset_density,top_problem,stem_vocal_to_beat_db,stem_bass_to_vocal_db,stem_melody_presence_score
Nino Paid - 12am In LA (Music Video) Dir： @kxrrupt_ [5HxvRmU8JNo].wav,Nino Paid,150.67,F Minor,83.63,76,81,81,65,-0.0,-7.31,7.31,True,32.92,43.06,24.02,17.47,15.45,14.72,14.5,13.84,12.59,12.62,11.4,Medium,High,6.97,Clipping detected: 8572 samples are near/over the limit.,,,
Nino Paid - Been Thru.wav,Nino Paid,175.78,G# Major,120.22,88,94,94,75,-2.9,-14.29,11.39,False,32.89,42.11,25.0,17.5,15.39,14.49,13.74,13.88,13.23,12.81,12.19,Medium,High,6.35,Mud range is elevated around 250-500 Hz.,,,
Nino Paid - Believe.wav,Nino Paid,137.2,F# Minor,119.16,85,89,89,75,-0.1,-13.64,13.53,True,32.07,43.38,24.55,16.49,15.58,14.56,14.25,14.57,13.53,13.06,11.49,Low,High,5.56,Clipping detected: 3 samples are near/over the limit.,,,
Nino Paid - Black Ball.wav,Nino Paid,136.09,F Major,127.11,84,86,86,81,0.0,-13.78,13.78,True,30.03,44.81,25.16,15.3,14.73,14.87,14.93,15.01,14.18,13.28,11.87,Medium,High,7.22,Clipping detected: 58 samples are near/over the limit.,,,
Nino Paid - Calabasas.wav,Nino Paid,138.32,E Minor,125.28,83,86,86,75,-0.0,-11.19,11.19,True,32.59,42.01,25.4,17.34,15.26,13.87,14.19,13.95,12.98,13.71,11.69,Medium,High,5.01,Clipping detected: 11 samples are near/over the limit.,,,
Nino Paid - Can’t Go Bacc.wav,Nino Paid,150.67,F Major,65.97,85,94,94,65,-5.12,-13.08,7.96,False,33.26,43.03,23.71,17.76,15.5,14.75,14.47,13.81,12.41,12.49,11.22,Medium,High,7.59,Mud range is elevated around 250-500 Hz.,,,
Nino Paid - Champagne.wav,Nino Paid,152.03,B Minor,123.95,83,86,86,75,-0.0,-10.06,10.06,True,31.53,43.95,24.52,15.97,15.56,14.72,14.96,14.27,13.24,12.99,11.53,Medium,High,6.2,Clipping detected: 1370 samples are near/over the limit.,,,
Nino Paid - Delusional.wav,Nino Paid,144.23,G Minor,93.75,85,94,94,65,-1.13,-14.97,13.84,False,32.82,42.93,24.25,16.67,16.16,14.27,14.41,14.25,13.21,12.68,11.57,Medium,High,4.11,Mud range is elevated around 250-500 Hz.,,,
Nino Paid - Evolve.wav,Nino Paid,140.62,C Minor,99.5,82,86,86,71,0.0,-10.43,10.43,True,31.74,43.32,24.95,16.98,14.76,14.74,14.68,13.89,12.79,13.22,11.73,Medium,High,7.89,Clipping detected: 388 samples are near/over the limit.,,,
Nino Paid - Fall Off.wav,Nino Paid,148.03,E Minor,154.68,84,86,86,81,-0.0,-11.48,11.48,True,31.48,43.26,25.27,16.38,15.1,14.55,14.42,14.28,13.51,13.41,11.85,Medium,High,5.18,Clipping detected: 270 samples are near/over the limit.,,,
Nino Paid - Feel Better.wav,Nino Paid,140.62,E Minor,115.12,88,94,94,75,-1.94,-13.9,11.96,False,30.95,43.09,25.95,16.4,14.56,14.53,14.41,14.16,13.38,13.34,12.62,Medium,High,5.88,Mud range is elevated around 250-500 Hz.,,,
Nino Paid - Heart Eyes.wav,Nino Paid,140.62,G Minor,96.01,84,89,89,71,-0.11,-11.06,10.95,True,31.33,43.13,25.54,16.19,15.14,14.45,14.28,14.4,13.74,13.46,12.07,Medium,High,5.04,Clipping detected: 4 samples are near/over the limit.,,,
Nino Paid - I Kno.wav,Nino Paid,156.25,D Minor,208.68,84,86,86,81,-0.0,-8.63,8.63,True,32.17,42.48,25.35,17.03,15.14,14.38,14.5,13.6,12.87,13.39,11.96,High,High,3.59,Clipping detected: 6173 samples are near/over the limit.,,,
Nino Paid - JB Couch.wav,Nino Paid,125.0,F Major,122.93,84,86,86,81,-0.0,-13.33,13.33,True,30.81,43.59,25.6,15.33,15.48,14.55,14.53,14.51,13.84,13.63,11.96,Medium,High,4.33,Clipping detected: 105 samples are near/over the limit.,,,
Nino Paid - Jessie.wav,Nino Paid,130.81,E Minor,127.69,87,92,92,75,-0.24,-15.29,15.06,False,32.53,42.52,24.95,17.06,15.48,14.34,14.29,13.89,13.23,13.35,11.6,Medium,High,5.75,Mud range is elevated around 250-500 Hz.,,,
Nino Paid - Joey Storywav.wav,Nino Paid,133.93,C Minor,128.77,83,86,86,75,-0.0,-8.84,8.84,True,31.72,42.33,25.95,16.88,14.84,14.29,13.87,14.17,13.73,13.81,12.14,Medium,High,5.61,Clipping detected: 5253 samples are near/over the limit.,,,
Nino Paid - Just Getting Started.wav,Nino Paid,140.62,B Major,138.91,90,94,94,81,-1.25,-9.84,8.59,False,32.75,42.24,25.02,16.78,15.97,13.95,13.81,14.48,13.78,13.4,11.61,Medium,High,5.15,Mud range is elevated around 250-500 Hz.,,,
Nino Paid - Kryptonite.wav,Nino Paid,140.62,D Minor,137.25,84,86,86,81,-0.0,-12.42,12.42,True,33.09,43.97,22.94,17.38,15.7,14.84,14.6,14.54,13.48,12.46,10.48,Low,High,5.49,Clipping detected: 44 samples are near/over the limit.,,,
Nino Paid - Long Live Webey.wav,Nino Paid,138.32,C# Major,110.58,84,86,86,81,0.0,-11.36,11.36,True,30.22,44.04,25.74,15.56,14.66,14.73,14.52,14.79,13.9,13.67,12.07,Medium,High,4.54,Clipping detected: 886 samples are near/over the limit.,,,
Nino Paid - Love And Affection.wav,Nino Paid,170.45,G Minor,258.65,78,81,81,70,0.0,-12.4,12.4,True,30.26,42.59,27.15,15.38,14.88,13.6,14.66,14.33,13.4,13.64,13.51,High,High,3.75,Clipping detected: 12833 samples are near/over the limit.,,,
Nino Paid - Love Me Or Hate Me.wav,Nino Paid,143.01,A# Minor,94.04,79,86,84,65,-4.8,-17.92,13.12,False,31.36,42.69,25.95,17.23,14.13,14.17,14.5,14.02,13.29,13.51,12.44,Medium,High,5.03,Mud range is elevated around 250-500 Hz.,,,
Nino Paid - Lunch Break Freestyle.wav,Nino Paid,137.2,F# Minor,148.71,84,86,86,81,-0.0,-13.07,13.07,True,31.85,43.77,24.38,16.64,15.2,14.91,14.54,14.33,13.03,12.97,11.41,Medium,High,3.72,Clipping detected: 885 samples are near/over the limit.,,,
Nino Paid - Meezy.wav,Nino Paid,125.0,B Major,92.97,68,70,70,65,-0.0,-16.19,16.19,True,31.05,43.92,25.04,15.57,15.48,15.18,14.63,14.1,13.19,13.43,11.61,Medium,High,5.73,Clipping detected: 8 samples are near/over the limit.,,,
Nino Paid - Midnight Miami.wav,Nino Paid,144.23,C Major,146.91,84,86,86,81,0.0,-11.59,11.59,True,31.25,44.08,24.67,15.77,15.48,14.78,14.89,14.41,13.36,13.04,11.64,Medium,High,5.57,Clipping detected: 645 samples are near/over the limit.,,,
Nino Paid - Money Problems.wav,Nino Paid,140.62,F# Minor,137.16,88,94,94,75,-1.26,-13.23,11.96,False,31.34,43.37,25.29,16.0,15.34,14.48,14.53,14.36,13.62,13.46,11.83,Medium,High,6.71,Mud range is elevated around 250-500 Hz.,,,
Nino Paid - NFN 2 Lose.wav,Nino Paid,140.62,A# Minor,126.91,81,81,81,81,-0.0,-10.46,10.46,True,31.71,42.62,25.67,16.65,15.06,14.06,14.25,14.3,13.53,13.4,12.27,Medium,High,5.27,Clipping detected: 11272 samples are near/over the limit.,,,
Nino Paid - Natural Causes.wav,Nino Paid,140.62,C# Minor,123.06,85,89,89,75,-0.13,-11.58,11.45,True,32.03,42.29,25.68,17.14,14.89,14.15,14.25,13.89,12.96,13.71,11.97,Medium,High,6.15,Clipping detected: 2 samples are near/over the limit.,,,
Nino Paid - Old Me.wav,Nino Paid,140.62,D Minor,127.01,83,86,86,75,-0.0,-10.11,10.11,True,31.53,44.64,23.82,16.33,15.2,15.4,14.78,14.46,13.41,12.8,11.03,Low,High,5.71,Clipping detected: 3098 samples are near/over the limit.,,,
Nino Paid - Paid.wav,Nino Paid,137.2,F Major,104.41,84,86,84,81,-0.78,-15.51,14.74,False,30.56,44.51,24.93,16.02,14.54,14.35,15.0,15.17,14.35,13.36,11.57,Medium,High,6.23,Mud range is elevated around 250-500 Hz.,,,
Nino Paid - Pain & Possibilities 2.wav,Nino Paid,127.84,F Major,151.25,84,86,86,81,-0.0,-10.94,10.94,True,30.65,42.72,26.63,15.84,14.81,14.67,13.91,14.15,13.17,13.74,12.89,Medium,High,4.58,Clipping detected: 239 samples are near/over the limit.,,,
Nino Paid - Pain & Possibilities.wav,Nino Paid,133.93,D# Minor,114.94,82,86,84,75,-2.0,-17.61,15.61,False,31.19,43.57,25.24,15.49,15.71,14.2,14.54,14.82,14.24,13.61,11.63,Medium,High,4.7,Mud range is elevated around 250-500 Hz.,,,
Nino Paid - Play This At My Funeral.wav,Nino Paid,135.54,F# Minor,130.54,81,81,81,81,0.0,-13.43,13.43,True,31.63,43.73,24.64,15.99,15.65,14.62,14.86,14.25,13.36,13.01,11.62,Medium,High,4.97,Clipping detected: 13058 samples are near/over the limit.,,,
Nino Paid - Real Life.wav,Nino Paid,137.2,C# Minor,104.78,83,86,86,75,0.0,-10.95,10.95,True,31.74,42.28,25.98,16.63,15.11,14.19,13.84,14.26,13.73,13.93,12.04,Medium,High,4.5,Clipping detected: 3532 samples are near/over the limit.,,,
Nino Paid - Regular Type.wav,Nino Paid,150.67,C# Major,166.4,84,86,86,81,0.0,-9.76,9.76,True,31.01,42.74,26.25,16.0,15.02,14.49,14.1,14.15,13.71,13.85,12.4,Medium,High,5.73,Clipping detected: 2704 samples are near/over the limit.,,,
