file,category,bpm,key,duration_sec,release_score,mix_score,master_score,arrangement_score,peak_db,rms_db,dynamic_range_db,clipping,low_end_total,mid_total,top_total,sub,bass_808,mud,low_mids,mids_melody,harsh_zone,highs,air,brightness,drum_activity,onset_density,top_problem,stem_vocal_to_beat_db,stem_bass_to_vocal_db,stem_melody_presence_score
OhSxnta - !ROGER!.wav,OhSxnta,144.23,D# Minor,166.89,84,86,86,81,0.0,-11.32,11.32,True,32.23,43.55,24.22,16.4,15.83,14.72,14.66,14.18,13.36,12.94,11.28,Low,High,4.87,Clipping detected: 5944 samples are near/over the limit.,,,
OhSxnta - All Day.wav,OhSxnta,150.67,G Minor,127.18,80,81,81,79,0.0,-6.92,6.92,True,30.41,42.39,27.2,14.94,15.48,14.18,14.17,14.04,13.49,14.09,13.11,High,Medium,2.34,Clipping detected: 59375 samples are near/over the limit.,,,
OhSxnta - Anti-Hero.wav,OhSxnta,153.41,F Minor,87.85,78,81,81,71,0.0,-10.38,10.38,True,29.84,42.87,27.29,14.84,15.01,14.84,13.95,14.07,13.5,14.18,13.11,High,High,5.2,Clipping detected: 8163 samples are near/over the limit.,,,
OhSxnta - COUNT UP.wav,OhSxnta,153.41,A# Minor,89.94,67,65,65,71,0.0,-5.65,5.65,True,30.74,42.25,27.01,15.71,15.03,14.24,13.82,14.2,13.76,14.04,12.98,High,High,7.35,Clipping detected: 27690 samples are near/over the limit.,,,
OhSxnta - Change.wav,OhSxnta,152.03,C# Minor,134.32,79,81,81,75,0.0,-6.42,6.42,True,32.71,41.21,26.08,18.0,14.71,13.81,13.84,13.55,12.75,13.51,12.58,Medium,High,6.21,Clipping detected: 50438 samples are near/over the limit.,,,
OhSxnta - DND.wav,OhSxnta,144.23,B Minor,150.78,88,94,94,75,-1.51,-12.91,11.4,False,31.55,41.9,26.55,16.34,15.21,14.08,13.83,13.99,13.56,13.83,12.71,High,High,3.5,Mud range is elevated around 250-500 Hz.,,,
OhSxnta - Don't Worry.wav,OhSxnta,122.28,B Major,90.46,76,81,81,65,0.0,-7.9,7.9,True,30.91,42.38,26.71,17.19,13.72,14.45,13.99,13.95,13.29,13.92,12.79,Medium,High,5.83,Clipping detected: 25818 samples are near/over the limit.,,,
OhSxnta - For You.wav,OhSxnta,156.25,C Minor,86.19,76,81,81,65,0.0,-6.08,6.08,True,30.9,42.33,26.77,16.38,14.52,14.3,14.14,13.88,13.26,13.81,12.96,High,High,4.17,Clipping detected: 38528 samples are near/over the limit.,,,
OhSxnta - Fuck Up Chos'.wav,OhSxnta,144.23,F# Minor,107.98,60,53,53,75,0.0,-5.29,5.29,True,30.85,42.67,26.48,16.06,14.79,14.43,14.23,14.02,13.4,13.71,12.77,High,High,7.14,Clipping detected: 116672 samples are near/over the limit.,,,
OhSxnta - I Know You.wav,OhSxnta,156.25,D# Minor,110.99,79,81,81,75,0.0,-9.15,9.15,True,30.76,42.37,26.86,16.86,13.9,14.02,14.11,14.24,13.64,13.99,12.87,High,High,4.88,Clipping detected: 9302 samples are near/over the limit.,,,
OhSxnta - Just Me.wav,OhSxnta,140.62,C Major,148.76,61,53,53,81,0.0,-5.68,5.68,True,30.91,42.13,26.95,16.63,14.29,14.14,13.9,14.09,13.53,13.83,13.12,High,High,5.72,Clipping detected: 110677 samples are near/over the limit.,,,
OhSxnta - Justin Bieber.wav,OhSxnta,144.23,F# Major,119.22,60,53,53,75,0.02,-3.62,3.64,True,31.14,41.82,27.04,16.29,14.85,14.06,13.71,14.05,13.58,13.96,13.08,High,High,8.58,Clipping detected: 264030 samples are near/over the limit.,,,
OhSxnta - Make It Work.wav,OhSxnta,144.23,C Minor,133.58,83,86,86,75,0.0,-10.83,10.83,True,31.08,42.57,26.35,16.83,14.25,14.32,14.06,14.18,13.5,13.82,12.54,Medium,High,4.33,Clipping detected: 1470 samples are near/over the limit.,,,
OhSxnta - Mashallah.wav,OhSxnta,156.25,E Minor,86.77,76,81,81,65,-0.0,-6.56,6.56,True,31.68,41.68,26.63,16.9,14.78,14.02,13.86,13.8,13.36,13.8,12.83,High,High,5.67,Clipping detected: 6664 samples are near/over the limit.,,,
OhSxnta - Pink Flat.wav,OhSxnta,156.25,C Minor,114.27,61,53,53,81,0.01,-5.29,5.3,True,31.44,41.9,26.66,17.09,14.35,13.77,14.01,14.12,13.62,13.93,12.73,High,High,5.0,Clipping detected: 470287 samples are near/over the limit.,,,
OhSxnta - Problem.wav,OhSxnta,148.03,D Minor,131.63,83,86,86,75,-0.0,-9.01,9.01,True,30.87,41.89,27.24,17.18,13.69,13.59,14.18,14.12,13.43,13.87,13.36,High,High,5.56,Clipping detected: 120 samples are near/over the limit.,,,
OhSxnta - Say My Name.wav,OhSxnta,140.62,G Major,71.71,65,65,65,65,0.0,-5.53,5.53,True,30.67,42.01,27.32,16.39,14.28,13.83,13.9,14.29,13.59,14.1,13.22,High,High,8.83,Clipping detected: 27786 samples are near/over the limit.,,,
OhSxnta - TRAP FREESTYLE.wav,OhSxnta,156.25,F Major,114.65,83,86,86,75,0.0,-8.83,8.83,True,30.74,41.78,27.49,16.48,14.26,13.85,13.81,14.12,13.81,14.2,13.29,High,High,4.68,Clipping detected: 245 samples are near/over the limit.,,,
OhSxnta - Turks.wav,OhSxnta,150.0,C# Minor,128.03,60,53,53,75,0.0,-5.55,5.55,True,31.37,41.79,26.84,16.54,14.83,14.14,13.8,13.85,13.27,13.71,13.13,High,High,4.46,Clipping detected: 167952 samples are near/over the limit.,,,
OhSxnta - Valid.wav,OhSxnta,153.41,D Minor,115.1,83,86,86,75,0.0,-11.46,11.46,True,30.25,42.61,27.14,15.53,14.72,14.25,14.31,14.06,13.32,13.54,13.6,High,High,6.37,Clipping detected: 3804 samples are near/over the limit.,,,
OhSxnta - all of us.wav,OhSxnta,150.67,C# Minor,91.22,82,86,86,71,-0.0,-6.09,6.09,True,32.48,40.99,26.53,17.77,14.71,13.69,13.54,13.76,13.09,13.53,13.0,Medium,High,4.79,Clipping detected: 510 samples are near/over the limit.,,,
OhSxnta - assumptions.wav,OhSxnta,140.62,C# Minor,96.04,76,81,81,65,-0.0,-7.84,7.84,True,31.46,42.09,26.44,16.7,14.76,13.84,14.1,14.15,13.4,13.61,12.83,High,High,4.81,Clipping detected: 8472 samples are near/over the limit.,,,
OhSxnta - barterwav.wav,OhSxnta,148.03,E Minor,89.21,57,53,53,65,0.0,-5.71,5.71,True,31.13,41.99,26.88,17.38,13.75,13.81,14.07,14.11,13.56,13.83,13.06,High,High,5.39,Clipping detected: 73163 samples are near/over the limit.,,,
OhSxnta - beeeee.wav,OhSxnta,146.1,C Minor,81.74,76,81,81,65,0.0,-7.19,7.19,True,30.81,42.93,26.27,16.66,14.14,14.24,14.48,14.2,13.13,13.58,12.69,High,High,4.81,Clipping detected: 20933 samples are near/over the limit.,,,
OhSxnta - elegant.wav,OhSxnta,156.25,C# Minor,85.64,80,86,86,65,0.0,-12.3,12.3,True,29.77,43.69,26.54,15.75,14.02,14.44,14.75,14.5,13.58,13.86,12.68,High,High,5.57,Clipping detected: 192 samples are near/over the limit.,,,
OhSxnta - favorite song.wav,OhSxnta,156.25,D# Major,83.78,68,69,69,65,-0.0,-8.58,8.58,True,31.05,42.38,26.57,15.85,15.21,14.06,14.16,14.15,13.65,13.7,12.87,High,High,6.1,Clipping detected: 62149 samples are near/over the limit.,,,
OhSxnta - feel me.wav,OhSxnta,152.03,C# Major,91.09,82,86,86,71,0.0,-9.2,9.2,True,31.11,42.56,26.32,17.06,14.05,14.07,14.27,14.22,13.4,13.62,12.7,Medium,High,5.1,Clipping detected: 1684 samples are near/over the limit.,,,
OhSxnta - get mogged.wav,OhSxnta,156.25,D Minor,133.04,79,81,81,75,-0.0,-8.77,8.77,True,31.07,42.81,26.12,16.13,14.94,14.4,14.41,14.0,13.31,13.4,12.72,Medium,High,5.48,Clipping detected: 16382 samples are near/over the limit.,,,
OhSxnta - getemback.wav,OhSxnta,156.25,C# Minor,86.94,67,65,65,71,0.0,-5.76,5.76,True,31.08,41.56,27.36,17.22,13.86,13.89,14.06,13.61,13.15,14.13,13.23,High,High,5.79,Clipping detected: 16871 samples are near/over the limit.,,,
OhSxnta - hang.wav,OhSxnta,150.67,D Minor,190.96,83,86,86,75,-0.0,-12.7,12.7,True,31.32,42.39,26.29,16.61,14.71,13.93,14.24,14.22,13.67,13.27,13.03,Medium,High,5.24,Clipping detected: 102 samples are near/over the limit.,,,
OhSxnta - hide.wav,OhSxnta,144.23,C# Major,93.41,80,86,86,65,0.0,-9.93,9.93,True,30.85,42.75,26.4,16.43,14.42,13.91,14.26,14.58,13.57,13.65,12.75,High,High,4.3,Clipping detected: 828 samples are near/over the limit.,,,
OhSxnta - hope.wav,OhSxnta,148.03,C# Major,91.49,78,81,81,71,-0.0,-6.69,6.69,True,31.23,42.51,26.27,17.02,14.21,13.76,14.42,14.32,13.43,13.58,12.69,Medium,High,4.78,Clipping detected: 16359 samples are near/over the limit.,,,
OhSxnta - luv.wav,OhSxnta,152.03,C# Minor,89.68,76,81,81,65,0.0,-6.2,6.2,True,31.74,42.29,25.98,17.3,14.43,13.82,14.35,14.11,13.09,13.37,12.61,Medium,High,4.28,Clipping detected: 8855 samples are near/over the limit.,,,
OhSxnta - no handouts.wav,OhSxnta,148.03,G Minor,98.58,68,69,69,65,0.0,-7.13,7.13,True,30.52,42.8,26.68,16.86,13.66,14.46,14.3,14.04,13.39,13.86,12.83,Medium,High,6.66,Clipping detected: 70550 samples are near/over the limit.,,,
OhSxnta - no help.wav,OhSxnta,140.62,C# Major,96.04,76,81,81,65,0.0,-6.85,6.85,True,31.82,42.05,26.13,16.94,14.88,13.83,14.06,14.16,13.28,13.44,12.69,High,High,5.92,Clipping detected: 9096 samples are near/over the limit.,,,
OhSxnta - peachtree.wav,OhSxnta,150.67,D Minor,79.46,87,94,94,71,-0.86,-9.33,8.47,False,33.9,40.46,25.64,18.02,15.88,13.8,13.32,13.34,13.03,13.43,12.21,Medium,High,5.29,Mud range is elevated around 250-500 Hz.,,,
OhSxnta - red hollywood.wav,OhSxnta,142.41,F Minor,131.66,86,86,86,85,0.0,-9.52,9.53,True,29.58,42.89,27.53,14.97,14.61,14.41,14.28,14.2,13.79,14.27,13.27,High,Medium,1.93,Clipping detected: 5248 samples are near/over the limit.,,,
OhSxnta - rocky.wav,OhSxnta,144.23,F# Minor,111.88,83,86,86,75,0.0,-8.22,8.22,True,30.49,42.59,26.92,15.52,14.97,14.38,14.15,14.07,13.53,14.26,12.65,High,High,5.89,Clipping detected: 2962 samples are near/over the limit.,,,
OhSxnta - saint laurent.wav,OhSxnta,140.62,C# Minor,88.82,83,86,86,75,-0.0,-13.43,13.43,True,29.64,43.35,27.01,15.38,14.26,14.2,14.64,14.51,13.83,14.1,12.92,High,Medium,2.33,Clipping detected: 3 samples are near/over the limit.,,,
OhSxnta - selena.wav,OhSxnta,160.71,F# Minor,84.09,80,86,86,65,0.0,-13.38,13.38,True,29.85,43.09,27.07,15.77,14.08,14.33,14.26,14.5,13.82,14.2,12.86,High,High,4.22,Clipping detected: 110 samples are near/over the limit.,,,
OhSxnta - ssense.wav,OhSxnta,152.03,C Minor,92.11,82,86,86,71,0.0,-9.35,9.35,True,30.87,42.0,27.14,16.86,14.01,13.76,14.27,13.96,13.21,13.81,13.33,High,High,5.04,Clipping detected: 865 samples are near/over the limit.,,,
