file,category,bpm,key,duration_sec,release_score,mix_score,master_score,arrangement_score,peak_db,rms_db,dynamic_range_db,clipping,low_end_total,mid_total,top_total,sub,bass_808,mud,low_mids,mids_melody,harsh_zone,highs,air,brightness,drum_activity,onset_density,top_problem,stem_vocal_to_beat_db,stem_bass_to_vocal_db,stem_melody_presence_score
OsamaSon -  ik what you did last summer.wav,Osamason,162.26,C# Minor / Try F Minor,118.76,79,81,81,75,0.0,-6.85,6.85,True,31.7,42.73,25.58,16.77,14.92,13.92,14.46,14.35,13.62,13.69,11.89,Medium,High,3.63,Clipping detected: 6118 samples are near/over the limit.,,,
OsamaSon - 3x.wav,Osamason,144.23,F Minor / Try C Minor,93.4,76,81,81,65,0.0,-6.46,6.46,True,32.77,42.07,25.17,16.93,15.84,14.05,14.23,13.78,13.19,13.34,11.83,Medium,High,5.39,Clipping detected: 7998 samples are near/over the limit.,,,
OsamaSon - Addicted.wav,Osamason,152.03,F# Minor / Try F Minor,138.95,84,86,86,79,0.0,-7.78,7.78,True,30.72,42.3,26.99,15.89,14.83,13.98,14.19,14.13,13.63,13.92,13.07,High,Medium,2.95,Clipping detected: 4262 samples are near/over the limit.,,,
OsamaSon - All Star.wav,Osamason,140.62,F Minor / Try A# Minor,121.87,81,81,81,81,-0.0,-7.0,7.0,True,31.03,41.92,27.06,16.56,14.47,13.6,14.22,14.1,13.45,13.97,13.09,High,High,3.49,Clipping detected: 7906 samples are near/over the limit.,,,
OsamaSon - Alot.wav,Osamason,152.03,C# Minor / Try C Minor,88.55,76,81,81,65,0.0,-6.19,6.19,True,32.25,41.76,25.99,17.06,15.19,13.61,14.28,13.87,12.92,13.48,12.51,Medium,High,6.1,Clipping detected: 7707 samples are near/over the limit.,,,
OsamaSon - Anti.wav,Osamason,148.03,A Minor / Try D Minor,144.73,83,86,86,75,0.0,-8.47,8.47,True,31.75,42.17,26.08,16.7,15.06,13.97,14.22,13.98,13.36,13.76,12.32,Medium,High,4.93,Clipping detected: 6427 samples are near/over the limit.,,,
OsamaSon - Baghdad.wav,Osamason,156.25,C Minor / Try C# Minor,123.43,72,70,70,75,0.0,-5.51,5.51,True,32.66,41.68,25.65,16.79,15.87,13.92,14.04,13.73,12.99,13.19,12.46,Medium,High,4.67,Clipping detected: 129 samples are near/over the limit.,,,
OsamaSon - Blonde.wav,Osamason,163.04,C# Minor,144.68,60,53,53,75,0.0,-4.62,4.62,True,32.58,42.06,25.37,17.52,15.05,13.93,14.33,13.79,13.17,13.2,12.16,Medium,High,3.79,Clipping detected: 77431 samples are near/over the limit.,,,
OsamaSon - Boss Up.wav,Osamason,144.23,D# Minor,160.47,68,65,65,75,0.0,-5.8,5.8,True,32.33,42.53,25.13,16.84,15.49,14.13,14.32,14.08,13.33,13.24,11.89,Medium,High,6.67,Clipping detected: 47662 samples are near/over the limit.,,,
OsamaSon - Break Da News.wav,Osamason,156.25,D# Major,99.07,80,86,86,65,0.0,-8.51,8.51,True,31.39,43.18,25.44,16.48,14.9,14.16,14.36,14.65,13.82,13.29,12.15,Medium,High,3.45,Clipping detected: 836 samples are near/over the limit.,,,
