file,category,bpm,key,duration_sec,release_score,mix_score,master_score,arrangement_score,peak_db,rms_db,dynamic_range_db,clipping,low_end_total,mid_total,top_total,sub,bass_808,mud,low_mids,mids_melody,harsh_zone,highs,air,brightness,drum_activity,onset_density,top_problem,stem_vocal_to_beat_db,stem_bass_to_vocal_db,stem_melody_presence_score
Prettifun - 2.wav,Prettifun,144.23,C# Minor,150.02,83,86,86,75,-0.0,-7.88,7.88,True,30.41,42.08,27.5,16.88,13.53,13.62,14.04,14.42,14.04,14.02,13.48,High,High,6.09,Clipping detected: 3230 samples are near/over the limit.,,,
Prettifun - 3 Min Freestyle.wav,Prettifun,133.93,G# Major,184.92,84,86,86,81,-0.0,-8.3,8.3,True,30.84,42.07,27.09,16.5,14.34,13.89,14.01,14.17,13.68,13.96,13.13,High,High,5.06,Clipping detected: 6959 samples are near/over the limit.,,,
Prettifun - ANXIETY 2.wav,Prettifun,133.93,D Minor,130.01,70,65,65,81,0.0,-5.35,5.35,True,31.58,41.45,26.98,17.26,14.32,13.8,13.82,13.83,13.45,14.13,12.84,High,High,7.83,Clipping detected: 15464 samples are near/over the limit.,,,
Prettifun - APPLE PIE.wav,Prettifun,150.67,E Minor,180.01,68,65,65,75,0.0,-4.18,4.19,True,32.33,41.56,26.11,16.84,15.49,13.93,13.71,13.93,13.44,13.41,12.7,Medium,High,5.32,Clipping detected: 50942 samples are near/over the limit.,,,
Prettifun - Achieve It.wav,Prettifun,144.23,D Major,120.88,68,65,65,75,-0.0,-5.55,5.55,True,31.74,40.86,27.4,16.84,14.91,13.22,13.68,13.96,13.81,14.08,13.32,High,High,3.9,Clipping detected: 16269 samples are near/over the limit.,,,
Prettifun - Alistair Overeem.wav,Prettifun,159.2,F# Minor,146.29,83,86,86,75,0.0,-9.82,9.82,True,32.71,40.28,27.01,17.35,15.37,13.51,13.51,13.25,13.04,14.09,12.92,Medium,High,4.14,Clipping detected: 111 samples are near/over the limit.,,,
Prettifun - Anxiety.wav,Prettifun,162.26,G# Major,141.38,79,81,81,75,0.0,-6.54,6.54,True,31.54,42.06,26.4,16.61,14.93,14.02,13.85,14.19,13.73,13.51,12.9,Medium,High,5.52,Clipping detected: 17823 samples are near/over the limit.,,,
Prettifun - At The Door.wav,Prettifun,133.93,D Major,158.88,81,81,81,81,0.0,-7.73,7.73,True,31.1,42.03,26.88,16.75,14.34,13.82,14.25,13.96,13.58,13.86,13.02,High,High,3.85,Clipping detected: 8090 samples are near/over the limit.,,,
Prettifun - Back.wav,Prettifun,140.62,D Major,164.61,72,70,70,75,0.0,-5.47,5.47,True,31.99,41.8,26.21,16.92,15.07,14.1,13.87,13.83,13.38,13.49,12.72,Medium,High,6.2,Clipping detected: 2674 samples are near/over the limit.,,,
Prettifun - Bbyangl.wav,Prettifun,148.03,C Major,156.76,68,65,65,75,0.0,-4.82,4.83,True,31.48,41.59,26.93,16.44,15.04,13.91,13.72,13.96,13.6,13.72,13.21,High,High,6.67,Clipping detected: 71082 samples are near/over the limit.,,,
Prettifun - C CLASS.wav,Prettifun,127.84,F# Minor,170.0,83,86,86,75,-0.0,-11.77,11.77,True,29.43,42.8,27.77,15.83,13.6,13.93,14.5,14.36,13.82,14.24,13.53,High,High,4.88,Clipping detected: 1075 samples are near/over the limit.,,,
Prettifun - CAU6TIONARY TALE.wav,Prettifun,153.41,C# Major,170.01,83,86,86,75,0.0,-8.57,8.57,True,30.78,42.05,27.18,16.4,14.38,13.95,13.88,14.21,13.74,14.21,12.96,High,High,5.55,Clipping detected: 7459 samples are near/over the limit.,,,
Prettifun - Changing.wav,Prettifun,140.62,C# Major,140.6,83,86,86,75,-0.0,-7.87,7.87,True,31.41,41.88,26.71,17.05,14.37,13.61,14.05,14.21,13.87,13.8,12.92,Medium,High,6.07,Clipping detected: 1674 samples are near/over the limit.,,,
Prettifun - Cyberpunk 2077.wav,Prettifun,165.44,D Major,93.69,76,81,81,65,0.0,-6.84,6.84,True,31.08,42.14,26.78,16.77,14.31,13.79,14.06,14.29,13.95,13.9,12.88,Medium,High,7.16,Clipping detected: 6410 samples are near/over the limit.,,,
Prettifun - Dc.wav,Prettifun,156.25,F# Minor,145.85,79,81,81,75,0.0,-7.99,8.0,True,31.54,41.52,26.94,16.53,15.01,13.49,13.82,14.22,13.87,13.85,13.09,High,High,4.54,Clipping detected: 14847 samples are near/over the limit.,,,
Prettifun - Dead First.wav,Prettifun,148.03,C Minor,145.17,68,65,65,75,0.0,-5.44,5.44,True,31.69,41.45,26.87,16.68,15.01,13.73,13.77,13.95,13.6,13.72,13.15,High,High,4.99,Clipping detected: 23967 samples are near/over the limit.,,,
Prettifun - Denim Endings.wav,Prettifun,140.62,C# Minor,155.02,83,86,86,75,0.0,-8.74,8.74,True,30.04,42.32,27.64,16.19,13.85,14.01,14.21,14.09,13.57,14.0,13.64,High,High,5.81,Clipping detected: 4892 samples are near/over the limit.,,,
Prettifun - Different.wav,Prettifun,140.62,C# Minor,148.77,60,53,53,75,0.0,-4.55,4.55,True,32.2,41.19,26.61,16.8,15.4,14.02,13.42,13.75,13.39,13.66,12.95,Medium,High,6.41,Clipping detected: 222450 samples are near/over the limit.,,,
Prettifun - Digital Love.wav,Prettifun,144.23,C# Major,160.05,81,81,81,81,-0.0,-7.67,7.67,True,30.86,42.27,26.88,16.4,14.45,14.28,14.23,13.76,13.27,13.59,13.29,High,High,5.42,Clipping detected: 24623 samples are near/over the limit.,,,
Prettifun - Faith.wav,Prettifun,150.67,F Minor,130.01,80,81,81,79,0.0,-6.88,6.88,True,30.24,42.3,27.46,16.25,13.99,14.11,14.03,14.17,13.85,13.98,13.48,High,Medium,1.87,Clipping detected: 10507 samples are near/over the limit.,,,
Prettifun - Famous.wav,Prettifun,150.67,C# Major,128.32,68,65,65,75,0.0,-5.1,5.1,True,31.69,42.0,26.3,16.51,15.18,14.16,13.88,13.97,13.44,13.48,12.83,Medium,High,6.75,Clipping detected: 53690 samples are near/over the limit.,,,
Prettifun - Fedswatchin.wav,Prettifun,148.03,C# Major,116.0,68,65,65,75,0.0,-4.44,4.45,True,31.1,41.45,27.44,16.5,14.61,13.73,13.87,13.85,13.39,13.89,13.56,High,High,5.47,Clipping detected: 46146 samples are near/over the limit.,,,
Prettifun - Feel Like Uzi.wav,Prettifun,152.03,G Minor,163.16,60,53,53,75,0.0,-3.87,3.87,True,32.46,40.55,26.99,17.1,15.36,13.63,13.34,13.58,13.27,13.83,13.15,High,High,6.75,Clipping detected: 84408 samples are near/over the limit.,,,
Prettifun - Fuck The Industry.wav,Prettifun,136.09,C Minor,103.02,79,81,81,75,0.0,-7.05,7.05,True,31.29,41.02,27.69,17.03,14.26,13.42,13.53,14.07,13.62,14.0,13.69,High,High,4.48,Clipping detected: 6217 samples are near/over the limit.,,,
