file,category,bpm,key,duration_sec,release_score,mix_score,master_score,arrangement_score,peak_db,rms_db,dynamic_range_db,clipping,low_end_total,mid_total,top_total,sub,bass_808,mud,low_mids,mids_melody,harsh_zone,highs,air,brightness,drum_activity,onset_density,top_problem,stem_vocal_to_beat_db,stem_bass_to_vocal_db,stem_melody_presence_score
Protect - @ Heart.wav,Protect,148.03,F Major,168.53,83,86,86,75,0.0,-7.83,7.83,True,32.35,42.17,25.48,17.12,15.22,14.0,14.39,13.77,12.84,13.37,12.11,Medium,High,6.81,Clipping detected: 267 samples are near/over the limit.,,,
Protect - Asphalt.wav,Protect,119.68,G Minor,133.14,83,86,86,75,-0.0,-10.81,10.81,True,30.69,43.47,25.84,16.0,14.69,14.51,14.69,14.26,13.4,13.43,12.41,Medium,High,4.0,Clipping detected: 195 samples are near/over the limit.,,,
Protect - Backwoods & Me.wav,Protect,140.62,D Minor,109.67,83,86,86,75,-0.0,-9.68,9.68,True,30.34,42.21,27.44,15.6,14.75,14.04,14.05,14.12,13.51,13.99,13.46,High,High,7.28,Clipping detected: 1787 samples are near/over the limit.,,,
Protect - Ball Hog Emojis.wav,Protect,159.2,C# Minor,149.47,84,86,86,81,0.0,-7.88,7.88,True,31.82,42.7,25.48,16.8,15.02,14.23,14.35,14.11,13.22,12.92,12.56,Medium,High,5.45,Clipping detected: 533 samples are near/over the limit.,,,
Protect - Base 11.wav,Protect,150.67,G Major,140.8,73,70,70,81,-0.0,-5.81,5.81,True,31.86,42.21,25.92,17.18,14.68,13.81,14.36,14.04,13.16,13.5,12.43,Medium,High,6.73,Clipping detected: 2247 samples are near/over the limit.,,,
Protect - Cartoon Network.wav,Protect,143.01,E Major,160.0,83,86,86,75,0.0,-7.36,7.36,True,31.83,42.64,25.53,16.97,14.87,14.3,14.38,13.96,13.39,13.43,12.1,Medium,High,4.88,Clipping detected: 1985 samples are near/over the limit.,,,
Protect - Fall Guys.wav,Protect,150.67,C Minor,127.99,83,86,86,75,-0.0,-10.84,10.84,True,31.56,43.05,25.39,16.31,15.25,14.13,14.56,14.36,13.46,13.2,12.19,Medium,High,5.95,Clipping detected: 43 samples are near/over the limit.,,,
Protect - Family Guy.wav,Protect,150.67,C# Minor,179.92,84,86,86,81,0.0,-7.92,7.93,True,31.22,41.95,26.82,16.8,14.42,13.98,13.98,14.0,13.35,13.71,13.12,Medium,High,8.26,Clipping detected: 368 samples are near/over the limit.,,,
Protect - Friends.wav,Protect,162.26,G Minor,100.23,84,86,86,79,-0.0,-8.19,8.19,True,32.04,42.42,25.54,16.7,15.34,13.98,14.2,14.24,13.64,13.35,12.19,Medium,Medium,2.78,Clipping detected: 279 samples are near/over the limit.,,,
Protect - Hotspot.wav,Protect,150.67,D Minor,127.98,84,86,86,79,-0.0,-11.2,11.2,True,29.8,43.26,26.94,15.44,14.37,14.1,14.61,14.55,14.05,13.81,13.12,High,Medium,2.03,Clipping detected: 107 samples are near/over the limit.,,,
Protect - Ion Wanna Talk (Instagram Live).wav,Protect,156.25,C# Major,98.47,80,86,86,65,0.0,-7.6,7.6,True,30.74,42.34,26.92,16.56,14.17,13.97,14.25,14.12,13.3,13.44,13.48,High,High,3.74,Clipping detected: 346 samples are near/over the limit.,,,
Protect - Iso.wav,Protect,144.23,B Minor,145.63,79,81,81,75,-0.0,-7.93,7.93,True,31.82,41.7,26.49,16.1,15.72,14.02,13.86,13.81,13.19,13.8,12.69,High,High,7.74,Clipping detected: 20322 samples are near/over the limit.,,,
Protect - Keyshia.wav,Protect,156.25,D Minor,141.53,84,86,86,81,0.0,-10.02,10.02,True,31.0,43.6,25.41,16.69,14.3,14.41,14.63,14.56,13.7,13.29,12.11,Medium,High,4.88,Clipping detected: 177 samples are near/over the limit.,,,
Protect - Lace Em Up.wav,Protect,137.2,D Major,146.16,83,86,86,75,0.0,-6.9,6.9,True,31.96,42.25,25.79,16.79,15.18,13.87,14.16,14.22,13.57,13.5,12.29,Medium,High,5.65,Clipping detected: 648 samples are near/over the limit.,,,
Protect - New Jeep.wav,Protect,160.71,F Major,185.75,79,81,81,75,0.0,-7.45,7.45,True,32.25,41.65,26.1,17.09,15.16,13.86,13.99,13.8,13.01,13.1,13.0,Medium,High,5.9,Clipping detected: 21056 samples are near/over the limit.,,,
Protect - Oops.wav,Protect,140.62,C# Major,142.57,83,86,86,75,-0.0,-6.5,6.5,True,32.43,42.45,25.12,17.49,14.94,14.13,14.46,13.86,12.81,13.06,12.06,Medium,High,7.55,Clipping detected: 1397 samples are near/over the limit.,,,
Protect - Peyton List.wav,Protect,140.62,C# Major,137.51,83,86,86,75,0.0,-6.74,6.74,True,31.68,42.27,26.05,17.17,14.51,14.14,14.3,13.82,13.03,13.43,12.63,Medium,High,4.45,Clipping detected: 382 samples are near/over the limit.,,,
Protect - Redeye.wav,Protect,127.84,F Major,163.8,84,86,86,81,-0.0,-9.22,9.22,True,31.4,42.45,26.16,16.48,14.91,14.27,14.18,13.99,13.39,13.58,12.57,Medium,High,5.14,Clipping detected: 302 samples are near/over the limit.,,,
Protect - SMS.wav,Protect,152.03,C# Minor,147.16,83,86,86,75,-0.0,-8.34,8.34,True,31.88,42.72,25.41,17.06,14.81,14.16,14.39,14.17,13.48,13.39,12.02,Medium,High,5.78,Clipping detected: 1169 samples are near/over the limit.,,,
Protect - Sip In My Room.wav,Protect,144.23,D Major,133.55,79,81,81,75,0.0,-9.53,9.54,True,31.26,42.97,25.77,16.01,15.24,14.44,14.41,14.12,13.29,13.31,12.46,Medium,High,3.04,Clipping detected: 10849 samples are near/over the limit.,,,
Protect - Slime Hmu.wav,Protect,140.62,E Major,96.06,80,86,86,65,0.0,-8.33,8.33,True,30.57,42.15,27.27,16.14,14.43,14.08,14.08,14.0,13.26,14.48,12.8,High,High,7.38,Clipping detected: 123 samples are near/over the limit.,,,
Protect - Think About Ya.wav,Protect,145.47,E Major,133.3,84,86,86,81,0.0,-8.77,8.77,True,32.31,40.75,26.93,16.18,16.14,13.53,13.59,13.63,13.06,14.05,12.88,High,High,4.94,Clipping detected: 81 samples are near/over the limit.,,,
Protect - bbysit.wav,Protect,148.03,C Major,158.37,84,86,86,79,0.0,-9.02,9.02,True,31.85,43.17,24.98,16.44,15.42,14.38,14.57,14.22,13.32,13.01,11.97,Medium,Medium,2.96,Clipping detected: 127 samples are near/over the limit.,,,
Protect - ja morant.wav,Protect,136.09,C Minor,161.69,84,86,86,81,-0.0,-7.94,7.94,True,32.04,42.43,25.53,17.54,14.49,14.16,14.3,13.98,13.07,13.14,12.39,Medium,High,6.8,Clipping detected: 2295 samples are near/over the limit.,,,
Protect - raf simons coat.wav,Protect,130.81,G# Major,150.1,88,94,94,75,-0.32,-8.13,7.82,False,32.81,41.69,25.5,17.92,14.89,13.74,14.21,13.74,12.82,13.42,12.08,Medium,High,5.59,Mud range is elevated around 250-500 Hz.,,,
Protect - rip takeoff.wav,Protect,137.2,D Minor,201.25,83,86,86,75,0.0,-9.5,9.5,True,31.5,42.24,26.25,16.25,15.25,14.13,14.23,13.88,12.82,13.73,12.52,Medium,High,3.78,Clipping detected: 854 samples are near/over the limit.,,,
