file,category,bpm,key,duration_sec,release_score,mix_score,master_score,arrangement_score,peak_db,rms_db,dynamic_range_db,clipping,low_end_total,mid_total,top_total,sub,bass_808,mud,low_mids,mids_melody,harsh_zone,highs,air,brightness,drum_activity,onset_density,top_problem,stem_vocal_to_beat_db,stem_bass_to_vocal_db,stem_melody_presence_score
Rekover Jet - Benjamins.wav,Rekover Jet,156.25,C Major,243.41,81,86,86,70,0.0,-7.59,7.59,True,31.78,43.05,25.16,16.24,15.54,14.29,14.57,14.19,13.17,13.23,11.93,Medium,High,4.68,Clipping detected: 4337 samples are near/over the limit.,,,
Rekover Jet - Clique.wav,Rekover Jet,152.03,C# Major,128.38,71,69,69,75,0.0,-6.69,6.69,True,32.14,42.44,25.42,17.03,15.11,13.94,14.26,14.24,13.49,13.66,11.76,Medium,High,6.09,Clipping detected: 66014 samples are near/over the limit.,,,
Rekover Jet - Cross Me.wav,Rekover Jet,159.2,G Minor,144.1,83,86,86,75,0.0,-6.35,6.35,True,31.29,41.99,26.71,17.0,14.29,13.74,14.11,14.14,13.43,14.17,12.55,Medium,High,6.24,Clipping detected: 2516 samples are near/over the limit.,,,
Rekover Jet - DAMN DAT.wav,Rekover Jet,167.91,F# Minor,103.52,79,81,81,75,0.0,-7.03,7.03,True,32.12,42.31,25.57,16.88,15.24,13.7,14.39,14.22,13.7,13.63,11.94,Medium,High,5.96,Clipping detected: 36743 samples are near/over the limit.,,,
Rekover Jet - DESIGNER KICKS!.wav,Rekover Jet,140.62,E Minor,134.68,83,86,86,75,-0.0,-7.18,7.18,True,31.23,43.07,25.7,16.6,14.63,14.34,14.45,14.29,13.51,13.61,12.08,Medium,High,5.97,Clipping detected: 2805 samples are near/over the limit.,,,
Rekover Jet - February.wav,Rekover Jet,130.81,A Major,117.06,84,86,86,79,0.0,-11.32,11.32,True,30.92,43.13,25.94,15.08,15.84,14.34,14.53,14.26,13.56,13.47,12.48,Medium,Medium,2.69,Clipping detected: 27 samples are near/over the limit.,,,
Rekover Jet - Guap.wav,Rekover Jet,140.62,G# Major,86.36,80,86,86,65,-0.0,-10.37,10.37,True,30.51,43.14,26.34,15.41,15.1,14.27,14.45,14.43,13.59,13.85,12.49,Medium,High,4.11,Clipping detected: 284 samples are near/over the limit.,,,
Rekover Jet - Hit.wav,Rekover Jet,122.28,C Minor,150.88,90,94,94,81,-0.66,-13.34,12.68,False,31.07,41.99,26.94,16.58,14.5,13.8,14.19,13.99,13.7,14.01,12.93,High,High,5.13,Mud range is elevated around 250-500 Hz.,,,
Rekover Jet - Mission Impossible.wav,Rekover Jet,140.62,C Major,123.69,79,81,81,75,0.0,-8.15,8.15,True,30.71,43.14,26.15,16.23,14.48,14.16,14.45,14.53,13.71,13.82,12.33,Medium,High,6.38,Clipping detected: 6091 samples are near/over the limit.,,,
Rekover Jet - NOTHING 2 SAY.wav,Rekover Jet,122.28,E Minor,175.67,79,81,81,75,0.0,-6.89,6.89,True,31.48,42.6,25.91,16.54,14.94,14.01,14.46,14.13,13.03,13.47,12.44,Medium,High,5.53,Clipping detected: 70281 samples are near/over the limit.,,,
Rekover Jet - Never.wav,Rekover Jet,133.93,E Minor,130.01,60,53,53,75,0.0,-5.99,6.0,True,30.43,43.54,26.03,16.18,14.25,14.47,14.64,14.43,13.7,13.89,12.14,Medium,High,4.68,Clipping detected: 92118 samples are near/over the limit.,,,
Rekover Jet - No Love.wav,Rekover Jet,152.03,E Minor,145.58,70,65,65,81,0.0,-5.54,5.54,True,31.92,40.93,27.15,17.26,14.66,13.29,13.8,13.85,13.49,14.07,13.07,High,High,5.96,Clipping detected: 8936 samples are near/over the limit.,,,
Rekover Jet - One.wav,Rekover Jet,119.68,E Minor,144.07,73,69,69,81,0.01,-7.37,7.38,True,31.64,42.92,25.44,16.06,15.58,14.2,14.56,14.15,13.31,13.38,12.06,Medium,High,4.57,Clipping detected: 178022 samples are near/over the limit.,,,
Rekover Jet - Over.wav,Rekover Jet,159.2,G Major,110.46,90,94,94,81,-1.07,-13.98,12.9,False,30.8,42.19,27.01,16.44,14.36,13.43,14.44,14.32,13.8,13.9,13.11,High,High,5.59,Mud range is elevated around 250-500 Hz.,,,
Rekover Jet - Pressure.wav,Rekover Jet,140.62,E Major,114.76,79,81,81,75,0.0,-7.6,7.6,True,31.53,42.85,25.62,16.37,15.15,14.1,14.6,14.15,13.26,13.5,12.13,Medium,High,5.54,Clipping detected: 5711 samples are near/over the limit.,,,
