file,category,bpm,key,duration_sec,release_score,mix_score,master_score,arrangement_score,peak_db,rms_db,dynamic_range_db,clipping,low_end_total,mid_total,top_total,sub,bass_808,mud,low_mids,mids_melody,harsh_zone,highs,air,brightness,drum_activity,onset_density,top_problem,stem_vocal_to_beat_db,stem_bass_to_vocal_db,stem_melody_presence_score
Rexv2 - 2.wav,Rexv2,156.25,F Minor,109.7,90,94,94,81,-1.94,-10.0,8.07,False,31.26,42.21,26.54,16.14,15.12,13.69,14.24,14.28,13.88,13.67,12.86,High,High,5.81,Mud range is elevated around 250-500 Hz.,,,
Rexv2 - BATMAN.wav,Rexv2,148.03,C# Minor,115.2,79,81,81,75,0.0,-7.1,7.1,True,30.76,42.39,26.85,15.91,14.86,13.97,14.28,14.14,13.8,13.79,13.05,High,High,4.7,Clipping detected: 27490 samples are near/over the limit.,,,
Rexv2 - BUFF BBY.wav,Rexv2,152.03,B Major,99.83,80,86,86,65,0.0,-10.67,10.67,True,29.98,42.94,27.08,14.42,15.56,14.1,14.34,14.51,14.14,14.07,13.0,High,High,4.1,Clipping detected: 10 samples are near/over the limit.,,,
Rexv2 - COMPANY.wav,Rexv2,159.2,C# Minor,137.87,86,86,86,85,0.0,-9.7,9.7,True,30.91,42.49,26.6,16.09,14.81,13.99,14.27,14.23,13.71,13.66,12.94,High,Medium,2.38,Clipping detected: 1657 samples are near/over the limit.,,,
Rexv2 - CONTROLLA.wav,Rexv2,153.41,C# Major,134.89,89,92,92,81,-0.2,-10.37,10.16,False,29.97,43.32,26.71,15.77,14.21,14.18,14.8,14.34,13.89,13.82,12.89,High,High,4.0,Mud range is elevated around 250-500 Hz.,,,
Rexv2 - CURRY SLIDE.wav,Rexv2,152.03,D# Minor,128.03,83,86,86,75,-0.0,-9.65,9.65,True,30.89,42.1,27.02,16.18,14.7,13.68,14.17,14.25,13.93,13.84,13.18,High,High,7.4,Clipping detected: 892 samples are near/over the limit.,,,
Rexv2 - DINNER TIME.wav,Rexv2,156.25,C Minor,122.33,83,86,86,75,0.0,-7.68,7.68,True,30.28,42.45,27.26,16.26,14.02,14.21,14.08,14.16,13.86,13.88,13.38,High,High,3.87,Clipping detected: 910 samples are near/over the limit.,,,
Rexv2 - EYE4EYE.wav,Rexv2,168.75,A Major,101.72,83,86,86,75,0.0,-8.14,8.14,True,30.48,41.67,27.85,16.19,14.29,13.29,14.02,14.35,14.07,14.41,13.45,High,High,4.3,Clipping detected: 2997 samples are near/over the limit.,,,
Rexv2 - GLOVE GANG.wav,Rexv2,144.23,D# Minor,120.09,84,86,86,81,-0.0,-6.73,6.73,True,31.59,41.69,26.72,16.93,14.66,13.8,14.01,13.87,13.54,13.75,12.97,High,High,6.75,Clipping detected: 3806 samples are near/over the limit.,,,
Rexv2 - GOYARD.wav,Rexv2,153.41,C# Minor,124.71,83,86,86,75,0.0,-9.07,9.07,True,30.96,42.25,26.79,16.05,14.91,13.86,14.19,14.2,13.89,13.98,12.81,High,High,3.06,Clipping detected: 14 samples are near/over the limit.,,,
