file,category,bpm,key,duration_sec,release_score,mix_score,master_score,arrangement_score,peak_db,rms_db,dynamic_range_db,clipping,low_end_total,mid_total,top_total,sub,bass_808,mud,low_mids,mids_melody,harsh_zone,highs,air,brightness,drum_activity,onset_density,top_problem,stem_vocal_to_beat_db,stem_bass_to_vocal_db,stem_melody_presence_score
Rich Amiri - AMIRI TRENDSETTER.wav,Rich Amiri,152.03,F# Major,152.62,83,86,86,75,0.0,-7.9,7.9,True,30.85,42.74,26.41,15.87,14.98,14.25,14.38,14.11,13.47,13.42,12.99,Medium,High,5.78,Clipping detected: 5951 samples are near/over the limit.,,,
Rich Amiri - Ace.wav,Rich Amiri,148.03,F# Minor,120.77,83,86,86,75,-0.0,-9.68,9.68,True,31.44,42.98,25.57,16.73,14.71,14.13,14.45,14.4,13.43,13.64,11.93,Medium,High,6.56,Clipping detected: 1477 samples are near/over the limit.,,,
Rich Amiri - Aint Nothing.wav,Rich Amiri,130.81,G Minor,151.7,79,81,81,75,-0.0,-8.2,8.2,True,30.98,42.24,26.77,16.28,14.7,13.82,14.17,14.25,13.61,13.54,13.24,High,High,7.15,Clipping detected: 9236 samples are near/over the limit.,,,
Rich Amiri - Ballin.wav,Rich Amiri,140.62,E Minor,171.37,84,86,86,81,-0.0,-9.4,9.4,True,31.54,42.44,26.02,16.59,14.95,13.94,14.22,14.28,13.5,13.31,12.71,Medium,High,5.29,Clipping detected: 3149 samples are near/over the limit.,,,
Rich Amiri - Believer.wav,Rich Amiri,160.71,C Minor,200.07,84,86,86,81,-0.0,-12.81,12.81,True,30.93,43.44,25.62,16.0,14.93,14.37,14.78,14.29,12.95,13.3,12.33,Medium,High,4.96,Clipping detected: 101 samples are near/over the limit.,,,
Rich Amiri - Best Friend.wav,Rich Amiri,144.23,F# Minor,102.91,90,94,94,81,-2.85,-13.98,11.13,False,30.81,43.33,25.86,16.47,14.34,14.22,14.69,14.42,13.63,13.83,12.03,Medium,High,4.67,Mud range is elevated around 250-500 Hz.,,,
Rich Amiri - Bounty.wav,Rich Amiri,152.03,F# Minor,103.26,84,86,86,81,0.0,-7.7,7.7,True,31.26,43.51,25.23,16.71,14.56,14.27,14.65,14.59,13.63,13.46,11.76,Medium,High,4.84,Clipping detected: 1790 samples are near/over the limit.,,,
Rich Amiri - Brick Brick.wav,Rich Amiri,148.03,A Minor,130.64,81,81,81,81,0.0,-6.14,6.14,True,31.41,42.04,26.56,15.92,15.49,13.96,14.05,14.03,13.36,14.09,12.47,High,High,7.96,Clipping detected: 11862 samples are near/over the limit.,,,
Rich Amiri - COUNT MY BANDZ.wav,Rich Amiri,140.62,F# Minor,123.44,79,81,81,75,0.0,-7.15,7.15,True,31.18,42.35,26.47,15.21,15.97,13.93,14.13,14.3,13.73,13.99,12.47,Medium,High,3.79,Clipping detected: 16934 samples are near/over the limit.,,,
Rich Amiri - Can't Die.wav,Rich Amiri,137.2,F# Major,112.49,79,81,81,75,0.0,-10.45,10.45,True,31.71,43.21,25.08,16.66,15.05,14.45,14.33,14.42,13.66,13.44,11.64,Medium,High,4.67,Clipping detected: 6079 samples are near/over the limit.,,,
Rich Amiri - Code Red.wav,Rich Amiri,127.84,F Minor,185.17,81,81,81,81,0.0,-7.88,7.88,True,30.79,42.95,26.26,16.35,14.44,14.3,14.33,14.32,13.35,13.51,12.75,Medium,High,4.43,Clipping detected: 15572 samples are near/over the limit.,,,
Rich Amiri - Codeine Crazy.wav,Rich Amiri,133.93,D Major,157.58,81,81,81,81,-0.0,-7.47,7.47,True,30.36,43.06,26.59,16.22,14.14,14.11,14.36,14.58,13.89,14.06,12.53,Medium,High,7.11,Clipping detected: 23150 samples are near/over the limit.,,,
Rich Amiri - DONT MAKE ME.wav,Rich Amiri,148.03,C# Minor,131.43,79,81,81,75,0.0,-6.24,6.24,True,31.05,42.24,26.7,16.38,14.67,14.12,14.14,13.99,13.21,13.81,12.89,High,High,6.32,Clipping detected: 27088 samples are near/over the limit.,,,
Rich Amiri - Dirty Money.wav,Rich Amiri,159.2,A# Minor,108.48,83,86,86,75,-0.0,-8.38,8.38,True,31.53,42.67,25.8,16.54,14.99,14.23,14.29,14.14,13.33,13.59,12.21,Medium,High,5.42,Clipping detected: 111 samples are near/over the limit.,,,
Rich Amiri - Don't Exist.wav,Rich Amiri,130.81,C# Minor,171.37,83,86,86,75,-0.0,-9.99,9.99,True,31.91,43.28,24.81,17.02,14.89,14.47,14.55,14.26,13.25,13.23,11.59,Medium,High,4.53,Clipping detected: 2083 samples are near/over the limit.,,,
