file,category,bpm,key,duration_sec,release_score,mix_score,master_score,arrangement_score,peak_db,rms_db,dynamic_range_db,clipping,low_end_total,mid_total,top_total,sub,bass_808,mud,low_mids,mids_melody,harsh_zone,highs,air,brightness,drum_activity,onset_density,top_problem,stem_vocal_to_beat_db,stem_bass_to_vocal_db,stem_melody_presence_score
SoFaygo - 4SUM.wav,SoFaygo,148.03,D# Major,106.79,88,94,94,75,-1.2,-13.6,12.4,False,30.26,43.62,26.12,15.11,15.14,14.28,14.31,15.03,13.51,13.7,12.42,Medium,High,3.03,Mud range is elevated around 250-500 Hz.,,,
SoFaygo - BACKSEAT.wav,SoFaygo,127.84,B Minor,159.06,84,86,86,81,0.0,-11.24,11.24,True,31.04,44.09,24.87,15.84,15.21,14.4,14.71,14.98,14.29,13.04,11.83,Medium,High,4.87,Clipping detected: 868 samples are near/over the limit.,,,
SoFaygo - Blitz.wav,SoFaygo,144.23,C# Major,99.57,83,86,86,75,0.0,-9.46,9.46,True,31.33,42.63,26.04,16.11,15.22,13.88,14.41,14.34,13.66,13.08,12.96,Medium,Medium,2.47,Clipping detected: 2365 samples are near/over the limit.,,,
SoFaygo - Breathe.wav,SoFaygo,165.44,C Minor,180.18,88,94,94,75,-0.34,-15.46,15.12,False,30.32,44.87,24.81,15.61,14.71,14.96,14.92,15.0,14.49,13.42,11.39,Medium,High,4.12,Mud range is elevated around 250-500 Hz.,,,
SoFaygo - Chrome.wav,SoFaygo,144.23,G Minor,171.41,81,81,81,81,-0.0,-10.5,10.5,True,32.08,42.99,24.93,16.71,15.37,14.16,14.68,14.15,13.4,13.19,11.74,Medium,High,7.02,Clipping detected: 76814 samples are near/over the limit.,,,
SoFaygo - Clutch.wav,SoFaygo,154.11,C Minor,133.74,81,81,81,81,-0.0,-9.7,9.7,True,31.69,42.81,25.5,16.68,15.01,14.4,14.28,14.14,13.51,12.87,12.63,Medium,High,4.69,Clipping detected: 17250 samples are near/over the limit.,,,
SoFaygo - Controlling.wav,SoFaygo,119.68,F Minor,136.0,84,86,86,81,0.0,-12.06,12.06,True,31.91,43.08,25.01,16.27,15.65,14.69,14.17,14.22,13.9,13.09,11.92,Medium,High,5.29,Clipping detected: 1595 samples are near/over the limit.,,,
SoFaygo - Count Me Out.wav,SoFaygo,144.23,D Major,146.13,81,81,81,81,0.0,-7.58,7.58,True,31.88,42.91,25.21,16.78,15.1,14.14,14.16,14.61,14.19,13.46,11.74,Medium,High,5.96,Clipping detected: 14649 samples are near/over the limit.,,,
SoFaygo - Don't Hold The Fire.wav,SoFaygo,122.28,G Major,147.08,83,86,86,75,0.0,-9.86,9.86,True,31.5,42.63,25.87,16.18,15.32,14.53,14.14,13.96,13.42,13.34,12.53,Medium,High,4.67,Clipping detected: 761 samples are near/over the limit.,,,
SoFaygo - Everyday.wav,SoFaygo,162.26,D Minor,160.09,82,86,84,75,-1.44,-16.78,15.34,False,31.55,43.81,24.65,16.18,15.37,14.59,14.89,14.33,13.69,12.79,11.85,Medium,High,4.98,Mud range is elevated around 250-500 Hz.,,,
SoFaygo - Goin Back.wav,SoFaygo,125.0,C Minor,214.93,88,94,94,75,-0.61,-10.58,9.97,False,31.69,42.75,25.57,16.47,15.22,13.7,14.43,14.62,13.69,12.98,12.58,Medium,High,5.33,Mud range is elevated around 250-500 Hz.,,,
SoFaygo - Hang With The Goats.wav,SoFaygo,148.03,F# Major,142.78,83,86,86,75,-0.0,-12.5,12.5,True,32.83,42.96,24.21,17.15,15.68,14.33,14.25,14.37,13.84,12.96,11.25,Medium,High,4.92,Clipping detected: 93 samples are near/over the limit.,,,
SoFaygo - Hearse.wav,SoFaygo,160.71,A Minor,156.16,84,86,86,81,0.0,-11.01,11.01,True,31.82,42.09,26.09,16.36,15.46,13.76,14.17,14.16,13.64,13.56,12.53,Medium,High,5.08,Clipping detected: 2937 samples are near/over the limit.,,,
SoFaygo - Hell Yeah Ft. Ken Carson.wav,SoFaygo,143.01,A Major,168.05,79,81,81,75,-0.0,-6.59,6.59,True,31.21,42.04,26.74,16.6,14.61,13.31,14.19,14.55,14.07,13.45,13.29,Medium,High,5.93,Clipping detected: 44783 samples are near/over the limit.,,,
SoFaygo - Knock Knock.wav,SoFaygo,125.0,C# Minor,156.28,84,86,86,81,0.0,-11.21,11.21,True,30.75,43.09,26.15,15.87,14.89,14.1,14.52,14.47,13.91,13.18,12.98,Medium,High,3.71,Clipping detected: 2557 samples are near/over the limit.,,,
SoFaygo - Let the Girls Slay.wav,SoFaygo,148.03,E Minor,114.55,81,81,81,81,0.0,-10.65,10.65,True,30.45,42.77,26.78,15.85,14.6,13.9,14.44,14.43,13.84,13.44,13.34,High,High,7.11,Clipping detected: 7889 samples are near/over the limit.,,,
SoFaygo - Let's Lose Our Minds.wav,SoFaygo,152.03,F# Minor,206.01,71,69,69,75,0.0,-7.67,7.67,True,32.0,42.85,25.14,16.47,15.53,14.25,14.36,14.24,13.7,13.11,12.03,Medium,High,5.49,Clipping detected: 109064 samples are near/over the limit.,,,
SoFaygo - Life So Crazy.wav,SoFaygo,125.0,C# Minor,107.71,79,81,81,75,0.0,-8.47,8.47,True,31.39,42.95,25.66,16.73,14.66,13.91,14.59,14.45,13.59,13.54,12.12,Medium,High,6.89,Clipping detected: 5366 samples are near/over the limit.,,,
SoFaygo - Lust.wav,SoFaygo,165.44,F Major,125.39,83,86,86,75,-0.0,-12.17,12.17,True,31.82,42.31,25.88,16.85,14.96,14.0,14.17,14.14,13.58,13.47,12.41,Medium,High,5.33,Clipping detected: 5316 samples are near/over the limit.,,,
SoFaygo - MM3.wav,SoFaygo,144.23,C# Minor,176.09,79,81,81,75,-0.0,-6.06,6.06,True,31.35,42.69,25.96,16.8,14.55,13.86,14.4,14.43,13.72,13.52,12.44,Medium,High,5.86,Clipping detected: 24745 samples are near/over the limit.,,,
SoFaygo - Matrix.wav,SoFaygo,159.2,F# Major,149.95,79,81,81,75,0.0,-10.67,10.67,True,31.94,42.75,25.31,17.06,14.87,14.15,14.29,14.3,13.81,13.58,11.74,Medium,High,5.19,Clipping detected: 13788 samples are near/over the limit.,,,
SoFaygo - Nonchalant.wav,SoFaygo,165.44,C Minor,106.76,81,81,81,81,-0.0,-9.76,9.76,True,31.07,42.81,26.12,15.54,15.52,13.75,14.53,14.53,13.97,13.29,12.83,Medium,High,4.41,Clipping detected: 20143 samples are near/over the limit.,,,
SoFaygo - Off the Map.wav,SoFaygo,148.03,F# Minor,167.72,73,69,69,81,0.0,-8.21,8.21,True,31.27,43.6,25.12,16.5,14.77,14.4,14.79,14.42,13.61,12.98,12.14,Medium,High,6.09,Clipping detected: 103131 samples are near/over the limit.,,,
SoFaygo - On What I'm On.wav,SoFaygo,159.2,A# Minor,122.23,81,81,81,81,0.0,-8.31,8.31,True,31.55,42.17,26.28,16.37,15.18,13.77,14.24,14.16,13.56,13.38,12.9,Medium,High,6.51,Clipping detected: 13842 samples are near/over the limit.,,,
SoFaygo - Out.wav,SoFaygo,144.23,F# Minor,181.51,81,81,81,81,-0.0,-10.47,10.47,True,31.72,43.79,24.5,16.22,15.49,14.28,14.76,14.75,14.01,13.21,11.29,Medium,High,4.81,Clipping detected: 20273 samples are near/over the limit.,,,
SoFaygo - Price.wav,SoFaygo,145.47,E Major,199.47,84,86,86,81,-0.0,-12.14,12.14,True,32.18,43.93,23.88,16.5,15.69,14.44,14.79,14.7,13.45,12.71,11.17,Medium,High,3.3,Clipping detected: 8927 samples are near/over the limit.,,,
SoFaygo - Pure.wav,SoFaygo,140.62,C Major,195.2,84,86,86,81,0.0,-9.59,9.59,True,30.87,44.02,25.11,16.26,14.61,14.53,14.64,14.86,14.13,13.08,12.03,Medium,High,4.08,Clipping detected: 1498 samples are near/over the limit.,,,
SoFaygo - Quit Smoking Dabs.wav,SoFaygo,150.67,D# Minor,148.57,84,86,86,81,0.0,-11.74,11.74,True,31.98,42.88,25.13,17.04,14.94,13.99,14.31,14.59,14.06,13.23,11.9,Medium,High,4.92,Clipping detected: 1633 samples are near/over the limit.,,,
SoFaygo - Seven.wav,SoFaygo,160.71,C# Minor,100.62,83,86,86,75,0.0,-9.22,9.22,True,31.48,42.19,26.33,16.77,14.7,13.71,14.2,14.27,13.76,13.41,12.92,High,High,7.31,Clipping detected: 231 samples are near/over the limit.,,,
SoFaygo - Stay Awake.wav,SoFaygo,145.47,D# Minor,213.72,84,86,86,81,-0.0,-9.76,9.76,True,31.25,43.12,25.63,16.4,14.85,13.84,14.73,14.54,13.86,13.58,12.05,Medium,High,4.08,Clipping detected: 9556 samples are near/over the limit.,,,
SoFaygo - Up Off 1942.wav,SoFaygo,156.25,E Major,135.45,84,86,86,81,-0.0,-11.05,11.05,True,31.62,44.2,24.18,16.68,14.94,14.71,14.8,14.69,13.95,13.03,11.15,Medium,High,5.15,Clipping detected: 405 samples are near/over the limit.,,,
SoFaygo - WHAT YOU WANT.wav,SoFaygo,156.25,C# Minor,136.31,71,69,69,75,0.0,-7.48,7.48,True,31.7,42.86,25.44,16.86,14.84,14.15,14.44,14.27,13.52,13.44,12.0,Medium,High,5.0,Clipping detected: 93916 samples are near/over the limit.,,,
Sofaygo - Get Right.wav,SoFaygo,156.25,F# Minor,113.41,83,86,86,75,0.0,-8.15,8.15,True,31.23,42.99,25.78,16.72,14.51,14.4,14.26,14.32,13.6,13.21,12.57,Medium,High,5.44,Clipping detected: 87 samples are near/over the limit.,,,
Sofaygo - Hits on Hits.wav,SoFaygo,156.25,F# Major,154.97,84,86,86,81,-0.0,-10.79,10.79,True,31.19,42.7,26.1,16.34,14.86,13.83,14.31,14.57,14.04,13.44,12.66,Medium,High,6.24,Clipping detected: 4771 samples are near/over the limit.,,,
Sofaygo - The World Is Yours.wav,SoFaygo,130.81,C Minor,149.12,84,86,86,81,-0.02,-10.31,10.29,True,32.32,42.35,25.33,17.41,14.9,14.24,13.91,14.2,13.77,13.66,11.67,Medium,High,4.14,Clipping detected: 1 samples are near/over the limit.,,,
