file,category,bpm,key,duration_sec,release_score,mix_score,master_score,arrangement_score,peak_db,rms_db,dynamic_range_db,clipping,low_end_total,mid_total,top_total,sub,bass_808,mud,low_mids,mids_melody,harsh_zone,highs,air,brightness,drum_activity,onset_density,top_problem,stem_vocal_to_beat_db,stem_bass_to_vocal_db,stem_melody_presence_score
Sosocamo  - 200.wav,Sosocamo,152.03,D# Minor,137.76,72,70,70,75,-0.0,-16.99,16.99,True,30.35,43.41,26.24,15.25,15.11,14.64,14.49,14.28,13.34,13.89,12.35,Medium,High,5.99,Clipping detected: 49 samples are near/over the limit.,,,
Sosocamo -  let me know.wav,Sosocamo,137.2,F Major,179.43,68,65,65,75,0.0,-5.62,5.62,True,31.93,42.09,25.98,16.82,15.11,14.2,14.04,13.84,13.29,13.54,12.45,Medium,High,4.16,Clipping detected: 63229 samples are near/over the limit.,,,
Sosocamo - 4GET ABOUT ME.wav,Sosocamo,178.57,C# Minor,128.96,83,86,86,75,-0.0,-12.73,12.73,True,32.23,42.3,25.47,16.83,15.4,14.49,13.84,13.97,13.33,13.56,11.91,Medium,High,5.26,Clipping detected: 329 samples are near/over the limit.,,,
Sosocamo - DOWN DEEP.wav,Sosocamo,130.81,F Minor,124.16,85,89,89,75,-0.12,-12.24,12.12,True,32.38,42.53,25.09,16.3,16.08,14.05,14.22,14.25,13.6,13.35,11.75,Medium,High,5.08,Clipping detected: 4 samples are near/over the limit.,,,
Sosocamo - Gemini.wav,Sosocamo,140.62,A# Minor,131.87,84,86,86,81,-0.0,-10.93,10.93,True,30.94,43.01,26.05,16.22,14.73,14.55,14.3,14.16,13.25,13.68,12.37,Medium,High,4.35,Clipping detected: 39 samples are near/over the limit.,,,
Sosocamo - HUNNID WAYS.wav,Sosocamo,160.71,F Minor,119.26,83,86,86,75,0.0,-7.44,7.44,True,32.5,41.46,26.04,17.3,15.2,13.88,13.81,13.77,13.3,13.84,12.21,Medium,High,5.47,Clipping detected: 14 samples are near/over the limit.,,,
Sosocamo - Haunted House.wav,Sosocamo,159.2,C# Minor,119.1,79,81,81,75,0.0,-10.76,10.76,True,31.41,43.54,25.05,16.14,15.27,14.82,14.39,14.34,13.67,13.23,11.82,Medium,High,5.26,Clipping detected: 8323 samples are near/over the limit.,,,
Sosocamo - Kids Play.wav,Sosocamo,125.0,B Minor,131.63,83,86,86,75,-0.0,-12.59,12.59,True,31.27,43.11,25.61,16.04,15.23,14.31,14.37,14.44,13.67,13.34,12.27,Medium,High,3.03,Clipping detected: 32 samples are near/over the limit.,,,
Sosocamo - LEGAL TENDER.wav,Sosocamo,152.03,F# Minor,114.44,83,86,86,75,-0.0,-10.34,10.34,True,31.42,42.3,26.28,16.04,15.37,14.19,13.92,14.19,13.63,14.04,12.24,Medium,High,5.94,Clipping detected: 44 samples are near/over the limit.,,,
Sosocamo - NIGHTFALL.wav,Sosocamo,148.03,F# Minor,105.6,84,86,86,81,-0.06,-11.69,11.63,True,32.73,41.92,25.35,17.02,15.71,13.87,13.75,14.31,13.78,13.55,11.8,Medium,High,4.87,Clipping detected: 2 samples are near/over the limit.,,,
