file,category,bpm,key,duration_sec,release_score,mix_score,master_score,arrangement_score,peak_db,rms_db,dynamic_range_db,clipping,low_end_total,mid_total,top_total,sub,bass_808,mud,low_mids,mids_melody,harsh_zone,highs,air,brightness,drum_activity,onset_density,top_problem,stem_vocal_to_beat_db,stem_bass_to_vocal_db,stem_melody_presence_score
Southsidesilhouette  - unbox.wav,Southsidesilhouette,127.84,E Minor,104.14,81,81,81,81,0.0,-7.87,7.87,True,31.94,42.45,25.62,17.17,14.76,14.54,14.21,13.71,12.86,13.03,12.59,Medium,High,9.19,Clipping detected: 15761 samples are near/over the limit.,,,
Southsidesilhouette - .wav,Southsidesilhouette,144.23,C Major,136.92,84,86,86,79,-0.0,-9.48,9.48,True,31.43,42.11,26.46,16.8,14.63,14.4,14.12,13.6,12.97,13.77,12.69,Medium,Medium,2.51,Clipping detected: 161 samples are near/over the limit.,,,
Southsidesilhouette - 2 player.wav,Southsidesilhouette,130.81,C Minor,122.74,81,81,81,81,-0.0,-10.28,10.28,True,29.33,42.89,27.78,14.94,14.39,14.07,14.35,14.48,13.91,14.46,13.32,High,High,4.38,Clipping detected: 6208 samples are near/over the limit.,,,
Southsidesilhouette - 2121.wav,Southsidesilhouette,140.62,E Minor,152.94,60,53,53,75,0.0,-5.3,5.3,True,31.74,41.69,26.57,16.86,14.88,13.8,14.3,13.58,13.07,13.47,13.1,Medium,High,4.58,Clipping detected: 96824 samples are near/over the limit.,,,
Southsidesilhouette - 3m0nthsl4ter.wav,Southsidesilhouette,140.62,D# Minor,128.74,81,81,81,81,-0.0,-7.84,7.84,True,31.62,43.24,25.14,17.73,13.89,14.7,14.96,13.58,12.68,12.93,12.21,Low,High,3.24,Clipping detected: 7241 samples are near/over the limit.,,,
Southsidesilhouette - 7300days (Toom).wav,Southsidesilhouette,150.67,F Major,172.51,84,86,86,81,0.0,-9.4,9.4,True,31.54,41.06,27.4,16.14,15.41,13.58,13.84,13.64,13.17,14.34,13.06,High,High,5.91,Clipping detected: 4716 samples are near/over the limit.,,,
Southsidesilhouette - A-List.wav,Southsidesilhouette,144.23,F# Major,148.43,68,65,65,75,-0.0,-5.21,5.21,True,32.87,41.14,26.0,16.98,15.89,14.29,13.72,13.13,12.41,13.52,12.47,Medium,High,8.11,Clipping detected: 16743 samples are near/over the limit.,,,
Southsidesilhouette - Been On.wav,Southsidesilhouette,144.23,F# Minor,108.52,83,86,86,75,0.0,-9.23,9.23,True,31.39,41.95,26.66,16.65,14.73,14.15,14.21,13.6,13.0,14.11,12.55,Medium,High,6.81,Clipping detected: 54 samples are near/over the limit.,,,
Southsidesilhouette - CAMP ROCK.wav,Southsidesilhouette,140.62,F# Major,89.22,80,86,86,65,0.0,-8.75,8.75,True,31.58,42.47,25.96,16.78,14.79,14.38,14.24,13.85,12.98,13.15,12.81,Medium,High,4.99,Clipping detected: 744 samples are near/over the limit.,,,
Southsidesilhouette - Comprende.wav,Southsidesilhouette,133.93,C# Minor,143.12,83,86,86,75,0.0,-6.67,6.67,True,32.31,41.62,26.07,17.14,15.17,13.92,13.85,13.85,13.27,13.78,12.3,Medium,High,6.03,Clipping detected: 1896 samples are near/over the limit.,,,
