file,category,bpm,key,duration_sec,release_score,mix_score,master_score,arrangement_score,peak_db,rms_db,dynamic_range_db,clipping,low_end_total,mid_total,top_total,sub,bass_808,mud,low_mids,mids_melody,harsh_zone,highs,air,brightness,drum_activity,onset_density,top_problem,stem_vocal_to_beat_db,stem_bass_to_vocal_db,stem_melody_presence_score
Summrs   Perfect Timing.wav,Summrs,137.2,F Minor,128.43,83,86,86,75,-0.08,-14.11,14.03,True,30.14,43.34,26.52,16.09,14.05,14.08,14.57,14.69,14.1,14.24,12.27,Medium,High,4.2,Clipping detected: 2 samples are near/over the limit.,,,
Summrs - 5_35 am Interlude.wav,Summrs,156.25,G Minor,74.82,74,78,78,65,-1.24,-18.05,16.81,False,28.27,46.21,25.53,11.99,16.27,15.35,15.68,15.17,14.17,13.64,11.89,Medium,High,5.52,Mud range is elevated around 250-500 Hz.,,,
Summrs - Ashes.wav,Summrs,140.62,F Minor,162.34,73,70,70,81,-0.0,-16.39,16.39,True,31.71,43.45,24.84,16.45,15.27,14.42,14.79,14.24,13.53,13.33,11.51,Medium,High,5.99,Clipping detected: 751 samples are near/over the limit.,,,
Summrs - Better Back Down! Feat Summrs!.wav,Summrs,140.62,C Minor,123.4,84,86,86,81,0.0,-9.2,9.2,True,31.71,43.16,25.13,16.9,14.81,14.49,14.6,14.07,13.43,12.78,12.35,Medium,High,4.95,Clipping detected: 459 samples are near/over the limit.,,,
Summrs - Bonnie & Klyde 2.wav,Summrs,137.2,F Major,111.18,86,89,89,79,-0.13,-14.85,14.73,True,29.34,44.14,26.53,15.67,13.67,14.14,15.24,14.76,13.58,13.46,13.07,Medium,Medium,2.94,Clipping detected: 2 samples are near/over the limit.,,,
Summrs - Calico From Mehico.wav,Summrs,133.93,F Minor,142.97,84,86,86,81,0.0,-10.6,10.6,True,32.3,41.22,26.48,17.08,15.22,13.53,13.77,13.92,13.82,13.94,12.54,Medium,High,5.47,Clipping detected: 89 samples are near/over the limit.,,,
Summrs - Catch a Kill.wav,Summrs,145.47,C# Minor,126.01,83,86,86,75,0.0,-10.98,10.98,True,31.98,41.71,26.31,17.12,14.87,13.93,13.73,14.05,13.54,13.95,12.36,Medium,High,5.83,Clipping detected: 22 samples are near/over the limit.,,,
Summrs - Cathedral.wav,Summrs,156.25,D# Minor,99.3,87,94,94,71,-2.67,-13.23,10.56,False,30.49,45.12,24.39,15.63,14.86,15.3,15.22,14.6,13.77,12.67,11.72,Medium,High,3.25,Mud range is elevated around 250-500 Hz.,,,
Summrs - Clear Da Bidness.wav,Summrs,148.03,C Minor,102.56,83,86,86,75,-0.0,-12.58,12.58,True,31.25,42.21,26.54,16.57,14.67,13.62,14.34,14.25,13.57,14.17,12.36,Medium,High,6.67,Clipping detected: 310 samples are near/over the limit.,,,
Summrs - Cuts so Deep 2.wav,Summrs,140.62,E Minor,137.2,84,86,86,81,-0.0,-13.39,13.39,True,31.67,43.46,24.87,16.42,15.25,14.26,14.59,14.61,13.79,13.46,11.41,Medium,High,5.74,Clipping detected: 62 samples are near/over the limit.,,,
"Summrs - Dear Mom,.wav",Summrs,133.93,D Major,231.33,72,70,70,75,-0.0,-16.05,16.05,True,30.49,44.02,25.49,15.91,14.58,14.58,14.97,14.47,13.78,13.66,11.83,Medium,High,4.47,Clipping detected: 122 samples are near/over the limit.,,,
Summrs - Do no Wrong.wav,Summrs,143.01,D# Minor,165.64,79,81,81,75,0.0,-6.72,6.72,True,31.68,42.67,25.65,16.65,15.03,14.45,14.37,13.85,13.31,13.47,12.18,Medium,High,5.39,Clipping detected: 43549 samples are near/over the limit.,,,
Summrs - Don't Mean Shit.wav,Summrs,143.01,G Minor,147.27,84,86,86,81,0.0,-11.57,11.57,True,31.09,42.67,26.24,16.08,15.01,13.74,14.41,14.52,13.88,13.85,12.39,Medium,High,4.41,Clipping detected: 508 samples are near/over the limit.,,,
Summrs - FTW.wav,Summrs,140.62,F# Minor,147.67,78,76,76,81,-0.24,-17.26,17.02,False,30.81,44.06,25.13,16.22,14.59,14.57,14.97,14.51,13.48,13.49,11.64,Medium,High,5.47,Mud range is elevated around 250-500 Hz.,,,
Summrs - FadaPhillipe.wav,Summrs,150.67,C# Minor,166.4,83,86,86,75,0.0,-8.49,8.49,True,32.37,41.51,26.12,17.11,15.26,13.94,13.56,14.01,13.86,14.0,12.12,Medium,High,6.69,Clipping detected: 598 samples are near/over the limit.,,,
Summrs - For You Interlude.wav,Summrs,125.0,E Major,73.74,76,78,78,71,-2.69,-20.2,17.5,False,31.27,44.44,24.29,15.32,15.95,15.2,15.1,14.15,13.41,12.63,11.66,Low,High,3.62,Mud range is elevated around 250-500 Hz.,,,
Summrs - Let da birds out.wav,Summrs,150.67,F# Major,151.93,83,86,86,75,-0.0,-14.61,14.61,True,31.67,42.61,25.72,16.62,15.05,13.75,14.37,14.48,13.62,13.69,12.03,Medium,High,4.7,Clipping detected: 17 samples are near/over the limit.,,,
Summrs - Loving u is a Sin.wav,Summrs,144.23,E Minor,157.66,83,86,86,75,0.0,-14.54,14.54,True,31.25,42.69,26.06,16.18,15.07,14.13,14.52,14.03,13.21,13.42,12.63,Medium,High,5.47,Clipping detected: 1181 samples are near/over the limit.,,,
Summrs - More Motion.wav,Summrs,145.47,D# Minor,135.27,83,86,86,75,-0.0,-10.77,10.77,True,31.42,42.32,26.26,16.34,15.08,14.13,14.22,13.97,13.84,14.02,12.23,Medium,High,5.3,Clipping detected: 1637 samples are near/over the limit.,,,
Summrs - NSA.wav,Summrs,140.62,C# Minor,129.5,83,86,86,75,-0.0,-14.69,14.69,True,30.32,43.65,26.03,15.73,14.59,14.64,14.76,14.26,13.49,13.98,12.04,Medium,High,4.39,Clipping detected: 51 samples are near/over the limit.,,,
Summrs - Soulja Rag.wav,Summrs,140.62,C Major,143.51,83,86,86,75,0.0,-10.8,10.8,True,31.25,42.92,25.82,16.46,14.8,14.19,14.3,14.43,13.48,13.61,12.21,Medium,High,6.22,Clipping detected: 1297 samples are near/over the limit.,,,
Summrs - Stuck In My Ways.wav,Summrs,150.67,G# Major,133.5,83,86,86,75,-0.0,-11.42,11.42,True,30.66,43.99,25.35,16.04,14.61,14.64,14.68,14.67,13.47,13.38,11.97,Medium,High,5.41,Clipping detected: 730 samples are near/over the limit.,,,
Summrs - The Outro.wav,Summrs,170.45,D Minor,110.07,78,78,78,79,-5.66,-24.6,18.94,False,26.37,46.97,26.67,10.91,15.46,16.12,15.89,14.96,14.18,13.57,13.1,Medium,Medium,2.84,Mud range is elevated around 250-500 Hz.,,,
Summrs - Twin did dat.wav,Summrs,144.23,G Minor,120.09,83,86,86,75,-0.0,-9.49,9.49,True,31.69,42.16,26.15,16.72,14.97,13.89,14.28,13.99,13.52,13.95,12.2,Medium,High,5.77,Clipping detected: 3817 samples are near/over the limit.,,,
Summrs - Wakeup.wav,Summrs,140.62,E Minor,133.71,83,86,86,75,0.0,-9.09,9.09,True,30.41,43.25,26.35,16.86,13.55,14.33,14.38,14.54,13.81,13.89,12.46,Medium,High,7.44,Clipping detected: 1294 samples are near/over the limit.,,,
Summrs - Was The One (Prod. Kankan).wav,Summrs,140.62,C Minor,109.88,79,81,81,75,0.0,-6.88,6.88,True,30.9,43.07,26.04,16.82,14.08,13.92,14.78,14.36,13.71,13.47,12.56,Medium,High,4.14,Clipping detected: 27257 samples are near/over the limit.,,,
Summrs - Z06.wav,Summrs,159.2,F# Minor,149.57,71,69,69,75,0.0,-6.53,6.54,True,32.43,41.68,25.9,17.05,15.37,14.05,13.89,13.73,13.13,13.71,12.19,Medium,High,6.63,Clipping detected: 107379 samples are near/over the limit.,,,
Summrs - bfo2.wav,Summrs,144.23,C# Minor,119.42,83,86,86,75,0.0,-12.12,12.12,True,30.77,42.84,26.4,15.77,15.0,14.14,14.76,13.94,12.95,13.8,12.59,Medium,High,6.81,Clipping detected: 654 samples are near/over the limit.,,,
Summrs - bird allegiance.wav,Summrs,138.32,E Minor,138.97,83,86,86,75,-0.0,-13.17,13.17,True,30.33,44.35,25.32,16.37,13.96,14.84,15.16,14.34,13.09,13.54,11.79,Medium,High,5.35,Clipping detected: 5 samples are near/over the limit.,,,
Summrs - da boss.wav,Summrs,140.62,G Major,120.52,90,94,94,81,-1.62,-9.24,7.62,False,32.47,42.43,25.1,17.55,14.92,13.78,14.51,14.13,13.5,12.99,12.11,Medium,High,5.32,Mud range is elevated around 250-500 Hz.,,,
Summrs - just cant.wav,Summrs,140.62,G Minor,142.55,83,86,86,75,-0.08,-15.05,14.97,True,31.05,44.4,24.55,16.24,14.81,15.29,14.7,14.4,13.2,12.7,11.85,Medium,High,4.71,Clipping detected: 4 samples are near/over the limit.,,,
Summrs - listen.wav,Summrs,144.23,C# Minor,122.31,84,86,86,79,-0.0,-10.97,10.97,True,30.7,43.12,26.18,15.86,14.84,14.17,14.63,14.32,13.55,13.21,12.97,Medium,Medium,2.92,Clipping detected: 19 samples are near/over the limit.,,,
Summrs - nah mean.wav,Summrs,140.62,D# Minor,125.04,81,81,81,81,0.0,-6.84,6.84,True,32.09,42.5,25.41,16.89,15.2,14.05,14.28,14.17,13.65,13.15,12.26,Medium,High,4.91,Clipping detected: 9630 samples are near/over the limit.,,,
Summrs - nmnl (Intro).wav,Summrs,138.32,D# Minor,140.0,84,86,86,81,-0.0,-14.5,14.5,True,29.1,43.92,26.98,15.45,13.64,14.78,14.67,14.47,13.98,14.52,12.46,Medium,High,4.6,Clipping detected: 355 samples are near/over the limit.,,,
Summrs - out da window.wav,Summrs,140.62,C# Minor,164.63,83,86,86,75,-0.0,-13.95,13.95,True,31.49,43.46,25.05,15.92,15.57,14.31,14.98,14.17,12.99,13.11,11.94,Medium,High,6.53,Clipping detected: 111 samples are near/over the limit.,,,
Summrs - put out fye.wav,Summrs,140.62,C# Minor,172.73,84,86,86,81,-0.0,-11.93,11.93,True,31.22,43.07,25.7,16.23,15.0,14.44,14.83,13.81,12.94,13.42,12.29,Medium,High,4.49,Clipping detected: 309 samples are near/over the limit.,,,
Summrs - so much cheese.wav,Summrs,140.62,G Minor,178.52,83,86,86,75,-0.0,-12.04,12.04,True,31.42,42.23,26.35,16.42,15.0,14.15,13.89,14.19,13.82,13.82,12.53,Medium,High,5.41,Clipping detected: 6 samples are near/over the limit.,,,
Summrs -ghost glocks.wav,Summrs,148.03,F Major,145.53,79,81,81,75,-0.0,-11.26,11.26,True,30.83,43.44,25.73,16.22,14.61,14.37,14.7,14.37,13.26,13.35,12.38,Medium,High,6.54,Clipping detected: 7372 samples are near/over the limit.,,,
Summrs- caused envy.wav,Summrs,154.11,E Minor,200.09,84,86,86,81,0.0,-12.74,12.74,True,33.04,42.36,24.6,17.2,15.84,14.25,14.11,14.0,13.27,13.2,11.4,Medium,High,3.02,Clipping detected: 4100 samples are near/over the limit.,,,
Summrs- swing ya pole.wav,Summrs,144.23,C Minor,152.0,79,81,81,75,-0.0,-10.3,10.3,True,31.08,42.42,26.5,16.51,14.57,13.68,14.2,14.54,14.0,14.02,12.47,Medium,High,6.24,Clipping detected: 19120 samples are near/over the limit.,,,
Summrs-back 2 da basics.wav,Summrs,144.23,D Minor,135.63,78,76,76,81,-0.18,-16.59,16.41,False,29.55,44.8,25.65,15.69,13.86,15.44,15.09,14.27,13.63,13.31,12.34,Medium,High,5.99,Mud range is elevated around 250-500 Hz.,,,
