file,category,bpm,key,duration_sec,release_score,mix_score,master_score,arrangement_score,peak_db,rms_db,dynamic_range_db,clipping,low_end_total,mid_total,top_total,sub,bass_808,mud,low_mids,mids_melody,harsh_zone,highs,air,brightness,drum_activity,onset_density,top_problem,stem_vocal_to_beat_db,stem_bass_to_vocal_db,stem_melody_presence_score
Tana - 14.wav,Tana,125.0,F# Minor,150.83,83,86,86,75,0.0,-11.4,11.4,True,31.13,43.77,25.1,16.26,14.87,14.87,14.72,14.18,13.73,12.89,12.21,Medium,High,3.99,Clipping detected: 2903 samples are near/over the limit.,,,
Tana - 18.wav,Tana,133.93,C# Major,209.32,79,81,81,75,0.0,-8.22,8.22,True,30.95,42.58,26.47,16.13,14.82,14.21,14.38,13.99,13.56,13.55,12.92,High,High,4.85,Clipping detected: 39955 samples are near/over the limit.,,,
Tana - 5OUTH5IDE.wav,Tana,137.2,A# Minor,170.36,83,86,86,75,-0.0,-9.79,9.79,True,31.86,43.07,25.08,16.38,15.48,14.26,14.43,14.37,13.27,12.92,12.16,Medium,High,4.41,Clipping detected: 1865 samples are near/over the limit.,,,
Tana - Antisocial 2.wav,Tana,144.23,C Minor,409.81,83,86,86,76,0.0,-11.17,11.17,True,30.04,42.8,27.17,15.52,14.51,14.26,14.18,14.36,13.98,13.77,13.4,High,High,5.12,Clipping detected: 8503 samples are near/over the limit.,,,
Tana - Antisocial.wav,Tana,148.03,F# Major,175.33,83,86,86,75,-0.0,-10.01,10.01,True,30.65,42.28,27.07,16.08,14.57,13.87,14.12,14.28,13.91,13.96,13.11,High,High,3.62,Clipping detected: 4533 samples are near/over the limit.,,,
Tana - BET.wav,Tana,140.62,C Major,168.0,84,86,86,81,0.0,-10.67,10.67,True,31.3,42.74,25.96,16.36,14.94,14.28,14.41,14.05,13.26,13.37,12.59,Medium,High,5.33,Clipping detected: 2259 samples are near/over the limit.,,,
Tana - Because Of Me.wav,Tana,159.2,C# Minor,145.44,83,86,86,75,-0.0,-10.07,10.07,True,31.89,43.05,25.06,16.15,15.74,14.44,14.23,14.38,13.76,13.42,11.64,Medium,High,4.51,Clipping detected: 4314 samples are near/over the limit.,,,
Tana - Cut Ties.wav,Tana,148.03,D# Minor,142.7,79,81,81,75,-0.0,-8.08,8.08,True,31.88,42.44,25.68,16.64,15.24,13.91,14.15,14.37,13.54,13.71,11.97,Medium,High,4.0,Clipping detected: 19515 samples are near/over the limit.,,,
Tana - DON'T SWEAT IT ⧸ NO PRESSURE.wav,Tana,140.62,F# Minor,110.57,79,81,81,75,-0.0,-9.92,9.92,True,32.0,43.35,24.65,16.01,15.99,14.66,14.33,14.36,13.4,12.85,11.8,Medium,High,4.03,Clipping detected: 11393 samples are near/over the limit.,,,
Tana - Decatur.wav,Tana,138.32,C# Major,138.13,84,86,86,81,-0.0,-10.02,10.02,True,30.75,43.42,25.83,16.52,14.23,14.56,14.63,14.23,13.3,13.3,12.54,Medium,High,3.84,Clipping detected: 2643 samples are near/over the limit.,,,
Tana - Designer Thangs.wav,Tana,119.68,G Major,216.0,79,81,81,75,0.0,-7.98,7.99,True,31.13,43.28,25.59,16.27,14.86,14.52,14.49,14.27,13.3,13.14,12.45,Medium,High,3.62,Clipping detected: 22388 samples are near/over the limit.,,,
Tana - FUKKEM.wav,Tana,148.03,C# Minor,270.42,78,81,81,70,0.0,-8.35,8.35,True,30.82,42.49,26.69,16.13,14.69,14.1,14.4,13.98,13.42,13.68,13.01,High,High,5.6,Clipping detected: 46779 samples are near/over the limit.,,,
Tana - Feng Shui.wav,Tana,143.01,E Major,135.21,84,86,86,81,0.0,-10.18,10.18,True,31.41,42.86,25.73,15.97,15.44,14.1,14.29,14.47,13.63,13.35,12.39,Medium,High,4.37,Clipping detected: 5353 samples are near/over the limit.,,,
Tana - HI-ROLLER FOREIGNER.wav,Tana,127.84,F# Minor,166.88,84,86,86,81,0.0,-10.66,10.66,True,30.42,44.31,25.27,15.9,14.51,14.55,15.15,14.62,13.36,13.09,12.18,Medium,High,5.87,Clipping detected: 3104 samples are near/over the limit.,,,
