file,category,bpm,key,duration_sec,release_score,mix_score,master_score,arrangement_score,peak_db,rms_db,dynamic_range_db,clipping,low_end_total,mid_total,top_total,sub,bass_808,mud,low_mids,mids_melody,harsh_zone,highs,air,brightness,drum_activity,onset_density,top_problem,stem_vocal_to_beat_db,stem_bass_to_vocal_db,stem_melody_presence_score
UntilJapan - AcceptingMyFlaws.wav,UntilJapan,160.71,F# Major,162.01,84,86,86,81,0.0,-8.12,8.12,True,31.13,42.54,26.33,16.65,14.48,13.97,14.27,14.3,13.74,13.59,12.74,Medium,High,6.75,Clipping detected: 1894 samples are near/over the limit.,,,
UntilJapan - BORN2BEGREAT.wav,UntilJapan,130.81,C# Minor,140.31,79,81,81,75,-0.0,-6.18,6.18,True,31.95,42.25,25.8,16.72,15.23,14.02,14.02,14.22,13.67,13.42,12.38,Medium,High,5.17,Clipping detected: 56291 samples are near/over the limit.,,,
UntilJapan - BROAD DAY.wav,UntilJapan,160.71,F# Minor,193.19,79,81,81,75,0.0,-7.17,7.17,True,32.42,42.69,24.88,17.07,15.35,13.9,14.16,14.64,14.1,13.07,11.81,Medium,High,4.15,Clipping detected: 27323 samples are near/over the limit.,,,
UntilJapan - COAST 2 COAST.wav,UntilJapan,160.71,F# Major,154.5,74,69,69,85,0.0,-6.93,6.93,True,32.29,43.31,24.39,16.21,16.08,14.66,14.29,14.36,13.64,12.93,11.46,Medium,Medium,2.5,Clipping detected: 91928 samples are near/over the limit.,,,
UntilJapan - DIE LIKE THIS.wav,UntilJapan,140.62,D# Minor,165.61,79,81,81,75,0.0,-7.64,7.64,True,31.46,42.56,25.98,16.3,15.16,13.81,14.31,14.45,13.66,13.37,12.6,Medium,High,6.12,Clipping detected: 34149 samples are near/over the limit.,,,
UntilJapan - FckedUpPeople.wav,UntilJapan,165.44,D Minor,189.73,84,86,86,81,-0.0,-10.18,10.18,True,31.09,42.35,26.56,15.61,15.48,13.99,13.99,14.36,13.93,13.75,12.81,Medium,High,5.82,Clipping detected: 2338 samples are near/over the limit.,,,
"UntilJapan - GOODBYE, COME AGAIN.wav",UntilJapan,127.84,D# Major,227.5,81,81,81,81,0.0,-7.86,7.86,True,31.86,43.09,25.05,16.21,15.65,14.41,14.41,14.28,13.87,13.26,11.78,Medium,High,4.16,Clipping detected: 59659 samples are near/over the limit.,,,
UntilJapan - GunPowder.wav,UntilJapan,140.62,D# Minor,138.65,83,86,86,75,0.0,-8.34,8.34,True,31.45,42.47,26.08,16.59,14.86,14.16,14.18,14.13,13.51,13.29,12.79,Medium,High,5.01,Clipping detected: 1376 samples are near/over the limit.,,,
UntilJapan - IN THE SPUR.wav,UntilJapan,178.57,F# Major,103.84,81,81,81,81,-0.0,-10.15,10.15,True,31.85,43.13,25.02,16.24,15.61,14.48,14.3,14.34,13.85,13.55,11.47,Medium,High,5.79,Clipping detected: 13449 samples are near/over the limit.,,,
UntilJapan - JUST BREATHE.wav,UntilJapan,140.62,D Minor,129.5,79,81,81,75,-0.0,-8.01,8.01,True,31.91,42.87,25.22,16.54,15.37,14.29,14.15,14.43,13.94,13.41,11.81,Medium,High,5.07,Clipping detected: 40210 samples are near/over the limit.,,,
UntilJapan - KISS THA RING.wav,UntilJapan,133.93,D Minor,144.0,79,81,81,75,-0.0,-7.2,7.2,True,31.91,42.67,25.42,16.0,15.91,14.3,14.2,14.17,13.7,13.45,11.97,Medium,High,6.18,Clipping detected: 61208 samples are near/over the limit.,,,
UntilJapan - MORE MOËT.wav,UntilJapan,145.47,C# Minor,154.52,79,81,81,75,0.0,-7.72,7.72,True,31.33,42.95,25.72,16.28,15.05,14.6,14.28,14.07,13.41,13.81,11.91,Medium,High,5.43,Clipping detected: 48451 samples are near/over the limit.,,,
UntilJapan - NeverForget.wav,UntilJapan,143.01,C Minor,107.46,83,86,86,75,0.0,-7.89,7.89,True,31.54,42.21,26.25,16.25,15.29,14.23,13.91,14.06,13.61,13.74,12.51,Medium,High,5.21,Clipping detected: 1101 samples are near/over the limit.,,,
UntilJapan - ONE HELLUVA DRUG.wav,UntilJapan,140.62,F# Minor,167.74,73,69,69,81,0.0,-6.65,6.65,True,32.43,42.25,25.32,16.79,15.64,14.19,13.82,14.24,13.88,13.64,11.69,Medium,High,5.1,Clipping detected: 132689 samples are near/over the limit.,,,
UntilJapan - PYRAMIDZwav.wav,UntilJapan,152.03,G Major,182.34,60,53,53,75,0.0,-4.83,4.83,True,33.29,42.09,24.63,17.01,16.28,14.15,13.9,14.03,13.39,12.94,11.68,Medium,High,4.06,Clipping detected: 351460 samples are near/over the limit.,,,
UntilJapan - PeopleNeverChange.wav,UntilJapan,143.01,C# Minor,187.64,72,70,70,75,0.0,-5.87,5.87,True,31.88,42.02,26.1,16.83,15.05,13.85,14.01,14.16,13.52,13.33,12.78,Medium,High,5.88,Clipping detected: 5584 samples are near/over the limit.,,,
UntilJapan - RealFunk.wav,UntilJapan,137.2,A Minor,180.93,84,86,86,81,-0.0,-8.21,8.21,True,31.7,42.36,25.94,16.41,15.29,14.14,14.09,14.13,13.59,13.51,12.43,Medium,High,4.5,Clipping detected: 3726 samples are near/over the limit.,,,
