file,category,bpm,key,duration_sec,release_score,mix_score,master_score,arrangement_score,peak_db,rms_db,dynamic_range_db,clipping,low_end_total,mid_total,top_total,sub,bass_808,mud,low_mids,mids_melody,harsh_zone,highs,air,brightness,drum_activity,onset_density,top_problem,stem_vocal_to_beat_db,stem_bass_to_vocal_db,stem_melody_presence_score
XavierSoBased - 90 Down The Block.wav,Xaviersobased,122.28,E Minor,88.39,82,86,86,71,0.0,-6.45,6.45,True,31.6,43.76,24.64,17.35,14.26,14.13,14.94,14.69,13.82,13.57,11.07,Medium,High,4.07,Clipping detected: 2696 samples are near/over the limit.,,,
XaviersoBased- Left Hand.wav,Xaviersobased,140.62,F Minor,132.59,83,86,86,75,-0.0,-12.05,12.05,True,29.69,42.82,27.49,15.43,14.26,13.69,14.75,14.38,13.94,14.3,13.18,High,High,4.9,Clipping detected: 99 samples are near/over the limit.,,,
Xaviersobased - 34babyyyy.wav,Xaviersobased,168.75,D Minor,195.57,84,86,86,81,0.0,-7.35,7.35,True,31.45,42.92,25.63,16.8,14.65,14.14,14.45,14.32,13.67,13.61,12.02,Medium,High,4.3,Clipping detected: 180 samples are near/over the limit.,,,
Xaviersobased - 40 #SURFGANG.wav,Xaviersobased,122.28,C# Major,64.61,85,94,94,65,-4.75,-12.91,8.16,False,32.57,41.53,25.91,17.54,15.02,13.5,13.98,14.04,13.35,13.69,12.22,Medium,High,5.66,Mud range is elevated around 250-500 Hz.,,,
Xaviersobased - 47.wav,Xaviersobased,170.45,D Minor,95.46,76,81,81,65,0.0,-6.3,6.3,True,32.67,42.75,24.58,17.88,14.79,13.95,14.57,14.23,13.46,13.18,11.4,Medium,High,3.24,Clipping detected: 40063 samples are near/over the limit.,,,
Xaviersobased - AVENUE.wav,Xaviersobased,160.71,G Major,105.37,84,86,84,81,-4.49,-17.93,13.44,False,33.23,42.87,23.9,17.33,15.9,13.54,14.35,14.98,14.35,13.37,10.53,Medium,High,3.17,Mud range is elevated around 250-500 Hz.,,,
Xaviersobased - Big Ben.wav,Xaviersobased,127.84,D Minor,144.0,68,65,65,75,0.0,-5.02,5.02,True,30.75,43.44,25.81,16.82,13.93,13.91,14.7,14.82,14.02,13.65,12.16,Medium,High,6.62,Clipping detected: 22651 samples are near/over the limit.,,,
Xaviersobased - Give It Up.wav,Xaviersobased,153.41,C# Major,143.38,83,86,86,75,0.0,-11.0,11.0,True,30.36,43.24,26.4,16.04,14.32,14.04,14.57,14.62,13.66,13.96,12.44,High,High,6.03,Clipping detected: 730 samples are near/over the limit.,,,
Xaviersobased - Harajuku.wav,Xaviersobased,172.19,G Minor,200.93,81,81,81,81,0.0,-6.08,6.08,True,30.91,43.23,25.86,16.63,14.28,14.32,14.16,14.75,14.11,13.75,12.11,Medium,High,4.33,Clipping detected: 28254 samples are near/over the limit.,,,
Xaviersobased - Heart Felt.wav,Xaviersobased,125.0,F Major,165.54,84,86,86,81,0.0,-9.8,9.8,True,31.24,43.92,24.84,16.72,14.52,14.6,14.68,14.64,13.78,13.32,11.52,Medium,High,5.06,Clipping detected: 2991 samples are near/over the limit.,,,
Xaviersobased - I Don’t Gotta Say It.wav,Xaviersobased,165.44,D Minor,128.8,79,81,81,75,0.0,-7.11,7.11,True,31.07,44.73,24.2,16.33,14.74,15.31,14.79,14.64,13.7,13.33,10.87,Low,High,8.45,Clipping detected: 33585 samples are near/over the limit.,,,
Xaviersobased - Mask On.wav,Xaviersobased,142.41,D Minor,165.63,82,81,81,85,0.0,-8.18,8.18,True,30.53,43.88,25.59,15.84,14.69,14.65,14.62,14.6,13.77,13.3,12.29,Medium,Medium,2.52,Clipping detected: 49170 samples are near/over the limit.,,,
Xaviersobased - Party At My Place.wav,Xaviersobased,150.67,C Major,141.6,79,81,81,75,0.0,-7.18,7.18,True,31.13,42.62,26.25,16.41,14.72,14.01,14.12,14.49,13.73,13.61,12.64,High,High,4.87,Clipping detected: 9424 samples are near/over the limit.,,,
Xaviersobased - Shawty Thro It Backk.wav,Xaviersobased,143.01,E Minor,77.29,76,81,81,65,0.0,-6.85,6.85,True,31.36,41.66,26.98,16.68,14.68,14.16,14.12,13.37,12.71,14.1,12.88,Medium,High,4.24,Clipping detected: 25283 samples are near/over the limit.,,,
Xaviersobased - Shouldn’t.wav,Xaviersobased,156.25,C Major,115.18,83,86,86,75,0.0,-12.3,12.3,True,32.26,43.44,24.3,16.77,15.49,14.63,14.54,14.27,13.42,13.01,11.29,Medium,High,4.23,Clipping detected: 45 samples are near/over the limit.,,,
Xaviersobased - Skrap.wav,Xaviersobased,117.19,C Minor,154.57,68,65,65,75,0.0,-4.53,4.53,True,31.71,42.3,26.0,16.85,14.86,13.99,14.07,14.24,13.63,13.6,12.4,Medium,High,5.31,Clipping detected: 73869 samples are near/over the limit.,,,
Xaviersobased - Tony Hawk.wav,Xaviersobased,119.68,C# Minor,165.69,79,81,81,75,0.0,-6.49,6.5,True,31.34,43.13,25.53,16.76,14.58,14.5,14.28,14.35,13.86,13.17,12.35,Medium,High,3.77,Clipping detected: 32263 samples are near/over the limit.,,,
Xaviersobased - Top 1.wav,Xaviersobased,127.84,G Minor,71.87,81,86,86,69,0.0,-8.48,8.48,True,32.77,43.1,24.13,17.34,15.43,14.42,14.74,13.94,13.21,12.95,11.17,Medium,Medium,2.2,Clipping detected: 122 samples are near/over the limit.,,,
Xaviersobased - Walk to me.wav,Xaviersobased,140.62,C# Minor,104.15,88,94,94,75,-0.44,-8.25,7.81,False,32.16,41.85,25.98,17.3,14.86,13.46,14.17,14.22,13.47,13.49,12.49,Medium,High,6.4,Mud range is elevated around 250-500 Hz.,,,
Xaviersobased - aight.wav,Xaviersobased,156.25,B Minor,104.84,84,86,86,81,-0.09,-12.2,12.11,True,31.68,45.54,22.78,17.28,14.4,14.69,15.62,15.23,13.63,12.13,10.64,Low,High,4.15,Clipping detected: 2 samples are near/over the limit.,,,
Xaviersobased - classist.wav,Xaviersobased,160.71,D# Major,106.0,83,86,86,75,0.0,-10.14,10.14,True,31.7,43.07,25.23,17.29,14.41,14.16,14.43,14.48,13.8,13.43,11.8,Medium,High,3.58,Clipping detected: 137 samples are near/over the limit.,,,
Xaviersobased - double whammy.wav,Xaviersobased,122.28,C# Minor,121.38,79,81,81,75,0.0,-7.57,7.57,True,30.64,43.73,25.63,16.25,14.39,14.28,14.8,14.65,13.7,13.43,12.2,Medium,High,4.34,Clipping detected: 46972 samples are near/over the limit.,,,
Xaviersobased - fix my mind.wav,Xaviersobased,143.01,G# Major,94.61,82,86,86,71,-0.0,-11.44,11.44,True,32.79,42.42,24.79,17.04,15.75,14.43,14.27,13.72,13.08,13.22,11.58,Medium,High,3.42,Clipping detected: 504 samples are near/over the limit.,,,
Xaviersobased - fly w backend.wav,Xaviersobased,178.57,E Major,152.01,83,86,86,75,-0.0,-8.23,8.23,True,30.76,43.27,25.97,16.78,13.98,14.77,14.59,13.91,12.93,13.53,12.44,Medium,High,7.81,Clipping detected: 394 samples are near/over the limit.,,,
Xaviersobased - ghost town.wav,Xaviersobased,148.03,D Major,76.93,81,86,84,71,-2.03,-17.59,15.57,False,30.76,43.71,25.53,15.59,15.17,14.26,14.66,14.79,14.21,13.68,11.85,Medium,High,4.09,Mud range is elevated around 250-500 Hz.,,,
Xaviersobased - hotel room.wav,Xaviersobased,156.25,D# Major,108.75,84,86,86,81,-0.0,-7.21,7.21,True,32.26,42.49,25.25,17.33,14.93,14.18,14.0,14.31,13.6,13.13,12.12,Medium,High,4.57,Clipping detected: 3570 samples are near/over the limit.,,,
Xaviersobased - iPhone 16.wav,Xaviersobased,158.45,C Major,231.74,79,81,81,75,0.0,-8.43,8.43,True,30.47,43.92,25.61,15.28,15.19,14.75,14.59,14.58,13.99,13.54,12.07,Medium,High,4.21,Clipping detected: 48260 samples are near/over the limit.,,,
Xaviersobased - innat ounn.wav,Xaviersobased,168.75,C# Major,83.2,87,94,94,71,-0.51,-13.09,12.58,False,32.66,40.75,26.59,17.46,15.2,13.77,13.6,13.37,13.26,14.17,12.43,Medium,High,5.01,Mud range is elevated around 250-500 Hz.,,,
Xaviersobased - keepitgoin.wav,Xaviersobased,172.19,F Minor,123.53,84,86,86,79,-0.0,-7.34,7.34,True,32.22,42.35,25.44,17.4,14.81,13.72,14.17,14.46,13.95,13.52,11.92,Medium,Medium,2.91,Clipping detected: 955 samples are near/over the limit.,,,
Xaviersobased - love hate.wav,Xaviersobased,136.09,F# Minor,116.08,83,86,86,75,0.0,-10.92,10.92,True,32.16,43.51,24.33,17.09,15.07,14.6,14.47,14.43,13.19,12.77,11.57,Medium,High,5.24,Clipping detected: 72 samples are near/over the limit.,,,
Xaviersobased - need me.wav,Xaviersobased,117.19,D Major,100.6,83,86,86,75,-0.0,-11.32,11.32,True,31.89,42.59,25.52,16.48,15.41,14.07,14.28,14.24,13.39,13.02,12.49,Medium,High,5.55,Clipping detected: 3 samples are near/over the limit.,,,
Xaviersobased - satanic.wav,Xaviersobased,140.62,D# Minor,68.62,82,86,86,71,-0.0,-7.76,7.76,True,33.06,42.28,24.66,17.9,15.16,13.91,14.09,14.28,13.78,13.5,11.16,Medium,High,4.55,Clipping detected: 1773 samples are near/over the limit.,,,
Xaviersobased - seen a lot of things.wav,Xaviersobased,172.19,F Minor,179.43,81,81,81,81,0.0,-7.56,7.56,True,31.54,43.24,25.23,16.71,14.83,14.66,14.41,14.17,13.65,13.03,12.2,Medium,High,4.46,Clipping detected: 28580 samples are near/over the limit.,,,
Xaviersobased - softer.wav,Xaviersobased,159.2,D# Major,104.16,83,86,86,75,0.0,-7.27,7.27,True,31.76,43.48,24.75,16.49,15.27,14.73,14.58,14.18,13.31,13.43,11.32,Medium,High,6.89,Clipping detected: 3067 samples are near/over the limit.,,,
Xaviersobased - special.wav,Xaviersobased,119.68,F# Minor,111.78,84,86,86,79,0.0,-11.7,11.7,True,31.0,42.79,26.22,16.52,14.47,13.88,14.22,14.69,14.24,14.06,12.15,Medium,Medium,2.53,Clipping detected: 194 samples are near/over the limit.,,,
Xaviersobased - wat u wan.wav,Xaviersobased,165.44,E Minor,131.39,83,86,86,75,-0.0,-10.92,10.92,True,30.84,43.09,26.07,16.76,14.09,13.28,14.89,14.92,13.99,13.54,12.52,Medium,High,4.82,Clipping detected: 26 samples are near/over the limit.,,,
Xaviersobased - we discuss.wav,Xaviersobased,175.78,F Minor,80.63,65,65,65,65,0.0,-5.99,5.99,True,32.06,43.53,24.41,17.56,14.5,14.13,14.95,14.46,13.59,12.99,11.42,Medium,High,3.36,Clipping detected: 15072 samples are near/over the limit.,,,
Xaviersobased - wheel man.wav,Xaviersobased,125.0,C Minor,185.62,68,65,65,75,0.0,-4.77,4.77,True,31.27,42.63,26.1,16.68,14.59,13.99,14.25,14.38,14.01,13.8,12.3,Medium,High,6.24,Clipping detected: 85280 samples are near/over the limit.,,,
Xaviersobased - with 2 intro.wav,Xaviersobased,143.01,C# Minor,66.92,82,86,86,71,0.0,-9.35,9.35,True,31.28,44.2,24.52,15.92,15.36,14.97,14.71,14.53,13.83,13.21,11.31,Medium,High,3.6,Clipping detected: 2916 samples are near/over the limit.,,,
Xaviersobased - worth it.wav,Xaviersobased,119.68,C# Major,94.88,76,81,81,65,-0.0,-7.12,7.12,True,30.67,44.46,24.88,17.01,13.66,14.47,14.67,15.32,13.6,13.0,11.87,Medium,High,4.88,Clipping detected: 5940 samples are near/over the limit.,,,
