file,category,bpm,key,duration_sec,release_score,mix_score,master_score,arrangement_score,peak_db,rms_db,dynamic_range_db,clipping,low_end_total,mid_total,top_total,sub,bass_808,mud,low_mids,mids_melody,harsh_zone,highs,air,brightness,drum_activity,onset_density,top_problem,stem_vocal_to_beat_db,stem_bass_to_vocal_db,stem_melody_presence_score
Yeat - 1093.wav,Yeat,160.71,A# Major,156.01,86,86,86,85,-0.0,-11.21,11.21,True,30.99,43.14,25.87,16.04,14.95,14.87,14.19,14.08,13.47,13.16,12.71,Medium,Medium,1.83,Clipping detected: 2103 samples are near/over the limit.,,,
Yeat - 2093.wav,Yeat,119.68,C# Major,144.01,84,86,86,81,0.0,-10.68,10.68,True,33.35,42.71,23.93,16.62,16.73,14.91,14.14,13.66,12.59,12.39,11.55,Medium,High,3.87,Clipping detected: 1161 samples are near/over the limit.,,,
Yeat - 7 nightz.wav,Yeat,148.03,D# Major,184.94,84,86,86,81,-0.0,-9.04,9.04,True,32.54,42.27,25.19,17.68,14.86,14.32,13.98,13.97,13.38,13.2,11.99,Medium,High,5.21,Clipping detected: 76 samples are near/over the limit.,,,
Yeat - All of it (ft. Yung Kayo).wav,Yeat,144.23,D# Minor,161.27,84,86,86,81,-0.0,-10.87,10.87,True,31.05,42.84,26.11,16.64,14.41,14.45,14.12,14.28,13.63,13.71,12.39,Medium,High,7.08,Clipping detected: 503 samples are near/over the limit.,,,
Yeat - As We Speak (feat. Drake).wav,Yeat,130.81,D Minor,240.98,83,86,86,76,0.0,-12.69,12.69,True,31.06,42.84,26.11,16.26,14.79,14.51,14.27,14.05,13.21,13.29,12.82,Medium,High,3.09,Clipping detected: 505 samples are near/over the limit.,,,
Yeat - BË QUIET (FEAT. KODAK BLACK).wav,Yeat,148.03,F Minor,174.82,61,53,53,81,0.0,-4.09,4.09,True,32.52,41.48,26.0,17.5,15.02,13.95,13.8,13.74,13.04,13.18,12.82,Medium,High,6.02,Clipping detected: 247981 samples are near/over the limit.,,,
Yeat - Back homë.wav,Yeat,172.19,D Minor,210.6,84,86,86,81,-0.0,-8.67,8.67,True,32.66,41.65,25.69,17.6,15.06,14.24,13.62,13.79,13.09,12.99,12.7,Medium,High,5.15,Clipping detected: 138 samples are near/over the limit.,,,
Yeat - Back up.wav,Yeat,130.81,G Minor,133.0,80,81,81,76,0.0,-9.3,9.3,True,33.14,41.29,25.56,17.48,15.66,14.2,13.45,13.64,12.76,13.42,12.15,Medium,High,5.39,Clipping detected: 9206 samples are near/over the limit.,,,
Yeat - Bad bënd ⧸ DëMON.wav,Yeat,137.2,D# Minor,182.24,84,86,86,81,-0.0,-11.04,11.04,True,33.05,42.19,24.76,17.35,15.7,14.39,13.86,13.95,13.1,12.86,11.89,Medium,High,6.61,Clipping detected: 161 samples are near/over the limit.,,,
Yeat - Bëttr 0ff.wav,Yeat,125.0,C Major,230.45,84,86,86,81,0.0,-8.9,8.9,True,31.74,42.33,25.93,17.05,14.69,14.28,13.88,14.16,13.72,13.43,12.5,Medium,High,6.07,Clipping detected: 1030 samples are near/over the limit.,,,
