file,category,bpm,key,duration_sec,release_score,mix_score,master_score,arrangement_score,peak_db,rms_db,dynamic_range_db,clipping,low_end_total,mid_total,top_total,sub,bass_808,mud,low_mids,mids_melody,harsh_zone,highs,air,brightness,drum_activity,onset_density,top_problem,stem_vocal_to_beat_db,stem_bass_to_vocal_db,stem_melody_presence_score
Yung Fazo - ALL IN MOTION.wav,Yung Fazo,137.2,D Minor,119.84,79,81,81,75,0.0,-8.43,8.44,True,30.31,43.58,26.1,15.59,14.72,14.29,14.61,14.68,14.01,13.61,12.49,Medium,Low,1.48,Clipping detected: 37576 samples are near/over the limit.,,,
Yung Fazo - Adding.wav,Yung Fazo,168.75,F# Major,170.79,84,86,86,81,-0.0,-12.33,12.33,True,31.17,42.51,26.33,16.27,14.89,14.06,14.19,14.25,13.91,13.35,12.98,High,High,5.3,Clipping detected: 2113 samples are near/over the limit.,,,
Yung Fazo - Antisocial 2.wav,Yung Fazo,144.23,C Minor,409.81,83,86,86,76,0.0,-11.17,11.17,True,30.04,42.8,27.17,15.52,14.51,14.26,14.18,14.36,13.98,13.77,13.4,High,High,5.12,Clipping detected: 8503 samples are near/over the limit.,,,
Yung Fazo - B4U.wav,Yung Fazo,148.03,D# Minor,193.26,82,81,81,85,0.0,-8.27,8.28,True,30.49,42.54,26.97,15.98,14.51,13.89,14.37,14.27,13.55,13.62,13.35,High,Medium,1.74,Clipping detected: 13572 samples are near/over the limit.,,,
Yung Fazo - BANG BANG.wav,Yung Fazo,159.2,D# Major,156.0,60,53,53,75,0.0,-3.32,3.33,True,31.72,42.03,26.25,16.53,15.19,14.08,14.07,13.88,13.24,13.34,12.91,High,High,3.11,Clipping detected: 398296 samples are near/over the limit.,,,
Yung Fazo - BRING IT BACK.wav,Yung Fazo,104.17,C Minor,142.5,80,81,81,79,-0.0,-7.11,7.11,True,30.68,42.95,26.37,15.93,14.75,14.06,14.39,14.49,13.98,13.59,12.78,High,Medium,1.56,Clipping detected: 49018 samples are near/over the limit.,,,
Yung Fazo - Count It Up.wav,Yung Fazo,156.25,D# Minor,133.27,83,86,86,75,0.0,-9.56,9.56,True,30.91,41.78,27.32,16.39,14.52,14.0,13.99,13.79,13.43,13.7,13.62,High,High,3.59,Clipping detected: 143 samples are near/over the limit.,,,
Yung Fazo - ED HARDY.wav,Yung Fazo,119.68,G# Major,203.46,82,81,81,85,0.0,-6.13,6.13,True,31.61,42.59,25.8,16.86,14.75,14.24,14.25,14.11,13.05,13.14,12.65,Medium,Medium,2.11,Clipping detected: 84950 samples are near/over the limit.,,,
Yung Fazo - Enemies.wav,Yung Fazo,140.62,F# Major,151.34,83,86,86,75,-0.0,-10.38,10.38,True,31.42,42.16,26.42,16.37,15.05,14.11,14.32,13.73,13.07,13.45,12.96,Medium,High,3.03,Clipping detected: 11 samples are near/over the limit.,,,
Yung Fazo - FUK LOVE.wav,Yung Fazo,130.81,C Minor,136.88,60,53,53,75,0.0,-4.52,4.52,True,31.3,41.46,27.24,16.58,14.71,13.63,13.87,13.97,13.36,13.6,13.64,High,High,5.21,Clipping detected: 142826 samples are near/over the limit.,,,
Yung Fazo - Flex Like This.wav,Yung Fazo,130.81,E Major,135.17,79,81,81,75,0.0,-8.93,8.93,True,31.68,41.95,26.37,16.41,15.27,13.99,14.21,13.75,12.99,13.43,12.94,Medium,High,3.77,Clipping detected: 11810 samples are near/over the limit.,,,
Yung Fazo - Frozone.wav,Yung Fazo,150.67,F Minor,134.75,83,86,86,75,-0.0,-10.97,10.97,True,31.78,41.96,26.26,16.59,15.19,14.15,14.11,13.71,13.18,13.53,12.72,Medium,High,4.79,Clipping detected: 385 samples are near/over the limit.,,,
