file,category,bpm,key,duration_sec,release_score,mix_score,master_score,arrangement_score,peak_db,rms_db,dynamic_range_db,clipping,low_end_total,mid_total,top_total,sub,bass_808,mud,low_mids,mids_melody,harsh_zone,highs,air,brightness,drum_activity,onset_density,top_problem
Che - MAKE OUT WITH MY CHOPPA.wav,Cheromani,148.03,C Minor,120.88,41,38,30,70,0.01,-4.13,4.14,True,77.27,19.36,3.37,63.46,13.8,9.06,5.83,4.48,3.43,2.45,0.92,High,High,5.39,Clipping detected: 356406 samples are near/over the limit.
che - Bae.wav,Cheromani,95.34,D Minor,170.17,60,60,54,70,0.0,-8.69,8.69,True,77.87,19.95,2.18,65.28,12.6,7.71,9.08,3.16,1.99,1.37,0.8,High,High,5.76,Clipping detected: 12754 samples are near/over the limit.
che - Miley Cyrus.wav,Cheromani,156.25,D Minor,139.13,62,60,54,80,-0.0,-11.52,11.52,True,79.6,17.93,2.47,61.66,17.94,9.13,5.98,2.81,2.24,1.64,0.83,High,High,4.63,Clipping detected: 8401 samples are near/over the limit.
che - Pizza Time .wav,Cheromani,108.17,D Minor,122.3,60,60,54,70,0.0,-7.62,7.62,True,87.16,11.25,1.59,73.77,13.39,5.68,3.51,2.05,1.68,1.06,0.52,Medium,High,6.26,Clipping detected: 10753 samples are near/over the limit.
che - Sayso.wav,Cheromani,137.2,D Minor,128.96,42,38,30,75,0.02,-5.37,5.39,True,79.83,18.36,1.81,67.6,12.22,8.72,6.89,2.75,2.09,1.19,0.61,High,Medium,2.73,Clipping detected: 207121 samples are near/over the limit.
Destroy Lonely - BLITZ⧸ALLURE.wav,Destroy Lonely,133.93,C# Major,206.22,62,60,54,80,-0.0,-12.23,12.23,True,86.25,12.15,1.6,69.83,16.42,6.77,3.74,1.64,1.22,1.27,0.33,Medium,High,3.9,Clipping detected: 7 samples are near/over the limit.
Destroy Lonely - NEVEREVER .wav,Destroy Lonely,140.62,E Major,144.07,60,60,54,70,-0.0,-12.2,12.2,True,82.23,16.2,1.57,54.88,27.35,8.24,6.17,1.79,1.19,1.25,0.31,Medium,High,5.13,Clipping detected: 254 samples are near/over the limit.
Destroy Lonely - NOSTYLIST.wav,Destroy Lonely,106.13,B Minor,182.1,60,60,54,70,0.0,-9.28,9.28,True,78.16,19.75,2.09,62.94,15.22,10.36,6.99,2.41,1.64,1.56,0.53,Medium,High,6.83,Clipping detected: 10264 samples are near/over the limit.
Destroy Lonely - how u feel?.wav,Destroy Lonely,130.81,D# Minor,234.01,50,48,42,70,0.0,-6.11,6.11,True,89.71,9.12,1.17,78.93,10.79,5.26,2.49,1.37,0.99,0.82,0.35,Medium,High,6.33,Clipping detected: 23090 samples are near/over the limit.
Destroy Lonely - if looks could kill.wav,Destroy Lonely,130.81,C Minor,199.42,60,60,54,70,0.0,-9.38,9.38,True,84.53,14.23,1.24,69.52,15.01,9.61,2.89,1.73,1.24,0.88,0.35,Medium,High,4.36,Clipping detected: 265 samples are near/over the limit.
